Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

03:51:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:51:19 AM  all    3.39    0.00    2.61    0.23    0.00    0.00    0.00    0.00    0.00   93.77
03:51:19 AM    0    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM    1    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM    2    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
03:51:19 AM    3    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
03:51:19 AM    4    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
03:51:19 AM    5    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM    6    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
03:51:19 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:51:19 AM    8    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03:51:19 AM    9    0.00    0.00    1.04    4.17    0.00    0.00    0.00    0.00    0.00   94.79
03:51:19 AM   10    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:51:19 AM   11    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
03:51:19 AM   12    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:51:19 AM   13    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:51:19 AM   14   24.49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.51
03:51:19 AM   15    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03:51:19 AM   16   11.22    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   82.65
03:51:19 AM   17    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:51:19 AM   18    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM   19    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:51:19 AM   20    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:51:19 AM   21    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
03:51:19 AM   22    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM   23    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:51:19 AM   24    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:51:19 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:51:19 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:51:19 AM   27    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:51:19 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:51:19 AM   29    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:19 AM   30    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03:51:19 AM   31    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03:51:19 AM   32    5.94    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   91.09
03:51:19 AM   33    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
03:51:19 AM   34    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
03:51:19 AM   35   31.00    0.00   54.00    0.00    0.00    0.00    0.00    0.00    0.00   15.00
03:51:19 AM   36    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
03:51:19 AM   37   11.88    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   86.14
03:51:19 AM   38    2.97    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   94.06
03:51:19 AM   39    9.71    0.00    1.94    0.97    0.00    0.00    0.00    0.00    0.00   87.38

03:51:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:51:20 AM  all    3.00    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   93.07
03:51:20 AM    0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
03:51:20 AM    1    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:51:20 AM    2    1.06    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   96.81
03:51:20 AM    3    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
03:51:20 AM    4    2.11    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   94.74
03:51:20 AM    5    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
03:51:20 AM    6    8.16    0.00   32.65    0.00    0.00    0.00    0.00    0.00    0.00   59.18
