Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:19:57 AM     0    429199  59866.67    430.39 27673148  256400   0.39  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:19:58 AM     0    429199  83210.00      0.00 27770224  583160   0.89  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:19:59 AM     0    429199  83106.00      0.00 27835776  915532   1.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:00 AM     0    429199  87393.00      0.00 27934104 1009972   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:01 AM     0    429199  33923.00      0.00 27721060  845896   1.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:02 AM     0    429199  28036.00      3.00 27852132  936052   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:03 AM     0    429199  30371.00      0.00 27983204 1029404   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:04 AM     0    429199  14013.00      1.00 27950412  982108   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:05 AM     0    429199  49803.00      0.00 27950412  988276   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:06 AM     0    429199 141347.00      1.00 28015948 1063432   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:07 AM     0    429199  61792.00      2.00 28081484 1123088   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:08 AM     0    429199   5468.00      2.00 28081484 1123088   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:09 AM     0    429199    534.00      0.00 28081484 1123196   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:10 AM     0    429199   1067.00      0.00 27884876  979328   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:11 AM     0    429199    557.00      0.00 27884876  980856   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:12 AM     0    429199  35424.00      2.00 28015948 1030336   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:13 AM     0    429199  56235.00      0.00 28015948 1066416   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:14 AM     0    429199  50919.00      2.00 28015948 1067324   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:15 AM     0    429199  33848.00      0.00 28015948 1068692   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:16 AM     0    429199   5394.00      0.00 28015948 1069748   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:17 AM     0    429199   4238.00      2.00 28015948 1086448   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:18 AM     0    429199      4.00      0.00 28015948 1086448   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:19 AM     0    429199      2.00      0.00 28015948 1086448   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:20 AM     0    429199   2515.00      2.00 28081484 1096736   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:21 AM     0    429199  15965.00      0.00 28081484 1105176   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:22 AM     0    429199  19311.00      5.00 28081484 1106768   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:23 AM     0    429199  26541.00      0.00 28081484 1108256   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:24 AM     0    429199  21098.00      0.00 27950412 1045260   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:25 AM     0    429199   1423.00      0.00 27950412 1045272   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:26 AM     0    429199   5172.00      0.00 27950412 1045272   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:27 AM     0    429199   5917.00      4.00 28015948 1067076   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:28 AM     0    429199   7128.00      2.00 28015948 1094412   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:29 AM     0    429199    260.00      0.00 28015948 1094412   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:30 AM     0    429199   8686.00      0.00 28015948 1095032   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:31 AM     0    429199  21225.00      0.00 28081484 1105948   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:32 AM     0    429199  64584.00      1.00 28081484 1114904   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:33 AM     0    429199  62746.00      1.00 28081484 1116496   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:34 AM     0    429199  51771.00      2.00 28081484 1118032   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:35 AM     0    429199  39080.00      0.00 27950412 1055136   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:36 AM     0    429199   3390.00      0.00 27950412 1055136   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:37 AM     0    429199   1021.00      0.00 27950412 1056416   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:38 AM     0    429199   6961.00      2.00 28015948 1061172   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:39 AM     0    429199  11682.00      0.00 28015948 1105524   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:40 AM     0    429199    278.00      2.00 28015948 1105524   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:20:42 AM     0    429720  33830.00      8.00 26978580  161492   0.25  java

