procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3      0 63655756  13332 434724    0    0     7  1783    5    7  1  1 98  0  0
 4  0      0 63313792  14912 567196    0    0 39620  1060 38270 74802  4  2 93  0  0
 1  0      0 62808040  14912 729208    0    0     0     0 50623 122079  2  3 95  0  0
 3  0      0 62307896  14912 891780    0    0     0     0 50055 122881  1  3 96  0  0
 2  0      0 61845728  14936 1252328    0    0     0 253788 54050 130939  2  4 94  0  0
 1  1      0 62265220  15000 999444    0    0     0 255768 57351 136724  2  5 94  0  0
 1  0      0 61995380  15012 1179608    0    0     8  8012 55715 135594  1  3 96  0  0
 5  0      0 61390332  15036 1694136    0    0     0 253792 57123 137454  2  4 94  0  0
 6  0      0 61613792  15080 1522824    0    0     0 321704 59965 142839  2  5 92  0  0
 3  0      0 61099824  15124 2040268    0    0     0 198232 59270 142822  2  5 92  0  0
 2  5      0 60089148  15196 2985848    0    0     0 452084 57840 137380  3  7 90  0  0
 3  0      0 61443900  15260 1563336    0    0     4 304968 56911 140083  2  5 93  0  0
 3  0      0 61253920  15260 1753244    0    0     0     0 58693 142900  1  3 96  0  0
 3  1      0 60539644  15300 2461664    0    0     0 507348 62050 144411  2  5 92  0  0
 6  0      0 60902164  15352 2238844    0    0     0 134288 53375 119838  2  5 93  0  0
 4  1      0 60363172  15408 2779428    0    0     0 198324 54458 121527  2  5 92  0  0
10  0      0 59469732  15488 3631556    0    0     4 452256 51502 110764  3  7 91  0  0
 2  0      0 59587608  15556 3483408    0    0     0 453912 49382 106689  2  6 91  0  0
 5  0      0 59015536  15588 4060008    0    0     0 189520 47862 105725  2  5 93  0  0
 2  0      0 60696052  15632 2381564    0    0     0 106856 49746 107785  2  6 93  0  0
 5  1      0 60003592  15720 3074336    0    0     0 385592 54883 121172  3  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 60741800  15820 2300220    0    0     0 453356 55506 122953  3  6 91  1  0
 2  0      0 60551724  15864 2498876    0    0     0 131688 52880 117611  2  5 93  0  0
 5  1      0 60124064  15920 2915992    0    0     0 324884 54214 118811  2  5 92  0  0
 5  1      0 59837312  16004 3210016    0    0     0 514760 59098 129087  3  7 89  1  0
 4  0      0 59380728  16056 3658428    0    0     0 198344 52852 115730  2  5 93  0  0
 4  0      0 58856340  16108 4186008    0    0     4 198436 52995 115259  2  5 92  0  0
 3  0      0 58169796  16184 4872272    0    0     0 452060 56249 122077  2  6 92  0  0
 2  0      0 60319976  16256 2782340    0    0     0 402836 53977 114567  2  7 90  1  0
 4  0      0 59988908  16292 3114104    0    0     0 131720 52393 116300  3  5 92  0  0
 2  0      0 59926188  16340 3179056    0    0     0 131748 52861 117472  2  5 93  0  0
 3  0      0 59001940  16408 4085684    0    0     0 385700 55164 120937  3  6 90  0  0
 2  0      0 59775976  16484 3277084    0    0     0 387784 53263 117867  3  5 91  1  0
 3  0      0 59238660  16524 3808076    0    0     0 198280 53735 117731  2  5 92  0  0
 4  1      0 58722676  16588 4323068    0    0     0 452048 55098 122325  2  5 92  0  0
 5  0      0 58494788  16684 4540168    0    0     0 454028 54980 120283  3  7 89  1  0
 6  0      0 57979608  16724 5045996    0    0     0 198488 49250 106728  2  5 93  0  0
 6  0      0 57474884  16768 5545392    0    0     0 198276 51059 112132  2  5 93  0  0
 8  1      0 56933792  16848 6090472    0    0     0 452076 53651 115602  2  6 92  0  0
 5  0      0 56825680  16924 6250584    0    0     0 443336 55880 119737  3  7 90  0  0
 6  0      0 59273844  16960 3810700    0    0     0 66000 50073 109798  2  5 93  0  0
 4  0      0 59078720  17004 4004820    0    0     0 131704 53438 118169  3  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 58456632  17064 4624108    0    0     0 385640 53760 117571  2  5 91  1  0
 5  0      0 58724120  17136 4299108    0    0     0 453120 57919 126452  3  6 90  1  0
 7  0      0 58847388  17172 4172620    0    0    44 131684 53219 116294  2  5 92  0  0
 3  0      0 59907804  17184 4185992    0    0   920    96 27055 41850  1  2 96  0  0
 6  0      0 59964144  17184 4002380    0    0   184     0 16733 10898  2  1 97  0  0
 4  0      0 59681464  17220 4274092    0    0     0 135884 14700 8610  1  2 96  0  0
10  1      0 59606256  17268 4333296    0    0     0 143628 41098 73423  2  4 93  1  0
 8  1      0 59079980  17316 4833024    0    0     0 198288 52610 102190  3  4 92  1  0
14  0      0 58483512  17356 5363564    0    0     0 132324 48715 93723  5  4 90  1  0
 6  1      0 57981872  17400 5769496    0    0     0 198284 46393 86908  6  4 89  1  0
 7  2      0 57521032  17440 6147776    0    0     0 198524 42813 77952  3  3 93  1  0
 7  1      0 57021108  17484 6536256    0    0     0 198288 42521 75382  3  4 93  0  0
 5  0      0 56505320  17528 6920908    0    0     0 198300 40365 70913  3  4 93  0  0
15  0      0 56003116  17584 7289700    0    0     0 198380 40970 70943  2  4 93  0  0
 4  1      0 55481400  17628 7718296    0    0     0 198296 39479 68879  3  4 93  0  0
 8  1      0 55093340  17656 8085100    0    0     0 156956 37686 65569  3  4 93  0  0
 5  0      0 54790516  17720 8374776    0    0     0 210792 38926 69071  3  4 93  0  0
 6  1      0 58601920  17744 4552272    0    0     0 65844 46661 86877  2  4 93  1  0
 7  0      0 58178984  17784 4950272    0    0     0 131824 51483 100818  2  4 93  1  0
 6  0      0 58306184  17820 4790116    0    0     0 131668 50389 97830  3  4 93  1  0
 7  1      0 57706924  17900 5342576    0    0     0 556132 54057 103140  3  5 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2      0 58202348  17932 4822464    0    0     0 131664 53041 101532  2  4 92  1  0
 8  1      0 57864632  17980 5159128    0    0     0 131740 55926 111321  2  4 93  1  0
 9  0      0 57450740  18020 5573204    0    0     0 131704 54943 108924  2  4 93  1  0
 8  1      0 57910180  18056 5113240    0    0     0 131688 55241 107259  2  4 93  1  0
 5  0      0 57791256  18096 5229924    0    0     4 131860 53698 103271  3  4 93  1  0
 6  1      0 57390216  18124 5632688    0    0     0 131636 55607 110270  3  4 93  1  0
 6  1      0 56998252  18160 6023160    0    0     0 131672 53758 109484  3  4 93  1  0
 5  0      0 57584720  18212 5432172    0    0     0 131744 49778 100540  2  4 93  1  0
 5  0      0 57177412  18240 5843824    0    0     0 131672 48978 96019  3  4 93  0  0
 6  0      0 56692008  18308 6329868    0    0     0 385680 52647 103864  3  4 92  1  0
 6  1      0 57427968  18360 5781764    0    0     0 301728 55416 107000  3  5 91  1  0
 8  1      0 57615328  18396 5592088    0    0     0 143032 54164 107444  2  4 93  1  0
 6  1      0 57323432  18464 5886996    0    0     0 186276 51640 103515  3  4 93  1  0
 6  1      0 56924912  18492 6271480    0    0     0 131636 52800 104358  2  4 93  0  0
 7  0      0 57115124  18528 6056736    0    0     0 131904 49940 94075  2  4 93  1  0
 4  0      0 57165480  18564 5983660    0    0     0 131788 50698 98615  3  4 93  1  0
 7  0      0 56739544  18596 6392184    0    0     0 132224 50687 101074  3  4 93  0  0
 7  0      0 56387068  18648 6716376    0    0     0 198360 51573 102801  3  4 93  1  0
 4  0      0 56036532  18692 7040044    0    0     0 198288 49395 97154  3  4 93  0  0
 4  1      0 55663052  18744 7384720    0    0     0 286752 45636 87344  3  4 93  1  0
 5  0      0 56730912  18836 6274116    0    0     0 444452 54044 103735  3  6 90  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 57386232  18872 5609620    0    0     0 126612 55613 108594  2  4 93  1  0
 5  1      0 56959508  18912 6039680    0    0     0 131708 56461 108937  3  4 93  1  0
 6  0      0 56990628  18948 6009472    0    0     0 126700 54686 107502  2  4 93  1  0
 3  0      0 57445176  18984 5553352    0    0     0 125464 53719 105147  2  4 93  1  0
 7  0      0 57030024  19012 5961776    0    0     0 131868 53347 104419  3  4 93  1  0
 2  0      0 56858628  19048 6125236    0    0     0 114632 49753 96207  2  3 95  1  0
 2  0      0 56742968  19060 6240304    0    0     0    88 44563 83983  2  2 96  0  0
 1  0      0 56625788  19060 6357516    0    0     0     0 44926 85159  1  2 97  0  0
 1  0      0 56509868  19060 6473256    0    0     0     0 44287 83649  1  2 96  0  0
 6  0      0 56389692  19076 6585740    0    0     0 134172 44661 82374  2  2 96  0  0
 3  1      0 57236124  19120 5960404    0    0     0 289684 47492 88569  2  4 92  1  0
 3  0      0 56899936  19172 6297832    0    0     0 198400 51885 99204  2  4 93  1  0
 3  0      0 56503620  19200 6695468    0    0     0 132176 47772 90474  2  4 93  0  0
 2  0      0 56148288  19240 7038140    0    0     0 153996 47050 88882  2  4 93  1  0
 6  0      0 55877860  19280 7278564    0    0     0 198448 44367 81843  2  4 93  1  0
 3  1      0 55492844  19328 7638048    0    0     0 139888 52769 104518  3  4 92  1  0
 5  0      0 55110008  19368 7999648    0    0     0 131716 56063 113771  2  4 93  1  0
 7  0      0 56525228  19404 6553820    0    0     0 110060 50709 98219  2  4 93  1  0
 3  1      0 56699284  19440 6364448    0    0     0 112216 52650 104958  2  4 93  1  0
 3  0      0 56300508  19472 6723920    0    0     0 131852 53407 106842  3  4 93  1  0
 4  1      0 56191964  19540 6811436    0    0     0 360288 45888 89614  3  5 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 56913920  19600 6067808    0    0     0 302108 50131 100502  2  5 91  1  0
 3  1      0 56542404  19628 6430036    0    0     0 131648 50116 100115  2  4 93  1  0
 1  0      0 56405556  19648 6562368    0    0     0 43760 46200 91331  1  3 96  0  0
 3  0      0 56299212  19652 6671064    0    0     0   260 45150 89716  1  2 96  0  0
 1  0      0 56188080  19824 6777792    0    0   180     0 44420 88648  1  2 96  0  0
 2  1      0 56086032  19836 6879500    0    0     0    84 42627 84717  1  2 96  0  0
 2  0      0 55979940  19836 6986804    0    0     0     0 43222 84950  1  2 96  0  0
 1  0      0 55860492  19844 7107036    0    0     0    44 46194 88298  1  2 96  0  0
 1  0      0 55738324  19844 7219704    0    0     0   184 48737 88683  1  2 96  0  0
 2  1      0 55622416  19844 7335248    0    0     0     0 45588 86567  2  2 96  0  0
 4  0      0 56215024  19904 6958588    0    0     0 423432 43697 80422  2  4 94  1  0
 4  0      0 56301840  19928 6882496    0    0     0 132212 49958 97174  2  4 93  1  0
 2  0      0 56025508  19964 7161932    0    0     0 198048 49476 92326  3  4 93  1  0
 3  1      0 55680536  19988 7492956    0    0     0 132368 45729 84189  3  3 93  0  0
 1  0      0 59024308   1412 5054628    0    0   168 169500 28070 35118  1  4 95  0  0
