Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:17:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:17:40 AM  all    4.92    0.00    2.61    0.20    0.00    0.00    0.00    0.00    0.00   92.27
04:17:40 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM    1    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:17:40 AM    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:17:40 AM    3    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:17:40 AM    4    0.00    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00   94.90
04:17:40 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:17:40 AM   10    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
04:17:40 AM   11   11.34    0.00    3.09    1.03    0.00    0.00    0.00    0.00    0.00   84.54
04:17:40 AM   12    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:17:40 AM   13    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:17:40 AM   14   11.88    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   87.13
04:17:40 AM   15   25.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
04:17:40 AM   16   48.51    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   50.50
