Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:40 AM     0    427725  57361.76    425.49 27673360  243080   0.37  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:41 AM     0    427725  77997.00      0.00 27753836  553728   0.85  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:42 AM     0    427725  77816.00      0.00 27835776  864968   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:43 AM     0    427725  76920.00      0.00 27917716  990604   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:44 AM     0    427725  42032.00      0.00 27721060  823452   1.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:45 AM     0    427725  27654.00      4.00 27852132  924488   1.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:46 AM     0    427725  27442.00      0.00 27983204 1034240   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:47 AM     0    427725  25743.00      0.00 27950412  997540   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:48 AM     0    427725  10169.00      0.00 27950412  999260   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:49 AM     0    427725  37598.00      0.00 28081484 1099944   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:50 AM     0    427725  80683.00      2.00 28081484 1104804   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:51 AM     0    427725 120818.00      3.00 28081484 1109408   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:52 AM     0    427725  17130.00      0.00 28081484 1128472   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:53 AM     0    427725   2231.00      0.00 28081484 1130472   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:54 AM     0    427725   1389.00      0.00 28081484 1132720   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:55 AM     0    427725   1228.00      4.00 28015948 1085236   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:56 AM     0    427725    725.00      0.00 28015948 1086924   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:57 AM     0    427725   4925.00      0.00 28015948 1089332   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:58 AM     0    427725   8461.00      0.00 28081484 1122884   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:59 AM     0    427725    134.00      0.00 28081484 1123412   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:00 AM     0    427725     99.00      2.00 28081484 1124028   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:01 AM     0    427725      4.00      0.00 28015948 1091276   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:02 AM     0    427725    114.00      2.00 28015948 1091540   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:03 AM     0    427725    366.00      0.00 28015948 1093124   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:04 AM     0    427725   4471.00      0.00 28081484 1110796   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:05 AM     0    427725     65.00      3.00 28081484 1111060   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:06 AM     0    427725    737.00      0.00 28081484 1113960   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:07 AM     0    427725    477.00      2.00 27950412 1050476   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:08 AM     0    427725    244.00      0.00 27950412 1051268   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:09 AM     0    427725   3507.00      0.00 28015948 1065244   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:10 AM     0    427725  12975.00      3.00 28081484 1117244   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:11 AM     0    427725      4.00      0.00 28081484 1117244   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:12 AM     0    427725    132.00      2.00 28081484 1117772   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:13 AM     0    427725   2175.00      0.00 27950412 1060404   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:14 AM     0    427725   2005.00      0.00 27950412 1067228   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:15 AM     0    427725  28089.00      4.00 28081484 1130700   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:16 AM     0    427725  79932.00      2.00 28081484 1158160   1.77  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:18 AM     0    428135  28615.00      8.00 26962064  140344   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:19 AM     0    428135  41776.00      0.00 26962048  168092   0.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:20 AM     0    428135  14552.00      2.00 27511008  215232   0.33  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:21 AM     0    428135  16645.00      5.00 27577572  280868   0.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:22 AM     0    428135  21451.00      1.00 27577572  365344   0.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:23 AM     0    428135  43042.00      0.00 27643108  478444   0.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:24 AM     0    428135  43712.00      0.00 27643108  624180   0.95  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:18:25 AM     0    428135  41935.00      0.00 27708644  789028   1.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
