procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2      0 63674512  14376 441580    0    0     7  1766    2    0  1  1 98  0  0
 3  0      0 63327060  15972 571216    0    0 39636   268 37565 72970  5  3 92  0  0
 5  0      0 62861136  15972 719908    0    0     0     0 42090 112631  2  3 96  0  0
 2  0      0 62396968  15976 871936    0    0     4     0 44511 114624  1  3 96  0  0
 5  0      0 62081972  16000 1057808    0    0     0 253772 45194 118982  2  3 95  0  0
 3  3      0 62338020  16052 956916    0    0     0 255688 51231 130505  2  5 93  0  0
 4  0      0 62047956  16060 1154536    0    0     4  4980 70625 148403  1  3 96  0  0
 5  0      0 61464476  16096 1642284    0    0     4 253824 82145 162439  2  4 94  0  0
 5  0      0 61646728  16136 1489000    0    0     0 321728 77979 160778  2  5 92  0  0
 6  1      0 61013576  16188 2118496    0    0     4 385924 85780 174555  2  5 92  0  0
 9  1      0 60406216  16284 2609692    0    0     0 454008 67401 148891  4  8 88  0  0
 6  0      0 61297844  16332 1713720    0    0    12 119108 78806 155633  2  4 94  0  0
 5  0      0 60738812  16364 2273404    0    0     0 253820 69231 147582  2  4 94  0  0
 7  0      0 60819824  16408 2167304    0    0     0 321716 74858 152524  2  5 92  0  0
 5  0      0 60273736  16452 2708676    0    0     0 198248 64901 136343  3  5 92  0  0
 5  2      0 59227716  16552 3763920    0    0     0 707712 72369 148607  3  7 90  0  0
 7  0      0 59514280  16616 3523332    0    0     0 198536 64721 135109  2  5 92  0  0
 5  0      0 58961440  16660 4078476    0    0     0 198252 66144 138573  2  5 93  0  0
 6  0      0 57899628  16740 5140396    0    0     0 483528 68446 140872  3  7 90  0  0
 5  0      0 60496020  16812 2508728    0    0     0 321864 67667 141281  2  6 91  0  0
 9  0      0 60303244  16868 2693156    0    0     0 131744 64766 135496  2  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 59475632  16944 3524952    0    0     0 385656 70111 143316  3  7 90  0  0
 7  0      0 60200976  17008 2833428    0    0     0 387340 66124 139090  2  5 92  1  0
 6  0      0 59693012  17060 3343468    0    0     8 198256 63093 132914  2  5 93  0  0
 9  0      0 58717732  17136 4319144    0    0     0 452064 69409 143379  3  7 90  0  0
 6  0      0 58907916  17220 4108008    0    0     0 453984 68394 142652  2  5 92  1  0
 4  1      0 58286192  17252 4730744    0    0     0 198400 64609 136429  3  5 92  0  0
 8  0      0 57414736  17324 5603252    0    0     0 386012 67436 140491  3  6 91  1  0
 9  0      0 57605004  17396 5470448    0    0     0 453924 68060 143529  3  6 91  0  0
 5  0      0 59769264  17440 3308628    0    0     0 138676 61628 128060  2  5 93  0  0
 8  0      0 59147360  17528 3910872    0    0     0 385652 67080 139072  3  6 90  1  0
 7  0      0 59617728  17600 3382888    0    0     4 387532 64345 134278  2  6 91  1  0
 8  0      0 59422124  17648 3585016    0    0     0 132116 66654 138888  2  5 93  0  0
11  1      0 58811040  17716 4197768    0    0     0 385488 71560 145983  3  6 91  0  0
10  0      0 58390528  17780 4678872    0    0     0 387336 70631 146195  4  9 87  1  0
 7  1      0 57215948  17880 5839620    0    0     0 329216 90166 183122  5  8 87  0  0
 9  1      0 55800484  17924 7188752    0    0     4 509588 90886 177792  3  7 90  0  0
 8  0      0 55676692  17944 7278628    0    0     0    76 83279 161534  3  5 92  0  0
 4  0      0 59271960  17944 4810892    0    0   920     0 22042 22070  1  2 97  0  0
 5  0      0 59986780  17944 3992048    0    0   184     0 16320 9587  2  1 97  0  0
 5  0      0 59682788  17988 4253716    0    0     0 128096 15456 9398  1  3 96  0  0
 6  0      0 59589072  18032 4309492    0    0     0 143592 39968 70722  3  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 59066276  18080 4781544    0    0     0 206304 51436 99436  4  4 91  1  0
 4  0      0 58392724  18108 5373532    0    0     0 132196 49963 101881  3  5 91  1  0
 8  1      0 57898784  18152 5754628    0    0     0 198292 51240 103329  2  4 93  1  0
 8  0      0 57284752  18208 6224376    0    0     0 198364 54765 105550  3  4 92  1  0
 7  0      0 56577620  18252 6759816    0    0     0 198292 56424 107599  3  4 93  0  0
 7  0      0 55967328  18284 7213132    0    0     0 132384 56419 104363  3  4 92  0  0
 8  0      0 55541012  18328 7592000    0    0     0 198276 55779 101527  3  4 93  0  0
 6  0      0 54904308  18404 8176288    0    0     0 452104 55133 102647  3  5 92  1  0
 6  1      0 54970016  18500 8040728    0    0     0 453616 55529 101767  3  6 91  1  0
 6  0      0 54559784  18544 8447384    0    0     0 198300 47050 98044  2  4 93  0  0
 9  0      0 57804652  18584 5199316    0    0     0 103120 54891 104728  2  4 93  1  0
 7  0      0 57966796  18624 5047080    0    0     0 131756 59677 118928  2  4 93  0  0
 7  0      0 57499480  18652 5513108    0    0     0 131644 61117 121480  3  4 93  0  0
 8  1      0 57489432  18732 5532168    0    0     0 385608 54386 113827  3  6 91  1  0
 8  1      0 57939992  18788 5173176    0    0     0 386832 55668 115168  3  5 91  1  0
 8  0      0 57757716  18816 5359048    0    0     0 131844 60008 119671  2  4 93  1  0
 4  1      0 57752696  18852 5364312    0    0     0 131676 57067 114715  2  4 93  1  0
 9  0      0 57610700  18884 5505532    0    0     0 131676 60244 119977  2  4 93  1  0
 6  1      0 57148944  18936 5937996    0    0     0 131760 56946 116740  3  4 92  1  0
 8  0      0 56449720  18996 6594792    0    0     0 385432 54802 110247  3  5 91  1  0
 7  0      0 56951072  19052 6064812    0    0     0 387312 52173 108956  3  5 91  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 56523324  19088 6491940    0    0     0 131672 55737 113849  2  4 93  1  0
 8  1      0 56086272  19116 6924936    0    0     0 131636 54711 111310  3  4 93  0  0
 5  0      0 56382192  19164 6629668    0    0     0 131776 53856 108178  3  4 93  1  0
 5  0      0 56513048  19200 6498016    0    0     0 131680 53448 109301  2  4 93  1  0
 6  1      0 56805904  19236 6208756    0    0     0 131876 53833 110005  2  4 93  1  0
 9  0      0 56090868  19312 6933920    0    0     0 452132 57608 117545  3  5 91  1  0
 7  0      0 56415948  19372 6773464    0    0     0 432444 58531 119235  3  5 91  1  0
 7  0      0 56009336  19424 7168368    0    0     0 153324 54779 111660  3  4 92  1  0
 7  0      0 55622832  19468 7543292    0    0     0 198296 55074 114002  2  4 93  1  0
 7  0      0 55225528  19508 7902004    0    0     0 198340 52606 108698  2  4 93  0  0
 7  0      0 54707360  19536 8378488    0    0     0 132312 51768 108211  3  4 93  0  0
 6  0      0 54284536  19616 8757660    0    0     0 452100 54038 112108  3  4 92  1  0
 6  1      0 54218712  19700 8787712    0    0     0 453520 55085 110060  3  6 90  1  0
 8  1      0 53722760  19736 9279844    0    0     0 101056 54646 110035  3  4 93  1  0
 7  0      0 53548660  19784 9442676    0    0     0 192200 56794 115761  2  4 93  1  0
 5  1      0 56164660  19800 6838632    0    0     0 65916 49046 96086  2  4 93  1  0
