Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:22:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:22:12 AM  all    5.32    0.00    2.34    0.18    0.00    0.00    0.00    0.00    0.00   92.16
04:22:12 AM    0    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:22:12 AM    1   11.22    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   84.69
04:22:12 AM    2    5.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
04:22:12 AM    3   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
04:22:12 AM    4   37.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
04:22:12 AM    5    2.00    0.00    2.00    4.00    0.00    0.00    0.00    0.00    0.00   92.00
04:22:12 AM    6   15.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.85
04:22:12 AM    7    7.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
04:22:12 AM    8    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:22:12 AM    9   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
04:22:12 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   11    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:22:12 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   14    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:22:12 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   18    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
04:22:12 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   20    9.71    0.00    0.97    0.00    0.00    0.00    0.00    0.00    0.00   89.32
04:22:12 AM   21    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:22:12 AM   22    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:22:12 AM   23    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.05
04:22:12 AM   24    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:22:12 AM   25    8.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
04:22:12 AM   26   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
04:22:12 AM   27   17.17    0.00   22.22    1.01    0.00    0.00    0.00    0.00    0.00   59.60
04:22:12 AM   28    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:22:12 AM   29   15.84    0.00    7.92    1.98    0.00    0.00    0.00    0.00    0.00   74.26
04:22:12 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   33    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:22:12 AM   34    7.45    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   68.09
04:22:12 AM   35    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:22:12 AM   36    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:22:12 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:12 AM   38    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
04:22:12 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:22:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:22:13 AM  all    1.06    0.00    3.07    0.00    0.00    0.00    0.00    0.00    0.00   95.87
04:22:13 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    1   22.00    0.00   61.00    0.00    0.00    0.00    0.00    0.00    0.00   17.00
04:22:13 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    5    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:22:13 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:22:13 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM    9    5.05    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   84.85
04:22:13 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM   12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:22:13 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM   14    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:22:13 AM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:22:13 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:22:13 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
