Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:12 AM     0    430657  42672.55    428.43 27655508  181532   0.28  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:13 AM     0    430657  49913.00      0.00 27704672  380212   0.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:14 AM     0    430657  70018.00      0.00 27753836  575820   0.88  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:15 AM     0    430657  50878.00      0.00 27803000  779224   1.19  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:16 AM     0    430657  51659.00      0.00 27852164  920736   1.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:17 AM     0    430657  21575.00      2.00 27901328  956380   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:18 AM     0    430657  14310.00      0.00 27688284  757216   1.16  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:19 AM     0    430657  12599.00      0.00 27688284  806836   1.23  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:20 AM     0    430657  12889.00      2.00 27753820  855736   1.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:21 AM     0    430657  11866.00      0.00 27819356  902992   1.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:22 AM     0    430657  11711.00      2.00 27884892  949928   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:23 AM     0    430657  36135.00      0.00 27950428  999260   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:24 AM     0    430657  12416.00      2.00 27950412  963672   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:25 AM     0    430657   1121.00      0.00 27950412  968160   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:26 AM     0    430657  34163.00      0.00 27950412  969380   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:27 AM     0    430657  49405.00      3.00 27950412  969504   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:28 AM     0    430657  25281.00      2.00 27950412  969896   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:29 AM     0    430657  84356.00      0.00 28015948 1016056   1.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:30 AM     0    430657  15848.00      0.00 28015948 1047488   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:32 AM     0    430941  33040.00     11.00 26585640  159948   0.24  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:33 AM     0    430941   9537.00      3.00 26488336  105288   0.16  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:34 AM     0    430941  13754.00      0.00 27428456  154208   0.24  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:35 AM     0    430941   3483.00      0.00 27428456  160764   0.25  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:36 AM     0    430941  11133.00      0.00 27428456  205552   0.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:37 AM     0    430941  19960.00      2.00 27428456  267744   0.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:38 AM     0    430941  14786.00      1.00 27423040  312656   0.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:39 AM     0    430941  11794.00      0.00 27423040  359636   0.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:40 AM     0    430941  11695.00      0.00 27423040  406208   0.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:41 AM     0    430941  13015.00      0.00 27423040  457888   0.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:42 AM     0    430941  16377.00      3.00 27423040  523124   0.80  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:43 AM     0    430941  19032.00      0.00 27423040  599152   0.92  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:44 AM     0    430941  21403.00      0.00 27423040  684276   1.05  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:45 AM     0    430941  27477.00      2.00 27423040  726600   1.11  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:46 AM     0    430941  29325.00      0.00 27423040  726600   1.11  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:47 AM     0    430941  32750.00      2.00 27423040  726600   1.11  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:48 AM     0    430941  31353.00      0.00 27423040  726600   1.11  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
