procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 63678416  13228 434132    0    0     7  1797    8   13  1  1 98  0  0
 2  0      0 63438232  14856 531916    0    0 39620  1120 50684 105548  5  2 92  0  0
 1  0      0 63143908  14856 622608    0    0     0     0 66510 164042  1  3 96  0  0
 1  0      0 62858172  14856 712220    0    0     0     0 65527 161937  1  3 96  0  0
 1  0      0 62561348  14856 804768    0    0     0     0 67284 168485  1  3 96  0  0
 4  1      0 62322452  14868 897664    0    0     0   140 67694 168267  1  3 96  0  0
 4  0      0 62182644  14900 995608    0    0     8 236576 71787 177397  1  3 96  0  0
 5  0      0 61986824  14980 1133960    0    0     0 272152 76188 186149  2  5 93  0  0
 2  0      0 62374096  14980 949720    0    0     0     0 72409 179534  1  3 96  0  0
 2  0      0 62225940  14980 1046528    0    0     0     0 71990 176521  1  3 95  0  0
 3  3      0 62086884  14988 1141088    0    0     0    80 69299 171920  1  3 96  0  0
 2  0      0 61947552  14996 1234300    0    0     4  3864 68772 170127  1  3 96  0  0
 4  0      0 61358936  15020 1784440    0    0     0 253112 69313 168363  2  5 93  0  0
 2  0      0 61737828  15072 1434336    0    0     0 383404 63117 145562  2  5 92  0  0
 3  1      0 61217892  15112 1958448    0    0     0 198208 62931 144440  2  5 93  0  0
 6  1      0 61582860  15176 1587156    0    0     0 172484 59770 134983  2  5 93  0  0
 1  0      0 61788424  15180 1384384    0    0     4   176 66788 164540  1  3 96  0  0
 3  0      0 61695436  15180 1477716    0    0     0     0 67912 167437  1  3 96  0  0
 2  0      0 61233632  15216 1904012    0    0     0 253136 70784 173590  2  5 93  0  0
 1  0      0 61668800  15244 1422928    0    0     0 251268 75566 186267  1  4 94  0  0
 0  1      0 62679560  15256 1429436    0    0   920   104 21397 27091  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 62496420  15276 1490268    0    0   184  5260 16002 9538  2  1 97  0  0
 8  0      0 62342356  15328 1713144    0    0     0 154216 39823 69556  3  4 93  1  0
 2  0      0 61854460  15368 2167352    0    0     0 189488 46930 88352  4  4 91  1  0
 3  0      0 61554888  15408 2459568    0    0     0 140880 38971 67928  3  4 93  0  0
 1  1      0 61195476  15464 2777520    0    0     0 198340 32112 50189  3  3 93  0  0
 2  0      0 60927916  15496 2985820    0    0     4 135196 25989 35481  3  3 93  0  0
 3  1      0 62368116  15532 1499112    0    0     0 115348 34090 55491  2  4 94  1  0
 3  1      0 62126844  15576 1692688    0    0     0 131712 53900 105141  2  3 93  1  0
 4  0      0 61841908  15600 1925360    0    0     0 65852 52870 101970  3  4 93  1  0
 1  0      0 61884644  15656 1814480    0    0    44 131776 52305 98421  2  3 94  1  0
 2  1      0 61707252  15656 1928504    0    0     0   184 49708 94792  1  2 96  1  0
 3  0      0 61534380  15656 2025816    0    0     0   152 46639 87381  1  2 97  1  0
 3  0      0 61370080  15656 2104736    0    0     0     0 42743 77365  1  1 97  0  0
 3  0      0 61263736  15656 2168856    0    0     0     0 38930 67603  2  2 96  0  0
 1  0      0 61215604  15668 2218480    0    0     0    68 34183 55939  2  1 97  0  0
 1  0      0 61180084  15676 2253680    0    0     0   220 28900 42931  2  1 97  0  0
 2  0      0 61156900  15676 2277212    0    0     0     0 24269 31645  2  1 97  0  0
 2  0      0 62173924   1772 1956748    0    0   256   472 21824 21730  2  1 97  0  0
