Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:14:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:14:22 AM  all    4.37    0.00    1.68    0.23    0.00    0.00    0.00    0.00    0.00   93.72
04:14:22 AM    0    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
04:14:22 AM    1    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:14:22 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM    4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:14:22 AM    5    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:14:22 AM    6    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
04:14:22 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM    9    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:14:22 AM   10    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:14:22 AM   11   21.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.79
04:14:22 AM   12    8.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
04:14:22 AM   13    8.91    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   90.10
04:14:22 AM   14    6.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
04:14:22 AM   15    7.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
04:14:22 AM   16    7.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
04:14:22 AM   17   19.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.81
04:14:22 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:14:22 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   23    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:14:22 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:14:22 AM   28    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:14:22 AM   29    8.08    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   87.88
