Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:22 AM     0    424523  58865.69    429.41 27871588  249424   0.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:23 AM     0    424523  86513.00      0.00 27969916  595708   0.91  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:24 AM     0    424523  87133.00      1.00 28051856  918292   1.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:25 AM     0    424523 118908.00      0.00 28133796 1006032   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:26 AM     0    424523  40451.00      0.00 27937140  846420   1.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:27 AM     0    424523  29142.00      2.00 28060016  954124   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:28 AM     0    424523  26234.00      0.00 28191088 1059080   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:29 AM     0    424523   7542.00      2.00 28141908  974128   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:30 AM     0    424523  36841.00      0.00 28207444 1014408   1.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:31 AM     0    424523  49485.00      0.00 28272980 1096448   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:32 AM     0    424523  78524.00      3.00 28272980 1100624   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:33 AM     0    424523 101539.00      2.00 28272980 1100964   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:34 AM     0    424523  16411.00      0.00 28010836  923476   1.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:35 AM     0    424523  19574.00      0.00 28141908 1000676   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:36 AM     0    424523  25106.00      0.00 28272980 1098224   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:37 AM     0    424523   2058.00      3.00 28272980 1105128   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:38 AM     0    424523    722.00      2.00 28272980 1106956   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:39 AM     0    424523   3910.00      0.00 28272980 1121628   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:40 AM     0    424523    163.00      0.00 28272980 1122152   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:41 AM     0    424523    274.00      0.00 28272980 1123192   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:42 AM     0    424523   1158.00      4.00 28207444 1083040   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:43 AM     0    424523    216.00      0.00 28207444 1083832   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:44 AM     0    424523  11513.00      0.00 28272980 1129760   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:45 AM     0    424523    244.00      0.00 28272980 1130552   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:46 AM     0    424523    771.00      0.00 28207444 1088600   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:47 AM     0    424523    244.00      4.00 28207444 1089656   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:48 AM     0    424523   2460.00      2.00 28272980 1099400   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:49 AM     0    424523   9901.00      0.00 28272980 1138736   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:50 AM     0    424523   1155.00      0.00 28272980 1140364   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:51 AM     0    424523  13744.00      0.00 28338516 1191576   1.82  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:52 AM     0    424523  11832.00      4.00 28404052 1237724   1.89  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:53 AM     0    424523   2359.00      0.00 28404052 1246964   1.91  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:54 AM     0    424523  47303.00      0.00 28272980 1193912   1.82  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:55 AM     0    424523  78526.00      0.00 28272980 1199392   1.83  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:57 AM     0    424937  27531.00      8.00 26945684  136020   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:58 AM     0    424937  40903.00      2.00 26962056  168800   0.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:59 AM     0    424937  10612.00      2.00 26964112  190112   0.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:00 AM     0    424937  10702.00      0.00 27311324  220376   0.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:01 AM     0    424937   7987.00      2.00 27311324  246348   0.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:02 AM     0    424937  18517.00      0.00 27910400  305496   0.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:03 AM     0    424937  22371.00      0.00 27910400  368284   0.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:04 AM     0    424937  22915.00      0.00 27910400  444120   0.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:05 AM     0    424937  26492.00      0.00 27910400  532948   0.81  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:06 AM     0    424937  29224.00      0.00 27975936  641940   0.98  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:07 AM     0    424937  49184.00      0.00 27975936  750932   1.15  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
