procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3      0 63652204  13148 436260    0    0     6  1746   20   12  1  1 98  0  0
 2  0      0 63321984  14576 571976    0    0 39520  1024 17807 77676  4  2 94  0  0
 1  0      0 62807920  14576 740068    0    0     0     0 11862 126416  2  2 96  0  0
 1  0      0 62335924  14576 904468    0    0     0     0 11914 124448  1  2 97  0  0
 4  0      0 61896692  14600 1264576    0    0     0 253788 12973 123973  2  2 96  0  0
 4  2      0 62312136  14648 1011120    0    0     0 255764 13764 143361  2  3 95  0  0
 1  0      0 61994012  14664 1224504    0    0    12  8008 12080 160137  1  2 97  0  0
 1  1      0 61157660  14696 1944876    0    0     0 311148 13262 154822  2  2 95  0  0
 4  0      0 61499976  14760 1654388    0    0     0 330444 16192 163156  3  3 94  0  0
 5  0      0 60704512  14820 2402584    0    0     0 385952 18687 159256  3  4 93  0  0
 4  1      0 60513976  14904 2499652    0    0     0 453968 20566 157475  4  4 92  0  0
 1  0      0 61296860  14928 1712676    0    0     4 49272 12860 144303  2  2 96  0  0
 6  0      0 60725784  14960 2286532    0    0     0 253820 13484 147804  2  3 95  0  0
 4  0      0 61063484  15004 2127828    0    0     0 321720 17970 165718  2  3 94  0  0
 7  0      0 60435092  15080 2681180    0    0     0 452052 18069 164648  3  3 94  0  0
 5  1      0 59742092  15164 3274968    0    0     0 453936 19541 163960  4  5 91  0  0
 2  0      0 59414056  15208 3587428    0    0     4 198456 16583 164798  3  3 94  0  0
 9  0      0 58511516  15284 4493740    0    0     0 452036 17771 170408  4  4 92  0  0
 4  0      0 59114416  15356 3860040    0    0     0 419836 20090 177409  3  4 92  0  0
 5  0      0 60164612  15412 2809160    0    0     0 319684 16327 163675  3  4 93  0  0
 6  0      0 59807984  15496 3160136    0    0    44 387376 18811 169805  4  5 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 59907384  15544 3110080    0    0     0 198204 16389 164253  3  3 94  0  0
 4  1      0 58950116  15620 4072728    0    0     0 452060 18474 165356  3  4 92  0  0
 2  0      0 58990984  15676 3981400    0    0     0 387836 20167 171411  3  4 93  0  0
 6  1      0 58322336  15744 4647944    0    0     0 452024 18196 176315  3  3 93  0  0
 4  0      0 58224196  15824 4787096    0    0     0 387908 21452 170533  4  4 91  1  0
 6  0      0 57610096  15856 5400420    0    0     0 132368 16301 173391  3  3 94  0  0
 6  0      0 56689496  15932 6320992    0    0     0 452076 18742 167730  4  4 91  0  0
 5  0      0 56770016  15988 6196164    0    0     0 387820 20757 180350  3  4 93  1  0
 4  0      0 56114052  16068 6846888    0    0     0 452088 19952 166985  3  4 92  0  0
32  1      0 55721684  16164 7178540    0    0     0 394196 25655 167432  8 12 80  1  0
 7  1      0 56628380  16304 6199588    0    0     0 987184 30347 89827 11 19 58 13  0
 6  0      0 55850828  16344 7007124    0    0     0 254404 16351 170630  3  4 93  0  0
 4  0      0 55081572  16372 7767140    0    0     0 255652 18933 157148  4  4 92  0  0
 6  0      0 54943356  16372 7961952    0    0     0     0 14886 141064  3  3 94  0  0
 3  0      0 59316952  16384 4739444    0    0   920   112 13944 4723  1  2 98  0  0
 6  0      0 59959084  16384 3987328    0    0   184     0 15953 9598  2  1 97  0  0
 4  0      0 59685192  16412 4232668    0    0     0 135992 14536 8983  1  2 97  0  0
