Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:06 AM     0    423059  59398.04    427.45 27555156  250060   0.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:07 AM     0    423059  90990.00      1.00 27969916  609184   0.93  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:08 AM     0    423059  88850.00      0.00 28051856  929276   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:09 AM     0    423059 115260.00      0.00 28133796 1014464   1.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:10 AM     0    423059  35382.00      0.00 27920752  856716   1.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:11 AM     0    423059  28659.00      3.00 28051824  963616   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:12 AM     0    423059  24885.00      0.00 28248432 1062836   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:13 AM     0    423059   6067.00      2.00 28150104  989160   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:14 AM     0    423059  12931.00      0.00 28215640 1040640   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:15 AM     0    423059  35512.00      0.00 28281176 1123492   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:16 AM     0    423059  95202.00      4.00 28281176 1127692   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:17 AM     0    423059 126763.00      2.00 28281176 1128984   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:18 AM     0    423059  13913.00      0.00 28084568  984196   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:19 AM     0    423059  12985.00      0.00 28215640 1032972   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:20 AM     0    423059  24013.00      0.00 28281176 1126424   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:21 AM     0    423059   5901.00      3.00 28338516 1149024   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:22 AM     0    423059   4633.00      0.00 28338516 1150192   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:23 AM     0    423059   1979.00      2.00 28076372  993392   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:24 AM     0    423059   7132.00      0.00 28141908 1021308   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:25 AM     0    423059  24230.00      0.00 28272980 1117848   1.71  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:26 AM     0    423059   9329.00      3.00 28338516 1155552   1.77  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:27 AM     0    423059     11.00      2.00 28338516 1155556   1.77  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:28 AM     0    423059   5433.00      0.00 28338516 1170220   1.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:29 AM     0    423059  22189.00      0.00 28338516 1178076   1.80  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:30 AM     0    423059 139860.00      0.00 28338516 1180200   1.80  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:31 AM     0    423059  92104.00      2.00 28207444 1100432   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:32 AM     0    423059   6110.00      0.00 28207444 1101408   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:33 AM     0    423059  13167.00      2.00 28272980 1150940   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:34 AM     0    423059   4733.00      0.00 28338516 1167820   1.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:35 AM     0    423059    568.00      0.00 28338516 1168932   1.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:36 AM     0    423059  15636.00      4.00 28338516 1227072   1.88  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:37 AM     0    423059  11691.00      2.00 28404052 1266648   1.94  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:38 AM     0    423059   1240.00      0.00 28404052 1270208   1.94  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:39 AM     0    423059  65647.00      0.00 28076372 1059324   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:40 AM     0    423059  56972.00      0.00 28076372 1064204   1.63  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:42 AM     0    423532  47964.00      8.00 27028656  218604   0.33  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:43 AM     0    423532  26335.00      0.00 26962056  179440   0.27  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:44 AM     0    423532  14485.00      1.00 27577580  223136   0.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:45 AM     0    423532  23555.00      1.00 27644144  309056   0.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:46 AM     0    423532  30514.00      0.00 27644144  399404   0.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:47 AM     0    423532  39126.00      4.00 27709680  520600   0.80  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:48 AM     0    423532  42568.00      0.00 27709680  670416   1.02  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:49 AM     0    423532  40337.00      0.00 27775216  829976   1.27  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:50 AM     0    423532  35331.00      0.00 27840752  966940   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:12:51 AM     0    423532  45832.00      0.00 27906288 1013512   1.55  java

