procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 63638440  14156 449356    0    0     6  1729   18    6  1  1 98  0  0
 5  0      0 63291240  15532 589040    0    0 39504  1412 18083 81187  4  2 94  0  0
 2  0      0 62776672  15532 753740    0    0     0     0 12394 124671  3  2 95  0  0
 2  0      0 62317536  15532 918784    0    0     0     0 11989 124577  1  2 97  0  0
 3  0      0 61845996  15556 1303668    0    0     0 253784 14103 122743  2  3 95  0  0
 2  3      0 62271764  15620 1026036    0    0     0 255768 13311 144220  2  3 95  0  0
 1  0      0 61955504  15632 1236876    0    0     8  8016 12153 158614  2  2 97  0  0
 2  0      0 61133320  15668 1945336    0    0     4 253808 13122 145703  2  3 95  0  0
 5  0      0 61473820  15724 1660912    0    0     0 387792 16533 165842  3  3 93  0  0
 3  0      0 60712348  15776 2369092    0    0     0 385948 18232 165975  3  4 93  0  0
 5  1      0 60475728  15860 2512224    0    0     0 453948 20814 164220  4  5 91  0  0
 3  0      0 61241420  15888 1740604    0    0     8 49260 12950 146995  1  3 96  0  0
 2  0      0 60643240  15920 2339268    0    0     0 253836 13610 144317  2  3 95  0  0
 4  0      0 60991984  15984 2145112    0    0     0 321852 18524 170891  2  3 94  0  0
 3  1      0 60384356  16048 2696608    0    0     0 452028 19477 163535  3  3 93  1  0
 2  1      0 59279188  16100 3708288    0    0     0 387776 18626 152108  4  4 92  0  0
 2  0      0 59509388  16160 3449436    0    0     0 198552 17846 165216  3  3 93  0  0
 5  0      0 58644028  16220 4321008    0    0     0 385972 18774 156310  3  4 93  0  0
 2  0      0 58860244  16304 4253948    0    0     0 453976 20687 158577  3  4 92  1  0
 6  0      0 60438044  16336 2650760    0    0     0 98136 15923 163863  2  3 94  0  0
 5  0      0 59388484  16412 3605776    0    0     0 385524 17134 154517  4  4 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 60166460  16484 2787936    0    0     0 387508 18619 164694  3  4 93  0  0
 3  0      0 59532920  16544 3420552    0    0     0 385976 16975 157001  3  3 93  1  0
 4  0      0 59094416  16628 3850204    0    0     0 453964 21808 174850  4  4 92  1  0
 2  0      0 58778508  16656 4141140    0    0     0 132188 16461 157117  3  3 93  0  0
 5  0      0 57886620  16720 5040572    0    0     0 385980 16979 144715  4  4 92  1  0
 6  0      0 58100732  16796 4906548    0    0     0 454088 18535 151457  3  4 93  0  0
 3  2      0 57521048  16856 5488724    0    0     0 452032 18739 168248  2  3 94  0  0
 5  1      0 56454312  16920 6508084    0    0     0 387828 18663 159767  4  4 91  0  0
 4  0      0 56692584  16984 6254620    0    0     0 198376 20168 173784  3  3 94  0  0
 5  0      0 55830708  17048 7113888    0    0     0 385984 17494 163400  4  4 93  0  0
31  3      0 55748468  17132 7136872    0    0     0 394324 29142 171538 10 15 74  1  0
 4  0      0 56345216  17248 6462232    0    0     0 987332 30176 122611  9 15 64 12  0
 5  0      0 55339560  17296 7505032    0    0     0 253896 16379 157223  3  4 92  0  0
 8  0      0 55327064  17324 7723976    0    0     0 255640 20562 155786  3  4 92  0  0
