Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:16:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:16:31 AM  all    5.08    0.00    1.53    0.30    0.00    0.00    0.00    0.00    0.00   93.08
04:16:31 AM    0    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
04:16:31 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:16:31 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM    8    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:16:31 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   10    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:16:31 AM   11   32.32    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   64.65
04:16:31 AM   12   11.11    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   81.82
04:16:31 AM   13   52.48    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   45.54
04:16:31 AM   14   17.17    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   81.82
04:16:31 AM   15    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:16:31 AM   16   19.19    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   69.70
04:16:31 AM   17   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
04:16:31 AM   18   17.17    0.00    5.05    4.04    0.00    0.00    0.00    0.00    0.00   73.74
04:16:31 AM   19    5.05    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   89.90
04:16:31 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   24    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:16:31 AM   25    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:16:31 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:16:31 AM   30    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:16:31 AM   31    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:16:31 AM   32    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
04:16:31 AM   33    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:16:31 AM   34    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
