Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:31 AM     0    425936  45524.51    429.41 27655508  181368   0.28  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:32 AM     0    425936  54153.00      0.00 27704672  397212   0.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:33 AM     0    425936  54652.00      0.00 27770224  615548   0.94  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:34 AM     0    425936  58045.00      0.00 27819388  847864   1.30  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:35 AM     0    425936  60670.00      0.00 27868552  940900   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:36 AM     0    425936  46157.00      3.00 27934104 1001464   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:37 AM     0    425936  15916.00      0.00 27704672  806136   1.23  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:38 AM     0    425936  15646.00      2.00 27770208  865880   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:39 AM     0    425936  14786.00      0.00 27835744  925168   1.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:40 AM     0    425936  14583.00      0.00 27966816  983232   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:41 AM     0    425936  44840.00      4.00 27950412  959476   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:42 AM     0    425936  53451.00      0.00 27950412  977136   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:43 AM     0    425936  46063.00      0.00 27950412  978720   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:44 AM     0    425936  49625.00      0.00 27950412  980136   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:45 AM     0    425936  48524.00      0.00 28015948 1027848   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:46 AM     0    425936  11184.00      4.00 27819340  877708   1.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:48 AM     0    426239  33272.00      8.00 26585640  159704   0.24  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:49 AM     0    426239  17137.00      2.00 26490392  136908   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:50 AM     0    426239   8883.00      0.00 27428456  164368   0.25  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:51 AM     0    426239   4225.00      2.00 27428456  168900   0.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:52 AM     0    426239  13955.00      1.00 27428456  224028   0.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:53 AM     0    426239  19637.00      0.00 27428456  283956   0.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:54 AM     0    426239  16985.00      0.00 27428456  351076   0.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:55 AM     0    426239  14834.00      0.00 27423040  400164   0.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:56 AM     0    426239  11694.00      0.00 27423040  446744   0.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:57 AM     0    426239  12987.00      0.00 27423040  498324   0.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:58 AM     0    426239  14075.00      0.00 27423040  554092   0.85  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:16:59 AM     0    426239  16568.00      0.00 27423040  619444   0.95  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:00 AM     0    426239  19308.00      0.00 27423040  695584   1.06  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:01 AM     0    426239  10037.00      4.00 27423040  731968   1.12  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:03 AM     0    426239  22743.00      0.00 27423040  732148   1.12  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:04 AM     0    426239  34009.00      0.00 27423040  732148   1.12  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:17:05 AM     0    426239  37564.00      0.00 27423040  732152   1.12  java
