procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3      0 63680628  13948 435832    0    0     7  1759    1   18  1  1 98  0  0
 3  0      0 63430428  15300 535568    0    0 39492  1092 17783 106544  5  2 93  0  0
 3  0      0 63117708  15300 633848    0    0     0     0 11860 178726  1  2 97  0  0
 4  0      0 62817348  15300 732344    0    0     0     0 11899 178575  1  2 97  0  0
 3  0      0 62498320  15300 837280    0    0     0     0 11730 190386  1  2 97  0  0
 1  3      0 62303788  15308 944760    0    0     0   140 11945 194569  2  2 97  0  0
 4  0      0 61869708  15348 1317968    0    0     4 261136 13289 211074  2  3 95  0  0
 1  0      0 62431216  15396 929192    0    0     0 251268 13658 210221  2  3 95  0  0
 4  0      0 62255320  15396 1047740    0    0     0     0 11966 214830  1  2 97  0  0
 1  0      0 62077224  15396 1165460    0    0     0     0 12434 214080  1  2 97  0  0
 2  1      0 61804436  15432 1367848    0    0    44 253176 14051 211357  2  2 96  0  0
 4  0      0 61564920  15464 1542060    0    0     0 251448 13432 196279  2  3 94  0  0
 3  0      0 61564936  15492 1593040    0    0     0 132148 15254 191876  3  3 94  0  0
 2  0      0 61068960  15536 2076972    0    0     0 198212 17229 206873  3  3 94  0  0
 2  0      0 60655244  15576 2481340    0    0     0 172400 17709 206252  3  3 94  0  0
 5  1      0 61265120  15800 1826668    0    0   180 253244 13576 204472  2  3 95  0  0
 1  0      0 61615476  15828 1436396    0    0     0 251456 13802 217968  2  2 96  0  0
 0  0      0 62648364  15828 1429804    0    0   920     0 13702 4774  0  1 99  0  0
 4  0      0 62332636  15844 1614912    0    0   184 26716 16320 10381  2  1 97  0  0
 3  0      0 62143004  15896 1824548    0    0     0 127596 51572 97404  5  4 91  1  0
 6  1      0 61785592  15936 2153224    0    0     0 132260 44191 81756  3  3 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 61530372  15972 2403444    0    0     4 140152 35273 59430  3  3 94  0  0
 3  0      0 61288744  16004 2592132    0    0     0 132152 30294 46565  3  3 94  0  0
 3  0      0 61043828  16032 2776700    0    0     0 132148 25413 34197  3  3 94  0  0
 3  0      0 60771612  16060 2982268    0    0     0 132148 23090 29052  3  2 94  0  0
 3  0      0 62185868  16108 1515380    0    0     0 115448 36226 61962  3  3 94  1  0
 5  1      0 61964052  16152 1694564    0    0     0 131712 53463 104587  3  3 94  1  0
 4  0      0 61679332  16176 1927408    0    0     0 65852 53315 105437  3  3 94  1  0
 3  0      0 61711224  16220 1827132    0    0     0 131692 52185 101335  2  3 94  1  0
 3  1      0 61519484  16220 1937944    0    0     0     0 49814 93282  1  2 96  1  0
 2  0      0 61349396  16228 2032020    0    0     0    20 45815 85367  1  2 97  1  0
 3  1      0 61238016  16372 2110692    0    0   188   288 42762 77141  2  2 96  0  0
 3  1      0 61172496  16372 2176336    0    0     0   152 39263 68504  2  1 97  0  0
 2  0      0 61125372  16380 2223500    0    0     0    44 33472 54341  2  1 97  0  0
 4  0      0 61090848  16380 2257952    0    0     0     0 28519 42060  2  1 97  0  0
 5  1      0 61068420  16392 2280600    0    0     0   112 23952 30733  2  1 97  0  0
