Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

03:58:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:45 AM  all    3.24    0.00    2.58    0.25    0.00    0.00    0.00    0.00    0.00   93.92
03:58:45 AM    0    1.03    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   96.91
03:58:45 AM    1    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
03:58:45 AM    2    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
03:58:45 AM    3   10.42    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   87.50
03:58:45 AM    4   22.11    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   74.74
03:58:45 AM    5    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
03:58:45 AM    6    7.00    0.00    2.00    6.00    0.00    0.00    0.00    0.00    0.00   85.00
03:58:45 AM    7    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
03:58:45 AM    8    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:58:45 AM    9   29.70    0.00   54.46    0.00    0.00    0.00    0.00    0.00    0.00   15.84
03:58:45 AM   10    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
03:58:45 AM   11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:58:45 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:45 AM   13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:58:45 AM   14    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:58:45 AM   15    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:58:45 AM   16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:58:45 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:45 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:45 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:45 AM   20   11.88    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   86.14
03:58:45 AM   21    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
03:58:45 AM   22    6.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
03:58:45 AM   23   10.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.80
03:58:45 AM   24    2.13    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   96.81
03:58:45 AM   25    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
03:58:45 AM   26    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
03:58:45 AM   27    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
03:58:45 AM   28    3.03    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   94.95
03:58:45 AM   29    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
