Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:45 AM     0    414723  27371.57    425.49 27522380  136456   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:46 AM     0    414723  53900.00      0.00 27571544  337816   0.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:47 AM     0    414723  58657.00      0.00 27604320  515656   0.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:48 AM     0    414723  47967.00      0.00 27653484  697644   1.07  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:49 AM     0    414723  44217.00      0.00 27702648  874052   1.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:50 AM     0    414723  41693.00      2.00 27735424  939204   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:51 AM     0    414723  14057.00      1.00 27784588  984484   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:52 AM     0    414723  11190.00      0.00 27555156  770856   1.18  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:53 AM     0    414723  12137.00      0.00 27620692  819336   1.25  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:54 AM     0    414723  39812.00      1.00 27620692  863724   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:55 AM     0    414723  51897.00      0.00 27686228  908112   1.39  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:56 AM     0    414723  54124.00      0.00 27751764  954224   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:57 AM     0    414723  76659.00      0.00 27817300  997972   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:58 AM     0    414723  37647.00      0.00 27817284  964972   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:58:59 AM     0    414723  28325.00      0.00 27817284  971072   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:00 AM     0    414723    430.00      0.00 27817284  972068   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:01 AM     0    414723  12064.00      0.00 27817284  973028   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:02 AM     0    414723  35914.00      0.00 27817284  973140   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:03 AM     0    414723  13784.00      0.00 27882820 1006892   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:04 AM     0    414723  41321.00      0.00 27882820 1034640   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:05 AM     0    414723  50863.00      0.00 27882820 1038732   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:06 AM     0    414723  17141.00      0.00 27882820 1038732   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:07 AM     0    414723  12193.00      0.00 27882820 1038732   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:08 AM     0    414723   9033.00      0.00 27882820 1042888   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:09 AM     0    414723  11902.00      0.00 27882820 1042888   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:10 AM     0    414723   7971.00      0.00 27751748  963640   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:11 AM     0    414723   1569.00      0.00 27751748  965040   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:12 AM     0    414723  11159.00      0.00 27751748  966008   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:13 AM     0    414723  42906.00      0.00 27751748  967444   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:14 AM     0    414723  43282.00      0.00 27751748  968508   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:15 AM     0    414723  50382.00      0.00 27817284  992996   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:16 AM     0    414723  58175.00      0.00 27882820 1030568   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:17 AM     0    414723  30026.00      0.00 27882820 1038548   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:18 AM     0    414723   3789.00      0.00 27882820 1038576   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:19 AM     0    414723    187.00      0.00 27882820 1038932   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:20 AM     0    414723     73.00      1.00 27882820 1038932   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:21 AM     0    414723    176.00      1.00 27882820 1038932   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:22 AM     0    414723    414.00      0.00 27882820 1039104   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:23 AM     0    414723    788.00      2.00 27686212  926960   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:24 AM     0    414723    464.00      0.00 27686212  928488   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:25 AM     0    414723    481.00      0.00 27686212  929428   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:26 AM     0    414723  26922.00      0.00 27686212  930496   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:27 AM     0    414723  49450.00      0.00 27751748  954700   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:28 AM     0    414723  40717.00      0.00 27817284  993064   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:29 AM     0    414723  72711.00      0.00 27882820 1028552   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:30 AM     0    414723  35747.00      0.00 27882820 1062148   1.62  java

