procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 63711984  13556 395120    0    0     6  1668    3   19  1  1 98  0  0
 4  0      0 63516408  14824 493948    0    0 39504   268 34126 54879  3  3 94  0  0
 3  0      0 63251820  14824 587288    0    0     0     0 40096 76266  3  4 93  0  0
 1  0      0 62994548  14824 683224    0    0     0     0 40685 79198  1  4 95  0  0
 5  0      0 62709804  14824 784208    0    0     0     0 41995 82917  1  4 95  0  0
 4  0      0 62428148  14832 882860    0    0     0    92 41710 80290  1  4 95  0  0
 4  0      0 62267120  14840 981808    0    0     0 65300 42886 77966  2  4 94  0  0
 7  0      0 61807644  14868 1340132    0    0     4 253780 41617 79027  2  5 93  0  0
 5  0      0 62417588  14928 918764    0    0     0 255628 40209 75309  2  5 93  0  0
 4  0      0 62252820  15676 1038640    0    0  3120 59732 50073 89280  1  4 95  0  0
 2  0      0 62110712  15676 1139532    0    0     0     0 41301 80896  1  4 95  0  0
 4  0      0 61969612  15676 1237040    0    0     0     0 41535 81471  1  4 95  0  0
 3  0      0 61821192  15676 1342544    0    0     0     0 42641 85053  1  4 95  0  0
 4  0      0 61275896  15700 1838272    0    0     0 253812 40583 76292  2  6 92  0  0
 2  0      0 61660532  15756 1481396    0    0     0 321828 40318 74812  2  6 92  0  0
 5  0      0 61237828  15788 1893212    0    0     0 132156 42202 78303  3  6 91  0  0
 7  0      0 60822344  15816 2310624    0    0     0 132152 42689 82111  2  6 92  0  0
 3  0      0 61586104  15952 1538528    0    0     4 254740 56197 79342  2  6 92  0  0
 3  0      0 61486440  15964 1642408    0    0    12     0 42422 84551  1  4 95  0  0
 5  0      0 61139628  15996 1959396    0    0     0 253812 42506 81718  1  5 93  0  0
 4  0      0 61476116  16024 1586600    0    0     0 255620 44791 86410  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 61373600  16024 1689544    0    0     0     0 42213 83572  1  3 95  0  0
 4  0      0 61269040  16032 1798508    0    0     0    64 43680 87878  1  4 95  0  0
 3  0      0 61156908  16032 1910100    0    0     0     0 43867 88525  1  4 95  0  0
 1  0      0 61045528  16032 2016668    0    0     0     0 42875 85658  2  4 95  0  0
 2  0      0 60476320  16148 2580208    0    0     8 327288 50568 76990  2  7 91  0  0
 4  0      0 60934360  16196 2205136    0    0     4 347012 41237 76338  2  6 92  0  0
 5  0      0 60539020  16228 2600912    0    0     0 132164 42414 81218  2  6 92  0  0
 6  0      0 60149900  16256 2987688    0    0     0 132168 42804 82052  2  6 92  0  0
 8  0      0 59815072  16300 3319468    0    0     0 198248 43580 82129  2  6 91  0  0
 6  0      0 59378496  16336 3756044    0    0     0 132220 42521 80260  2  6 92  0  0
10  0      0 58835332  16396 4275036    0    0     0 385972 42428 78438  2  7 91  0  0
 9  0      0 58311920  16468 4750168    0    0     0 454068 44581 82400  3  9 88  1  0
 4  1      0 60546212  16488 2507496    0    0     0 97804 39121 72039  2  6 92  0  0
 8  0      0 60499768  16624 2566620    0    0    12 139520 52085 78936  3  6 91  0  0
 6  0      0 60448196  16668 2618240    0    0     0 131692 42632 79857  2  6 91  0  0
 8  0      0 60392980  16712 2675388    0    0     0 169240 42502 80819  2  6 92  0  0
 5  0      0 60399520  16760 2665216    0    0     0 131692 42059 80995  2  5 92  0  0
 6  0      0 59977028  16792 3092944    0    0     0 253812 41721 79236  1  6 93  0  0
 7  0      0 60426928  16844 2753768    0    0     0 321848 43612 82221  2  6 91  0  0
 8  0      0 60027676  16872 3155108    0    0     0 132160 41747 80122  2  6 92  0  0
 7  0      0 59617960  16900 3564172    0    0     0 132172 41814 79312  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 59235676  17024 3945628    0    0     8 205760 53791 80503  2  6 92  0  0
 8  0      0 58829184  17064 4325920    0    0     0 198240 43945 83614  2  6 92  0  0
 8  1      0 58407512  17096 4711220    0    0     0 132172 42279 79712  2  6 92  0  0
10  0      0 57480732  17156 5593524    0    0     0 385968 44644 81060  3  9 88  0  0
 7  0      0 60027052  17240 3011324    0    0     0 402664 41544 75932  2  7 90  0  0
 9  0      0 59698684  17276 3351628    0    0     0 131676 41816 78995  2  6 92  0  0
 7  0      0 59876980  17320 3162544    0    0     0 131712 41080 77160  2  6 92  0  0
 9  0      0 59645148  17344 3397064    0    0     0 65852 41716 79568  2  6 92  0  0
10  0      0 59452544  17380 3592876    0    0     0 131660 41785 78871  3  6 91  0  0
 7  0      0 59643452  17528 3382264    0    0     8 457120 56489 77183  2  6 92  0  0
 6  1      0 59053184  17544 3988144    0    0     0 198560 41266 77534  2  6 92  0  0
 7  0      0 59547236  17596 3579424    0    0     0 191220 42049 80131  2  6 92  0  0
 6  0      0 59128320  17624 3996492    0    0     0 132176 42309 80385  2  6 92  0  0
 7  0      0 58677708  17652 4433040    0    0     0 132180 44927 85796  3  6 91  0  0
 5  0      0 58311836  17712 4799504    0    0     8 198368 44370 84403  2  7 91  0  0
 8  0      0 57850028  17744 5263908    0    0     4 167484 42752 81923  2  6 92  0  0
 8  0      0 57237340  17804 5839400    0    0     0 385988 41575 77640  2  7 90  1  0
 7  0      0 58357748  17892 4663864    0    0     0 451628 43331 81658  3  8 89  0  0
 5  1      0 59017912  17984 4006884    0    0     0 205172 55033 78106  3  6 91  0  0
 7  0      0 59088384  18016 3944512    0    0     0 65908 41738 80571  2  6 92  0  0
 5  0      0 58726868  18048 4305776    0    0     0 132304 42211 81808  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 58939408  18084 4089520    0    0     0 131660 42769 82756  2  6 92  0  0
 6  0      0 58581400  18112 4448700    0    0     0 131656 42105 81258  2  6 92  0  0
 9  0      0 57845264  18180 5176700    0    0     0 385504 41499 74215  3  8 88  1  0
 6  0      0 58814008  18236 4283956    0    0     0 387324 43792 82555  2  6 90  1  0
 5  1      0 58904892  18280 4202768    0    0     8 167364 40620 76745  2  6 92  0  0
 9  0      0 58832288  18316 4273504    0    0     0 131684 41673 79991  2  6 92  0  0
 9  0      0 58458056  18440 4646036    0    0     8 205304 52943 85516  2  6 92  0  0
 9  0      0 58632648  18480 4465664    0    0     0 131968 42358 81575  2  6 92  0  0
12  0      0 58096044  18536 4969056    0    0     4 385984 43124 81211  2  6 91  1  0
10  1      0 57414764  18592 5610432    0    0     0 387968 43387 81536  3  9 88  0  0
 5  0      0 57558856  18636 5457752    0    0     0 198284 41705 78505  2  6 92  0  0
 8  0      0 57117920  18672 5900872    0    0     0 132268 42198 80650  2  6 92  0  0
 7  0      0 56735920  18716 6271152    0    0     0 198256 42882 81241  2  6 91  0  0
 8  0      0 58356928  18752 4632480    0    0     0 113044 41633 79419  2  6 91  0  0
 7  0      0 58304568  18876 4700112    0    0     4 205340 48983 75221  2  6 92  0  0
 7  0      0 57769540  18940 5240276    0    0     0 385480 42206 79062  3  7 90  0  0
 6  0      0 58369064  19004 4754500    0    0     0 387344 42643 82084  3  8 89  0  0
 6  1      0 58118160  19020 5023864    0    0     0 131596 42639 82928  2  6 92  0  0
 8  0      0 58181476  19052 4961556    0    0     0 65904 42351 82426  2  6 92  0  0
 8  0      0 57815924  19088 5325488    0    0     0 131708 42075 81408  2  6 92  0  0
 2  0      0 59120708  19128 4943212    0    0   920 131672 35952 60031  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 59105964  19128 4943088    0    0     4     0 12290 3182  0  0 99  0  0
 3  0      0 58685772  19128 5186820    0    0   180     0 19931 16416  2  3 95  0  0
 6  1      0 59043880  19188 4877304    0    0     0 205484 22806 25380  1  3 95  0  0
 3  0      0 58530900  19228 5363708    0    0     0 132288 49717 91441  3  5 91  1  0
 6  0      0 58054424  19256 5807412    0    0     0 172428 47221 85707  4  5 91  1  0
 5  0      0 57691052  19384 6122880    0    0     4 263672 53412 79901  5  5 89  1  0
 8  0      0 57232192  19416 6513012    0    0     4 132192 43282 77282  5  5 90  0  0
 2  2      0 56782084  19448 6888496    0    0     0 198220 42892 78009  3  5 92  0  0
 4  0      0 56442776  19488 7147808    0    0     0 132256 42755 76813  3  4 92  0  0
 4  1      0 56012980  19520 7487032    0    0     0 157156 40327 72222  3  4 93  0  0
 2  0      0 55669628  19572 7723224    0    0     0 149132 40500 71037  2  5 92  0  0
 3  1      0 56869828  19608 6402160    0    0     0 127816 40781 69437  2  5 92  0  0
 5  0      0 57643224  19620 5571992    0    0     0 65888 46288 85163  3  5 92  1  0
 3  0      0 57591292  19660 5613164    0    0     0 131692 46351 85591  2  5 92  1  0
 6  1      0 57676908  19700 5512584    0    0     4 161924 46776 86448  3  5 92  1  0
 3  1      0 57272860  19724 5910732    0    0     0 82356 46441 86480  3  5 92  1  0
 4  0      0 56924652  19848 6239860    0    0     4 188920 63083 89730  3  5 92  1  0
 4  0      0 56584432  19876 6565000    0    0     0 131636 49098 93697  3  5 92  1  0
 3  0      0 56665356  19916 6467344    0    0     0 131688 46861 87329  3  5 92  0  0
 4  0      0 57181132  19952 5921496    0    0     0 131856 46963 87253  2  5 92  1  0
 4  0      0 56759612  20000 6331012    0    0     0 319668 48170 89727  3  5 92  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 57191624  20072 5852464    0    0     0 301900 48457 88196  3  8 88  1  0
 5  0      0 56911272  20100 6148124    0    0     0 131676 50071 94728  3  4 92  1  0
 7  0      0 57027240  20136 6025312    0    0     0 131692 48169 90131  3  4 92  1  0
 3  2      0 56674596  20168 6385596    0    0     4 131668 48083 90983  3  4 92  1  0
 4  1      0 56344764  20284 6711216    0    0     8 139544 63712 90551  2  5 92  1  0
 4  0      0 56460204  20320 6597068    0    0     0 131684 47821 89992  2  5 92  1  0
 4  0      0 56158000  20348 6895144    0    0     0 131656 48226 91155  3  4 92  1  0
 3  1      0 56276596  20384 6770684    0    0     0 131692 46644 87754  2  5 92  1  0
 5  0      0 55924460  20400 7127332    0    0     0 131588 48169 91580  3  5 92  0  0
10  0      0 56614224  20444 6421188    0    0     0 65956 45348 83398  2  5 92  1  0
 7  0      0 56343736  20472 6693052    0    0     0 131684 46855 86527  3  5 92  1  0
 6  0      0 56419776  20492 6618452    0    0     0 65856 45932 85396  3  4 92  0  0
 2  0      0 56160664  20524 6879456    0    0     0 131660 45715 85211  3  5 92  1  0
 2  0      0 56474672  20544 6552708    0    0     0 104780 42809 78215  1  4 95  0  0
 2  1      0 56379420  20640 6648176    0    0    12 73756 57150 76447  1  3 95  0  0
 0  2      0 55959700  20676 7078388    0    0     0 423888 42372 74543  2  5 93  0  0
 2  0      0 56333492  20712 6771764    0    0     0 66176 47920 89281  2  5 92  1  0
 2  0      0 56032964  20740 7068744    0    0     0 132188 46320 87200  3  4 92  1  0
 7  0      0 55830768  20784 7269288    0    0     0 198280 44184 81656  3  4 93  0  0
 5  0      0 55532252  20816 7566424    0    0     0 95904 43382 80337  3  5 92  0  0
