Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:54 AM     0    412587  27636.27    427.45 27522380  136644   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:55 AM     0    412587  58234.00      0.00 27571544  339384   0.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:56 AM     0    412587  56842.00      0.00 27604320  511284   0.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:57 AM     0    412587  45942.00      0.00 27653484  685252   1.05  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:58 AM     0    412587  45241.00      0.00 27702648  864744   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:59 AM     0    412587  42147.00      4.00 27735424  945804   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:00 AM     0    412587  14262.00      0.00 27784588  989052   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:01 AM     0    412587  11500.00      0.00 27538768  776672   1.19  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:02 AM     0    412587  15715.00      0.00 27604304  823224   1.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:03 AM     0    412587  32609.00      0.00 27669840  869568   1.33  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:04 AM     0    412587  50889.00      0.00 27735376  915428   1.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:05 AM     0    412587  47683.00      0.00 27800912  961356   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:06 AM     0    412587  71756.00      0.00 27866448 1003324   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:07 AM     0    412587  35010.00      0.00 27817284  976832   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:08 AM     0    412587  22647.00      0.00 27817284  982972   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:09 AM     0    412587    408.00      0.00 27817284  983916   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:10 AM     0    412587  11273.00      0.00 27817284  985012   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:11 AM     0    412587  36815.00      0.00 27817284  985124   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:12 AM     0    412587  16060.00      0.00 27882820 1019860   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:13 AM     0    412587  29828.00      2.00 27882820 1046624   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:14 AM     0    412587  45774.00      0.00 27882820 1050716   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:15 AM     0    412587  15333.00      0.00 27882820 1050716   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:16 AM     0    412587  12305.00      0.00 27882820 1050716   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:17 AM     0    412587  13248.00      0.00 27882820 1050736   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:18 AM     0    412587  25299.00      0.00 27882820 1050736   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:19 AM     0    412587   9600.00      0.00 27751748  971552   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:20 AM     0    412587   1581.00      0.00 27751748  972952   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:21 AM     0    412587   6553.00      0.00 27751748  973920   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:22 AM     0    412587  23134.00      0.00 27751748  974932   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:23 AM     0    412587    576.00      0.00 27751748  976312   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:24 AM     0    412587  17901.00      0.00 27817284  994168   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:25 AM     0    412587  94769.00      0.00 27882820 1028912   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:26 AM     0    412587  33241.00      0.00 27882820 1046160   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:27 AM     0    412587  11276.00      0.00 27882820 1046984   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:28 AM     0    412587  28450.00      0.00 27882820 1047712   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:29 AM     0    412587  29018.00      0.00 27882820 1047712   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:30 AM     0    412587    383.00      2.00 27882820 1047712   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:31 AM     0    412587    390.00      0.00 27882820 1047712   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:32 AM     0    412587   1307.00      0.00 27686212  935072   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:33 AM     0    412587    565.00      2.00 27686212  936680   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:34 AM     0    412587    418.00      0.00 27686212  937644   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:35 AM     0    412587  18624.00      0.00 27686212  939104   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:36 AM     0    412587  44005.00      0.00 27751748  946100   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:37 AM     0    412587  40468.00      0.00 27751748  983940   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:38 AM     0    412587  61285.00      0.00 27817284 1021396   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:55:39 AM     0    412587  45858.00      0.00 27882820 1054064   1.61  java

