procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 63706064  14432 410832    0    0     6  1649   18   11  1  1 98  0  0
 3  0      0 63513800  15940 511984    0    0 39576  1368 34199 54759  3  2 94  0  0
 3  0      0 63236600  15940 606260    0    0     0     0 41133 79541  3  4 93  0  0
 5  0      0 62975556  15940 704016    0    0     0     0 40403 78354  1  4 95  0  0
 1  0      0 62718056  15940 798808    0    0     0     0 40591 78836  1  3 95  0  0
 4  0      0 62442876  15952 901708    0    0     0   152 41214 80784  1  4 95  0  0
 4  0      0 62257284  15976 998332    0    0    12 208228 42200 79171  2  4 94  0  0
 4  0      0 61770056  16700 1382420    0    0  3060 137852 45357 74627  1  6 93  0  0
 2  0      0 62397844  16736 942432    0    0     4 255628 40966 77308  1  6 93  0  0
 3  0      0 62248688  16752 1049228    0    0    40     0 43011 85761  1  4 95  0  0
 5  0      0 62103816  16752 1151444    0    0     0     0 42363 83861  1  4 95  0  0
 5  0      0 61957160  16752 1255784    0    0     0     0 41885 82894  1  4 95  0  0
 4  0      0 61807976  16764 1361312    0    0     0   112 42501 84816  1  4 95  0  0
 4  0      0 61275008  16796 1844068    0    0     0 253808 39811 73773  2  6 92  0  0
 5  0      0 61656880  16840 1482468    0    0     4 321712 39896 73212  2  6 92  0  0
 5  1      0 61219220  16968 1909272    0    0    12 205676 49658 77049  2  6 91  0  0
 5  1      0 60798464  16996 2327788    0    0     0 198184 43451 82892  2  6 91  0  0
 4  0      0 61566528  17044 1555288    0    0     0 115196 42930 83057  2  6 92  0  0
 1  0      0 61465268  17044 1658248    0    0     0     0 42815 85548  1  4 95  0  0
 6  0      0 61098008  17076 1990704    0    0     0 253816 43035 83497  1  5 93  0  0
 1  3      0 61455352  17108 1600808    0    0     0 255672 42181 79268  2  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61356580  17112 1699536    0    0     0     4 41419 81151  1  4 95  0  0
 2  0      0 61251784  17112 1808572    0    0     0     0 43434 87274  1  4 95  0  0
 5  0      0 61138404  17168 1921216    0    0     4 58620 46740 86082  1  4 95  0  0
 4  0      0 61029808  17208 2027040    0    0     4 14920 48272 86209  1  4 95  0  0
 6  0      0 60549048  17232 2509748    0    0     0 253800 41012 77672  2  6 92  0  0
 2  0      0 61004416  17276 2126464    0    0     0 321728 41304 76261  2  6 91  0  0
 5  0      0 60597960  17308 2539784    0    0     0 132164 40532 76916  2  6 92  0  0
 5  0      0 60184268  17336 2951128    0    0     0 132168 41601 79282  2  6 92  0  0
 6  0      0 59777136  17372 3353564    0    0     0 140408 41237 78175  2  6 91  0  0
 6  0      0 59450764  17416 3679816    0    0     0 190056 42944 82342  2  6 92  0  0
 6  1      0 59019400  17476 4090808    0    0     0 385972 42122 78305  2  6 92  0  0
 9  0      0 58052808  17600 5019856    0    0     8 320420 55509 73444  3  9 88  0  0
 5  0      0 60595656  17656 2456852    0    0     0 239080 45422 85374  2  6 91  1  0
 5  0      0 60558604  17700 2504532    0    0     0 131736 41052 77171  2  6 92  0  0
 5  0      0 60500144  17744 2558608    0    0     0 131692 41770 79311  2  6 92  0  0
 5  1      0 60441076  17788 2616420    0    0     0 150124 42183 77675  2  6 91  0  0
 4  0      0 60392800  17856 2653228    0    0     8 187232 41868 78714  2  6 92  0  0
 7  0      0 60157432  17888 2894360    0    0     0 253804 42488 81952  2  5 94  0  0
 7  0      0 60505820  17916 2661520    0    0     0 255620 40465 77518  2  6 92  0  0
 7  0      0 60093144  17944 3080368    0    0     0 132172 41308 77424  2  6 92  0  0
 4  1      0 59674016  18052 3494728    0    0     4 271732 49697 78515  2  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 59369468  18096 3799000    0    0     0 132772 40887 77458  2  6 92  0  0
 7  0      0 58946904  18128 4214184    0    0     4 132160 41702 78371  2  6 92  0  0
 6  0      0 58448664  18160 4676808    0    0     0 132168 41269 78728  2  6 92  0  0
10  0      0 57862164  18232 5216068    0    0     0 452052 42702 80213  3  7 90  0  0
 6  0      0 58992768  18324 4038968    0    0    44 402672 45864 82301  3  9 88  0  0
 5  0      0 59734348  18352 3293652    0    0     0 131692 39688 73304  2  6 92  0  0
 6  1      0 59800144  18396 3227960    0    0     0 131712 41701 80134  2  6 92  0  0
 5  0      0 59656308  18420 3378820    0    0     0 65852 41197 78724  2  6 92  0  0
 9  0      0 59447108  18544 3589924    0    0     4 205212 60208 82365  3  6 91  0  0
 4  0      0 59650592  18580 3375692    0    0     0 131660 42656 83101  2  5 93  0  0
 7  0      0 59161440  18612 3873936    0    0     0 253828 41522 78317  2  6 92  0  0
 7  0      0 59595820  18652 3515544    0    0     0 321740 42253 79808  2  6 92  0  0
 8  0      0 59186724  18680 3925996    0    0     0 132180 40852 77814  2  6 92  0  0
 8  0      0 58777432  18720 4332448    0    0     0 132232 40256 74445  2  6 92  0  0
10  0      0 58414552  18764 4694696    0    0     4 198264 42507 78849  2  6 91  0  0
 5  0      0 57944292  18792 5163424    0    0     0 132180 40857 77352  2  6 92  0  0
 7  0      0 57552760  18836 5538836    0    0     0 198268 43097 83357  2  6 92  0  0
10  0      0 56743944  18972 6310140    0    0     0 457420 51569 77209  3  8 89  1  0
 9  0      0 59110972  19036 3897616    0    0     0 387404 41909 77994  2  7 90  0  0
 7  0      0 59202412  19076 3819444    0    0     4 131680 41058 78476  2  6 92  0  0
10  0      0 58848544  19108 4181684    0    0     0 131652 42228 81830  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 59054408  19144 3964140    0    0     0 131664 41174 79363  2  6 92  0  0
 9  0      0 58702216  19180 4322960    0    0     0 131708 40802 77655  2  6 92  0  0
 8  0      0 58313020  19240 4711808    0    0     0 385444 42756 81318  2  6 91  1  0
 8  0      0 57678496  19284 5338832    0    0     0 387204 42179 77720  3  8 88  1  0
 8  0      0 58909116  19324 4186596    0    0     4 136012 39556 73216  2  6 91  0  0
 8  0      0 58828008  19460 4266276    0    0     8 205316 43179 80131  2  6 92  0  0
 7  0      0 58477148  19488 4624556    0    0     0 131644 41595 79792  2  6 92  0  0
10  0      0 58656256  19524 4444416    0    0     0 131656 42650 82051  2  6 92  0  0
 6  0      0 58271924  19568 4817936    0    0     0 198300 42984 83384  2  6 91  0  0
10  0      0 57489152  19632 5562260    0    0     0 386168 43191 81172  2  8 89  0  0
 5  1      0 57586064  19688 5423292    0    0     0 454324 43435 84099  2  7 89  1  0
 7  0      0 57248912  19724 5764912    0    0     0 132244 41223 78458  2  6 92  0  0
 4  0      0 56773920  19752 6236564    0    0     0 132172 41927 80765  2  6 92  0  0
 8  0      0 57884160  19888 5094376    0    0     8 252736 55192 75576  2  7 91  0  0
 7  0      0 58044668  19900 4955752    0    0     0 66108 40559 77165  2  6 92  0  0
 6  0      0 57979772  19936 5029512    0    0     4 131684 41609 79404  2  6 92  0  0
 7  0      0 57261512  19984 5745532    0    0     0 385452 41820 77552  3  7 89  0  0
 7  0      0 58027272  20036 4956892    0    0     0 387336 43958 82726  2  7 90  0  0
 7  0      0 58102148  20076 4890068    0    0     0 131768 42192 81650  2  6 92  0  0
