Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:02:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:02:03 AM  all    4.07    0.00    2.78    0.28    0.00    0.00    0.00    0.00    0.00   92.86
04:02:03 AM    0   11.11    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   86.87
04:02:03 AM    1    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
04:02:03 AM    2    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
04:02:03 AM    3    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:02:03 AM    4    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
04:02:03 AM    5    2.13    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   95.74
04:02:03 AM    6    4.26    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   93.62
04:02:03 AM    7   26.80    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   68.04
04:02:03 AM    8    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
04:02:03 AM    9    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
04:02:03 AM   10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:02:03 AM   11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   12    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   13    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:02:03 AM   16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:02:03 AM   18    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:02:03 AM   19   25.49    0.00    8.82    0.98    0.00    0.00    0.00    0.00    0.00   64.71
04:02:03 AM   20    4.17    0.00    1.04    1.04    0.00    0.00    0.00    0.00    0.00   93.75
04:02:03 AM   21    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   22    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
04:02:03 AM   23    4.95    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   94.06
04:02:03 AM   24    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
04:02:03 AM   25    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
04:02:03 AM   26    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
04:02:03 AM   27    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   28   24.24    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   73.74
04:02:03 AM   29   10.10    0.00    2.02    9.09    0.00    0.00    0.00    0.00    0.00   78.79
04:02:03 AM   30   13.00    0.00   47.00    0.00    0.00    0.00    0.00    0.00    0.00   40.00
04:02:03 AM   31    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   32    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
04:02:03 AM   33    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   34    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   35    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:02:03 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:02:03 AM   38    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:02:03 AM   39    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

04:02:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:02:04 AM  all    2.14    0.00    3.83    0.00    0.00    0.00    0.00    0.00    0.00   94.03
04:02:04 AM    0    2.11    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   95.79
04:02:04 AM    1    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
04:02:04 AM    2    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
04:02:04 AM    3    3.23    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   94.62
04:02:04 AM    4    3.19    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   92.55
04:02:04 AM    5    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:02:04 AM    6    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:02:04 AM    7    8.33    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   89.58
04:02:04 AM    8    3.33    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   95.56
04:02:04 AM    9    2.04    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   87.76
04:02:04 AM   10    6.06    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   63.64
04:02:04 AM   11    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:02:04 AM   12    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
