procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 63671348  13812 420904    0    0     6  1682    7    6  1  1 98  0  0
 8  0      0 63494876  15080 494132    0    0 39512   268 35385 57918  4  3 93  0  0
 3  0      0 63407476  15080 547712    0    0     8     0 44336 89496  2  4 94  0  0
 3  0      0 63271900  15080 606236    0    0     0     0 46549 96727  1  4 95  0  0
 1  0      0 63143908  15080 658980    0    0     0     0 44048 88962  1  4 95  0  0
 3  0      0 62984152  15572 727824    0    0  2868 64860 57655 97394  1  4 94  0  0
 3  0      0 62826412  15580 788936    0    0     0    20 47409 99245  1  4 95  0  0
 3  0      0 62653856  15584 845428    0    0     4     0 47333 97290  1  4 95  0  0
 3  0      0 62509980  15584 902672    0    0     0     0 46097 95052  1  4 95  0  0
 5  0      0 62361052  15584 960428    0    0     0     0 45397 93429  1  4 95  0  0
 8  0      0 62259748  15596 1018936    0    0     0   120 45391 93174  1  4 94  0  0
 5  0      0 62183140  15608 1075448    0    0     0 172096 46581 95454  1  4 95  0  0
 5  0      0 62097964  15700 1137896    0    0     8 73480 55688 96469  1  4 95  0  0
 7  0      0 61612136  15732 1535488    0    0     0 81068 41806 80486  2  6 92  0  0
 5  0      0 62377680  15768 988348    0    0     0 251268 44611 88510  2  5 93  0  0
 3  0      0 62295036  15768 1049772    0    0     0     0 47741 100473  1  4 95  0  0
 3  0      0 62210620  15772 1111388    0    0     4     0 48955 103793  1  4 94  0  0
 1  0      0 62117420  15796 1170860    0    0     0 55152 49846 98706  2  4 94  0  0
 5  0      0 62041856  15856 1230276    0    0    12 24588 50469 91842  1  4 94  0  0
 6  0      0 61965000  15884 1289008    0    0     0 30872 56506 97055  1  4 95  0  0
 4  0      0 61877304  15884 1352368    0    0     0     0 47889 100358  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61800448  15884 1409864    0    0     0     0 46751 97384  1  4 95  0  0
 4  0      0 61714768  15884 1473012    0    0     0     0 47413 99081  1  4 95  0  0
 3  0      0 61632112  15884 1533392    0    0     0     0 46825 97457  1  4 95  0  0
 6  0      0 61420996  15924 1721328    0    0     0 253152 44888 89357  2  5 93  0  0
 4  0      0 61707484  16052 1432108    0    0     8 324760 51979 82224  2  7 91  0  0
 5  0      0 61384200  16084 1755824    0    0     4 207264 43086 82732  2  6 92  0  0
 6  0      0 61039896  16112 2089484    0    0     0 132136 43818 82619  2  7 91  0  0
 4  0      0 60704980  16140 2429772    0    0     0 132140 44952 88150  2  6 92  0  0
 6  0      0 61543792  16176 1581864    0    0     0 106356 49160 101089  2  5 93  0  0
 4  0      0 61486856  16188 1641180    0    0     0   132 47828 99387  1  4 95  0  0
 5  0      0 61426396  16188 1703016    0    0     0  8220 49318 104029  1  4 95  0  0
 5  0      0 61359148  16288 1766256    0    0    16 73564 57193 100799  1  4 95  0  0
 2  0      0 61297420  16296 1827400    0    0     8     0 46514 96530  1  4 95  0  0
 4  0      0 61235696  16308 1890812    0    0     4    56 48630 102880  1  4 95  0  0
 4  0      0 61176476  16308 1952148    0    0     0     0 48486 101762  2  4 94  0  0
 5  0      0 61046784  16332 2066348    0    0     0 253088 46267 92849  2  4 94  0  0
 5  1      0 60772316  16372 2314016    0    0     0 251340 43653 82770  2  7 91  0  0
 4  0      0 61217380  16372 1863248    0    0    44     0 47916 98443  1  4 94  0  0
 5  0      0 61151628  16468 1924276    0    0    12 73504 58087 99142  1  4 95  0  0
 5  0      0 61399624  16468 1983892    0    0   688     0 47223 97442  2  4 95  0  0
 1  0      0 62088612  16468 1977864    0    0   232     0 13318 3473  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 61780412  16484 2164076    0    0   184 32860 17949 12176  2  2 96  0  0
 6  1      0 61639904  16544 2354372    0    0     0 187524 47578 84600  3  4 92  1  0
27  1      0 61252956  16580 2699660    0    0     0 132256 48307 88251  4  4 91  1  0
 5  1      0 60930468  16608 3016088    0    0     0 132144 41225 69671  3  4 92  1  0
 7  0      0 60627428  16636 3274584    0    0     0 132148 33791 51710  3  3 93  0  0
 4  0      0 60323768  16664 3511052    0    0     0 132264 29936 40064  3  4 93  0  0
 6  1      0 60080668  16716 3697052    0    0     0 181420 28691 38812  3  3 93  0  0
 5  1      0 61433744  16744 2300240    0    0     0 65888 52307 96711  2  4 93  1  0
 7  2      0 61357444  16796 2347440    0    0     0 131728 52597 98336  3  4 93  1  0
 7  0      0 61171256  16816 2497864    0    0     0 65840 53706 101649  3  4 92  1  0
 7  1      0 61141564  16928 2470716    0    0    12 220652 60706 92524  2  2 95  1  0
 6  1      0 60977260  16928 2578452    0    0     0     0 49960 92223  1  2 96  1  0
 5  0      0 60810948  17068 2673992    0    0   140     4 47296 85655  1  2 96  1  0
 4  0      0 60644628  17068 2757032    0    0     0     0 45807 81534  2  2 96  0  0
 5  1      0 60557184  17068 2824596    0    0     0     0 41364 70878  2  1 96  0  0
 5  1      0 60496960  17080 2873184    0    0     0   132 36466 57562  2  2 96  0  0
 5  1      0 60458940  17088 2910560    0    0     0    40 31798 46855  2  1 97  0  0
 4  0      0 60433492  17088 2936680    0    0     0     0 27317 36320  2  1 97  0  0
 4  0      0 60847176  17088 2819796    0    0     0     4 24856 27537  2  1 97  0  0
