Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:13 AM     0    419467  27660.78    425.49 27522380  136432   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:14 AM     0    419467  51258.00      0.00 27571544  322136   0.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:15 AM     0    419467  51340.00      0.00 27604320  505052   0.77  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:16 AM     0    419467  45945.00      0.00 27653484  682588   1.04  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:17 AM     0    419467  44789.00      0.00 27702648  861368   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:18 AM     0    419467  39438.00      4.00 27735424  935416   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:19 AM     0    419467  12241.00      0.00 27784588  978452   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:20 AM     0    419467  35720.00      0.00 27555156  764124   1.17  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:21 AM     0    419467  48976.00      0.00 27555156  809644   1.24  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:22 AM     0    419467  31778.00      0.00 27620692  858340   1.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:23 AM     0    419467  46305.00      0.00 27686228  902964   1.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:24 AM     0    419467  32857.00      0.00 27751764  952352   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:25 AM     0    419467  35635.00      0.00 27817300  996864   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:26 AM     0    419467  33393.00      0.00 27817284  962156   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:27 AM     0    419467  17141.00      0.00 27817284  964948   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:28 AM     0    419467  30192.00      0.00 27817284  969388   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:29 AM     0    419467  40447.00      0.00 27817284  969868   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:30 AM     0    419467  47103.00      0.00 27817284  969980   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:31 AM     0    419467  36418.00      0.00 27882820 1004160   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:32 AM     0    419467  35960.00      0.00 27882820 1031600   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:33 AM     0    419467   4501.00      0.00 27882820 1035492   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:34 AM     0    419467   1044.00      0.00 27882820 1039704   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:35 AM     0    419467   4074.00      0.00 27882820 1039784   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:36 AM     0    419467     14.00      0.00 27882820 1039784   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:37 AM     0    419467    529.00      0.00 27882820 1039784   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:38 AM     0    419467    792.00      0.00 27686212  911380   1.39  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:39 AM     0    419467    597.00      0.00 27686212  913264   1.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:40 AM     0    419467  26816.00      0.00 27686212  914104   1.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:41 AM     0    419467  48166.00      0.00 27719076  933264   1.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:42 AM     0    419467  38286.00      0.00 27751844  970652   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:43 AM     0    419467  49286.00      2.00 27784612 1006016   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:44 AM     0    419467  54174.00      0.00 27817380 1041424   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:45 AM     0    419467  22975.00      0.00 27751844  998912   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:46 AM     0    419467   1013.00      2.00 27751844  999140   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:47 AM     0    419467     75.00      0.00 27751844  999392   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:48 AM     0    419467   3389.00      0.00 27817380 1008188   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:49 AM     0    419467  11143.00      0.00 27882916 1052804   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:50 AM     0    419467  10166.00      0.00 27882916 1092140   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:51 AM     0    419467   6277.00      0.00 27817380  989772   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:52 AM     0    419467    508.00      0.00 27817380  991364   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:53 AM     0    419467   1639.00      0.00 27817380  992424   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:54 AM     0    419467  34879.00      0.00 27817380  993396   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:55 AM     0    419467  44958.00      0.00 27817380  994848   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:56 AM     0    419467  39888.00      0.00 27817380 1009956   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:57 AM     0    419467  71762.00      0.00 27882916 1045192   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:07:58 AM     0    419467  33900.00      0.00 27882916 1075948   1.64  java

