procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3      0 63718244  13100 406796    0    0     6  1708   13   17  1  1 98  0  0
 3  0      0 63528300  14368 503456    0    0 39516   268 34406 55169  3  3 94  0  0
 1  0      0 63275064  14368 599960    0    0     0     0 40226 77272  2  4 94  0  0
 4  0      0 63008224  14368 695856    0    0     0     0 41500 81608  1  4 95  0  0
 3  0      0 62725500  14368 797312    0    0     0     0 41553 81516  1  4 95  0  0
 3  0      0 62447556  14376 897716    0    0     0    84 41044 80353  1  4 95  0  0
 3  0      0 62277864  14404 992092    0    0     0 97360 45707 76644  1  4 95  0  0
 8  1      0 61830160  14444 1327288    0    0     0 253900 40999 75660  2  6 92  0  0
 3  0      0 62419564  15228 934188    0    0  3180 297264 48711 75001  1  6 92  0  0
 5  0      0 62277972  15228 1034896    0    0     0     0 41664 82285  1  4 95  0  0
 4  0      0 62121236  15232 1144192    0    0     4     0 44397 89330  1  4 95  0  0
 4  0      0 61978616  15232 1243820    0    0     0     0 41324 81098  1  4 95  0  0
 4  0      0 61810544  15232 1358272    0    0     0     0 44763 91026  1  4 95  0  0
 7  0      0 61241584  15276 1882288    0    0     0 253908 41344 78168  2  6 92  0  0
 7  0      0 61627604  15316 1523580    0    0     0 321712 40321 74552  2  6 92  0  0
 4  0      0 61221184  15348 1929604    0    0     0 132156 41167 77621  2  6 92  0  0
 6  0      0 60877568  15472 2265248    0    0     0 271744 51169 81836  2  6 91  0  0
 7  0      0 61573248  15508 1554612    0    0     0 115160 41645 78240  2  6 92  0  0
 3  0      0 61479300  15508 1656116    0    0     0     0 42384 84334  1  4 95  0  0
 6  0      0 61139504  15540 1966864    0    0     0 253828 41952 80269  1  5 93  0  0
 1  0      0 61477536  15568 1593572    0    0     0 255636 41002 78159  2  6 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 61368444  15580 1701480    0    0     4    44 44118 89417  1  4 95  0  0
 3  0      0 61252024  15580 1816900    0    0     0     0 44768 91255  2  4 95  0  0
 3  0      0 61145192  15580 1926080    0    0     0     0 43541 87576  1  4 95  0  0
 4  0      0 61025000  15684 2043956    0    0     8 230156 56464 91201  2  4 94  0  0
 7  0      0 60415916  15704 2654400    0    0     0 261012 41743 78979  2  6 92  0  0
 6  0      0 60903584  15748 2296984    0    0     0 157888 40797 75832  2  6 91  0  0
 5  0      0 60593684  15792 2597288    0    0     0 198248 43573 82602  2  6 91  0  0
 5  0      0 60219448  15828 2973752    0    0    48 132168 42245 79799  2  6 92  0  0
 7  0      0 59768216  15864 3400840    0    0     0 132216 41968 79995  2  6 92  0  0
 4  1      0 59281528  15896 3854800    0    0     0 198196 42173 79799  2  6 92  0  0
 8  0      0 58761064  15972 4336192    0    0     4 515840 50218 76699  2  7 90  0  0
 4  0      0 58641164  16136 4412784    0    0     8 454628 53641 83732  2  9 88  1  0
 5  0      0 60778304  16180 2322000    0    0     0 131752 39329 72422  2  7 91  0  0
 7  0      0 60586884  16224 2526364    0    0     0 131696 42090 81222  2  6 92  0  0
 3  0      0 60417452  16248 2693568    0    0     0 93956 41169 78951  2  6 92  0  0
 6  1      0 60326040  16292 2780216    0    0     0 103576 42535 82671  2  6 92  0  0
 4  0      0 60362268  16324 2689548    0    0     0 65900 43228 83638  1  4 94  0  0
 5  0      0 59870572  16356 3144504    0    0     0 253828 40794 76333  2  5 93  0  0
 5  0      0 60320260  16396 2798452    0    0     0 321736 44101 84341  2  6 91  0  0
 5  0      0 59912956  16424 3206484    0    0     0 132160 40883 77544  2  6 92  0  0
 5  0      0 59505812  16548 3610704    0    0    12 205696 49437 82371  2  6 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 59101164  16580 4016452    0    0     0 198196 41476 78553  2  6 92  0  0
 4  0      0 58749164  16620 4366980    0    0     0 132208 42321 79896  2  6 92  0  0
 6  1      0 58292236  16652 4809296    0    0     0 259024 42278 80760  2  6 91  0  0
 6  1      0 57401932  16712 5658756    0    0     0 325128 42528 79309  3  8 88  1  0
 8  0      0 59984064  16800 3037964    0    0     0 336712 42818 77646  2  7 90  1  0
 5  0      0 59645532  16828 3377888    0    0     0 131628 42057 78104  2  6 91  0  0
