Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:03:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:23 AM  all    3.54    0.00    2.31    0.25    0.00    0.00    0.00    0.00    0.00   93.90
04:03:23 AM    0    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:03:23 AM    1    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
04:03:23 AM    2    7.22    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   91.75
04:03:23 AM    3    8.42    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   89.47
04:03:23 AM    4    3.19    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   95.74
04:03:23 AM    5    9.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.82
04:03:23 AM    6    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
04:03:23 AM    7    2.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.94
04:03:23 AM    8    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:03:23 AM    9    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
04:03:23 AM   10    7.14    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   90.82
04:03:23 AM   11   26.73    0.00   50.50    0.00    0.00    0.00    0.00    0.00    0.00   22.77
04:03:23 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
04:03:23 AM   14    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:03:23 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:23 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   19    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
04:03:23 AM   20   10.42    0.00    2.08    2.08    0.00    0.00    0.00    0.00    0.00   85.42
04:03:23 AM   21    3.09    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   94.85
04:03:23 AM   22    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:03:23 AM   23    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
04:03:23 AM   24    7.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
04:03:23 AM   25    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:03:23 AM   26    2.02    0.00    1.01    6.06    0.00    0.00    0.00    0.00    0.00   90.91
04:03:23 AM   27    1.98    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   94.06
04:03:23 AM   28   18.18    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   79.80
04:03:23 AM   29    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:03:23 AM   30    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:03:23 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   32    4.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:03:23 AM   33    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:23 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:23 AM   35    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:03:23 AM   36    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:23 AM   37    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:03:23 AM   38    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:03:23 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:03:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:24 AM  all    2.44    0.00    3.91    0.00    0.00    0.00    0.00    0.00    0.00   93.65
04:03:24 AM    0    3.16    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   89.47
04:03:24 AM    1    5.43    0.00    4.35    0.00    0.00    0.00    0.00    0.00    0.00   90.22
04:03:24 AM    2    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:03:24 AM    3    3.16    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   94.74
04:03:24 AM    4    1.05    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   96.84
04:03:24 AM    5    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
04:03:24 AM    6    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:03:24 AM    7    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:03:24 AM    8    2.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.87
04:03:24 AM    9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:03:24 AM   10    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
04:03:24 AM   11    5.05    0.00   26.26    0.00    0.00    0.00    0.00    0.00    0.00   68.69
04:03:24 AM   12    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
04:03:24 AM   13    9.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
04:03:24 AM   14    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
04:03:24 AM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:24 AM   16    7.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
04:03:24 AM   17    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:03:24 AM   18    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:03:24 AM   19    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:24 AM   20    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:03:24 AM   21    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
04:03:24 AM   22    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
04:03:24 AM   23    2.11    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   96.84
04:03:24 AM   24    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:03:24 AM   25    6.06    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   70.71
04:03:24 AM   26    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:03:24 AM   27    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:03:24 AM   28    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
04:03:24 AM   29    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:03:24 AM   30    1.96    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   96.08
04:03:24 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:24 AM   32   23.53    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   72.55
04:03:24 AM   33    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:03:24 AM   34    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
04:03:24 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:03:24 AM   36    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:24 AM   37    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
04:03:24 AM   38    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:03:24 AM   39    5.05    0.00   31.31    0.00    0.00    0.00    0.00    0.00    0.00   63.64

04:03:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:25 AM  all    1.15    0.00    3.88    0.00    0.00    0.00    0.00    0.00    0.00   94.97
04:03:25 AM    0    1.05    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   97.89
04:03:25 AM    1    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
04:03:25 AM    2    3.09    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   85.57
04:03:25 AM    3    1.05    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   94.74
04:03:25 AM    4    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
04:03:25 AM    5    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
