Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:23 AM     0    417546  26663.73    428.43 27522380  133120   0.20  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:24 AM     0    417546  48365.00      1.00 27571544  316172   0.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:25 AM     0    417546  58441.00      0.00 27604320  494088   0.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:26 AM     0    417546  45864.00      0.00 27653484  667644   1.02  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:27 AM     0    417546  43873.00      0.00 27702648  841700   1.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:28 AM     0    417546  42670.00      0.00 27735424  929044   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:29 AM     0    417546  13786.00      0.00 27784588  972868   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:30 AM     0    417546  11011.00      0.00 27555156  758188   1.16  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:31 AM     0    417546  20069.00      0.00 27555156  803452   1.23  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:32 AM     0    417546  28036.00      0.00 27620692  850376   1.30  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:33 AM     0    417546  51616.00      0.00 27686228  893444   1.37  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:34 AM     0    417546  48192.00      0.00 27751764  939760   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:35 AM     0    417546  68779.00      0.00 27817300  981460   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:36 AM     0    417546  38419.00      0.00 27751748  942704   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:37 AM     0    417546  27849.00      0.00 27751748  946292   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:38 AM     0    417546    457.00      0.00 27751748  947400   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:39 AM     0    417546   4285.00      0.00 27751748  952460   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:40 AM     0    417546  34644.00      0.00 27751748  952516   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:41 AM     0    417546  17065.00      0.00 27817284  975036   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:42 AM     0    417546  21418.00      0.00 27882820 1014116   1.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:43 AM     0    417546  45919.00      2.00 27882820 1018352   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:44 AM     0    417546  25587.00      0.00 27882820 1018360   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:45 AM     0    417546  11532.00      0.00 27882820 1018360   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:46 AM     0    417546  12150.00      0.00 27882820 1018360   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:47 AM     0    417546  22395.00      2.00 27882820 1018396   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:48 AM     0    417546  14848.00      0.00 27882820 1032632   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:49 AM     0    417546   1624.00      0.00 27882820 1038380   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:50 AM     0    417546    584.00      0.00 27882820 1039752   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:51 AM     0    417546  27071.00      0.00 27882820 1040864   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:52 AM     0    417546  46110.00      0.00 27882820 1041916   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:53 AM     0    417546  41923.00      0.00 27882820 1043300   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:54 AM     0    417546  66806.00      0.00 27882820 1045000   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:55 AM     0    417546  39788.00      0.00 27751748  965340   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:56 AM     0    417546  18911.00      0.00 27751748  965340   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:57 AM     0    417546   1643.00      0.00 27751748  965736   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:58 AM     0    417546    737.00      0.00 27751748  965736   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:59 AM     0    417546     29.00      0.00 27751748  965736   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:00 AM     0    417546   6190.00      0.00 27817284  990100   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:01 AM     0    417546  22835.00      0.00 27882820 1028124   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:02 AM     0    417546  17672.00      0.00 27882820 1034984   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:03 AM     0    417546    434.00      0.00 27882820 1035952   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:04 AM     0    417546  15105.00      0.00 27882820 1037284   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:05 AM     0    417546  47820.00      0.00 27882820 1038312   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:06 AM     0    417546  32587.00      0.00 27882820 1039352   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:07 AM     0    417546  40391.00      0.00 27882820 1040660   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:04:08 AM     0    417546  44177.00      0.00 27882820 1043768   1.60  java

