procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 63695128  13264 421044    0    0     6  1689    8    8  1  1 98  0  0
 4  0      0 63507340  14704 516396    0    0 39640  1352 33144 51175  4  2 94  0  0
 4  0      0 63262652  14704 611324    0    0     0     0 41561 80575  2  4 94  0  0
 1  0      0 62995056  14704 711780    0    0     0     0 42209 82870  1  4 95  0  0
 3  0      0 62726440  14704 806360    0    0     0     0 41121 80009  1  4 95  0  0
 3  0      0 62446780  15524 912976    0    0  3232 63868 50379 80084  1  4 95  0  0
 4  0      0 62255332  15536 1010708    0    0     0 147516 42016 81342  1  4 95  0  0
 4  0      0 61781612  15580 1376088    0    0     4 106340 42169 78991  2  6 93  0  0
 5  0      0 62404532  15624 947820    0    0     0 255632 41034 76977  1  5 93  0  0
 5  0      0 62265948  15624 1046284    0    0     0     0 41405 81477  1  4 95  0  0
 4  0      0 62117796  15636 1151576    0    0     0    88 42593 84751  1  4 95  0  0
 4  0      0 61976176  15640 1251144    0    0     4     0 40733 79452  1  4 95  0  0
 4  0      0 61824988  15644 1356548    0    0     4     0 42621 85067  1  4 95  0  0
 2  0      0 61375252  15668 1761776    0    0     0 253796 39721 73876  2  5 93  0  0
 3  1      0 61678444  15808 1483868    0    0    12 395172 48163 72667  2  6 92  1  0
 9  0      0 61340500  15840 1825196    0    0     0 132156 40931 77352  2  6 92  0  0
 5  0      0 60931136  15868 2231076    0    0     0 132156 41843 79345  2  6 92  0  0
 3  0      0 60547308  15908 2592116    0    0    44 181196 43643 81522  2  6 91  0  0
 3  0      0 61496356  15916 1643224    0    0     0    28 41375 81031  1  4 95  0  0
 6  0      0 61312848  15956 1813656    0    0     0 253872 42410 82004  1  4 94  0  0
 5  0      0 61355988  15984 1722656    0    0     0 255636 42731 82406  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 61403040  16000 1678744    0    0    16 120536 50638 77709  1  4 95  0  0
 3  0      0 61285916  16092 1794936    0    0    12 41808 56579 92346  1  4 94  0  0
