Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

04:10:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:10:32 AM  all    4.19    0.00    2.64    0.25    0.00    0.00    0.00    0.00    0.00   92.92
04:10:32 AM    0    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
04:10:32 AM    1    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
04:10:32 AM    2    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
04:10:32 AM    3    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:10:32 AM    4    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
04:10:32 AM    5    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
04:10:32 AM    6    0.00    0.00    2.04    2.04    0.00    0.00    0.00    0.00    0.00   95.92
04:10:32 AM    7    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
04:10:32 AM    8    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
04:10:32 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   10   20.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
04:10:32 AM   11    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
04:10:32 AM   12   14.71    0.00   27.45    0.98    0.00    0.00    0.00    0.00    0.00   56.86
04:10:32 AM   13    6.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
04:10:32 AM   14    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
04:10:32 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   17    8.91    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   87.13
04:10:32 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   19    4.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.92
04:10:32 AM   20    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:10:32 AM   21    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:10:32 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   23    0.00    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00   97.94
04:10:32 AM   24    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
04:10:32 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:10:32 AM   26    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
04:10:32 AM   27    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
04:10:32 AM   28    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
