procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  3      0 63655160  13664 437756    0    0     6  1722   17    3  1  1 98  0  0
 4  0      0 63489120  14940 506324    0    0 39404   268 34810 55755  4  3 93  0  0
 3  0      0 63406568  14940 562060    0    0     8     0 43748 87816  2  4 94  0  0
 3  0      0 63279572  14944 613188    0    0     4     0 43840 88875  1  4 95  0  0
 4  0      0 63135456  15692 679728    0    0  3172 60596 53916 91383  1  4 95  0  0
 3  0      0 62993580  15692 735416    0    0     0     0 45608 93542  1  4 95  0  0
 5  0      0 62850192  15700 790376    0    0     0    20 46106 95049  1  4 95  0  0
 5  0      0 62694960  15700 850276    0    0     0     0 46466 96496  1  4 95  0  0
 5  0      0 62532432  15700 907208    0    0     0     0 47752 98257  2  4 94  0  0
 4  0      0 62383808  15712 962532    0    0    44   100 44905 89157  1  4 94  0  0
 4  0      0 62275712  15716 1017804    0    0     4     0 45367 92644  2  4 94  0  0
 6  0      0 62188048  15816 1077848    0    0     4 245624 55370 95403  1  4 94  0  0
 4  0      0 62107164  15820 1139360    0    0     4     0 46915 97681  1  4 95  0  0
 4  0      0 61718076  15848 1444132    0    0     0 81064 41894 81139  2  5 93  0  0
 6  0      0 62390048  15876 989040    0    0     0 251268 43483 84391  2  5 93  0  0
 3  0      0 62313184  15876 1045372    0    0     0     0 46506 96604  1  4 95  0  0
 5  0      0 62233048  15884 1105016    0    0     0    68 46451 96375  1  4 95  0  0
 5  1      0 62149140  15916 1167924    0    0     0  8368 47272 98582  1  4 95  0  0
 2  0      0 62058736  15972 1224476    0    0     4 65152 60131 96839  2  4 94  0  0
 3  0      0 61983900  15980 1285720    0    0     0    44 46927 97635  1  4 95  0  0
 3  0      0 61906536  15980 1341336    0    0     0     0 46646 96829  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61821864  15984 1404508    0    0     4     0 47391 99311  1  4 95  0  0
 2  0      0 61734672  15984 1465856    0    0     0     0 47600 99797  1  4 95  0  0
 3  0      0 61653780  15992 1525844    0    0     0    68 46439 96285  1  4 95  0  0
 4  1      0 61566644  16100 1587892    0    0     0 260448 63062 97440  1  5 94  0  0
 6  0      0 60984284  16120 2145168    0    0     0 66136 41982 81649  2  6 92  0  0
 6  0      0 61420080  16176 1723328    0    0     4 391488 44437 85189  2  6 92  0  0
 4  0      0 61085392  16204 2055980    0    0     0 132140 44496 86436  2  6 92  0  0
 2  1      0 60740336  16248 2388920    0    0     0 198208 45001 84436  2  6 91  0  0
 4  0      0 61564248  16296 1567320    0    0     0 106480 43720 84812  2  6 92  0  0
 4  0      0 61504552  16300 1627496    0    0     4     0 46225 95525  1  4 95  0  0
 4  1      0 61436292  16380 1689088    0    0    24 81640 57385 97411  1  4 94  0  0
 4  0      0 61375832  16408 1747984    0    0     0   172 47176 97971  1  4 95  0  0
 5  0      0 61314848  16408 1808360    0    0     0     0 46847 97589  1  4 95  0  0
 2  0      0 61259156  16416 1865532    0    0     0    56 46088 95254  1  4 95  0  0
 4  0      0 61199184  16416 1925012    0    0     0     0 47813 99829  1  4 95  0  0
 4  0      0 61133924  16416 1987756    0    0     0     0 46751 97156  1  4 95  0  0
 5  0      0 60812708  16448 2285340    0    0     0 253144 44753 88466  2  5 93  0  0
 4  0      0 61224728  16588 1839916    0    0    24 324768 54914 81241  2  6 92  0  0
 5  0      0 61172308  16588 1900956    0    0     0     0 46790 97171  1  4 95  0  0
 4  0      0 61114348  16588 1958856    0    0     0     0 47625 99694  1  4 95  0  0
 1  0      0 62081012  16588 1989148    0    0   920     0 35974 63980  1  3 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 62044740  16588 1996056    0    0   184     0 13599 5032  1  1 98  0  0
 7  1      0 62032496  16644 1984912    0    0     0 88344 20750 20574  2  2 95  0  0
 6  1      0 61569064  16672 2427460    0    0     0 132136 51785 95500  4  5 91  1  0
 4  2      0 61186992  16700 2785732    0    0     0 132148 45754 81276  4  4 92  1  0
 5  1      0 60882392  16728 3087400    0    0     0 132144 40615 69371  3  4 93  1  0
 8  1      0 60563952  16756 3350088    0    0     0 132260 32346 49239  3  4 93  0  0
 6  1      0 60333288  16808 3503168    0    0     0 198272 29736 40484  3  4 93  0  0
 8  1      0 60001316  16844 3779476    0    0     0 115344 32410 48524  3  3 93  0  0
 8  1      0 61496896  16864 2244728    0    0     0 65840 53306 99444  2  4 93  1  0
 8  1      0 61464556  17004 2245304    0    0     8 205272 68500 101037  3  4 92  1  0
