procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2      0 63610720  13636 445852    0    0     6  1497    2   14  1  1 98  0  0
 2  0      0 63417968  15224 544864    0    0 39720   268 33401 52469  3  3 94  0  0
 1  0      0 63165004  15224 632680    0    0     0     0 40200 75791  3  4 93  0  0
 5  0      0 62919068  15232 728588    0    0     8     0 41584 80965  1  4 95  0  0
 4  0      0 62637380  15792 837764    0    0  2980 57752 47496 83851  1  4 95  0  0
 2  0      0 62341536  15796 943904    0    0     4     0 43176 86125  1  4 95  0  0
 3  0      0 62160120  15804 1042604    0    0     0    28 42108 82536  2  4 94  0  0
 5  0      0 61704364  15832 1387244    0    0     0 253772 41159 76227  2  5 93  0  0
 1  0      0 62319472  15896 973708    0    0     0 255620 41556 77292  2  6 93  0  0
 3  0      0 62176588  15904 1073504    0    0     0    60 42419 83725  1  3 95  0  0
11  0      0 62020660  15908 1177112    0    0     4     0 43502 84628  2  4 94  0  0
 4  0      0 61884352  15908 1274820    0    0     0     0 41856 82376  1  3 95  0  0
 4  0      0 61723896  19756 1382004    0    0  6136 73544 51538 82434  2  4 94  0  0
 4  0      0 61274408  19784 1792084    0    0     0 253796 41467 78200  2  5 93  0  0
 8  0      0 61598576  19828 1476820    0    0     0 321708 40393 73977  2  6 91  0  0
 5  0      0 61171616  19860 1895236    0    0     0 132156 41596 77593  3  6 91  0  0
 6  0      0 60754720  19892 2311356    0    0     4 132156 41660 78625  2  6 91  0  0
 3  0      0 61125352  19948 1937928    0    0   248 181316 43546 81137  2  6 91  0  0
 3  0      0 61385920  19948 1676316    0    0     0     0 42949 85501  1  4 95  0  0
 4  0      0 61127792  19980 1909112    0    0     0 253820 43450 84388  1  4 94  0  0
 1  0      0 61367024  20096 1619080    0    0     4 329144 51212 72983  2  7 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 61273308  20096 1719636    0    0     0     0 41943 82743  1  4 95  0  0
 1  0      0 61166472  20096 1828608    0    0     0     0 43629 87525  1  4 95  0  0
 7  0      0 61056096  20096 1941028    0    0     0     0 44611 90607  1  4 95  0  0
 4  0      0 60944976  20100 2049532    0    0     4     0 43408 86935  1  4 95  0  0
 5  0      0 60556448  20132 2438752    0    0     0 253848 40117 74716  1  5 93  0  0
 4  1      0 60897932  20180 2177440    0    0     8 382924 40450 74340  2  7 91  0  0
 4  0      0 60555748  20216 2521808    0    0     4 132164 42877 82497  2  6 91  0  0
 4  0      0 60126480  20332 2946520    0    0     4 205764 51125 79037  2  6 91  0  0
 4  0      0 59698632  20360 3374276    0    0     0 132164 41681 78588  2  6 92  0  0
 7  0      0 59313996  20404 3750336    0    0     0 198248 42412 78827  2  6 91  0  0
 5  0      0 58823604  20436 4221536    0    0     4 140548 42659 81450  2  6 92  0  0
 5  0      0 57997652  20512 5009316    0    0     0 452048 43282 79110  3  8 89  0  0
 7  1      0 60483544  20592 2495480    0    0     0 353672 44151 81607  2  8 90  0  0
 6  0      0 60429988  20636 2565292    0    0     0 131712 41452 78892  2  6 92  0  0
 7  0      0 60375584  20680 2620504    0    0     0 131688 42194 80724  3  6 92  0  0
 5  0      0 60303264  20724 2692624    0    0     0 131688 42308 82372  2  6 92  0  0
 3  0      0 60280780  20856 2708792    0    0    20 139452 51998 86544  1  5 94  0  0
 4  0      0 59960700  20888 3037328    0    0     0 253812 43069 83513  1  5 93  0  0
 8  0      0 60205584  20916 2818352    0    0     0 255628 43232 83249  2  7 91  0  0
