Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:25 AM     0    504456  26611.76    422.55 27522380  133604   0.20  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:26 AM     0    504456  48962.00      0.00 27555156  312948   0.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:27 AM     0    504456  57250.00      0.00 27604320  487472   0.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:28 AM     0    504456  47082.00      0.00 27653484  664904   1.02  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:29 AM     0    504456  46776.00      0.00 27702648  851328   1.30  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:30 AM     0    504456  39433.00      5.00 27735424  929864   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:31 AM     0    504456  13945.00      0.00 27784588  974616   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:32 AM     0    504456  37970.00      0.00 27538768  763004   1.17  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:33 AM     0    504456  49907.00      0.00 27604304  809512   1.24  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:34 AM     0    504456  25447.00      0.00 27669840  856224   1.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:35 AM     0    504456  46064.00      0.00 27735376  901096   1.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:36 AM     0    504456  30924.00      0.00 27800912  946372   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:37 AM     0    504456  38584.00      0.00 27866448  989796   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:38 AM     0    504456  15816.00      0.00 27817284  962716   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:39 AM     0    504456  20518.00      0.00 27817284  964468   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:40 AM     0    504456   8506.00      0.00 27817284  969516   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:41 AM     0    504456  42231.00      0.00 27817284  970484   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:42 AM     0    504456  46634.00      0.00 27817284  970484   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:43 AM     0    504456  50130.00      0.00 27817284  983756   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:44 AM     0    504456  38887.00      1.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:45 AM     0    504456  20015.00      0.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:46 AM     0    504456     66.00      0.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:47 AM     0    504456     18.00      0.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:48 AM     0    504456   1043.00      0.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:49 AM     0    504456     31.00      0.00 27882820 1019760   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:50 AM     0    504456   1194.00      0.00 27751748  956856   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:51 AM     0    504456    495.00      0.00 27751748  958228   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:52 AM     0    504456   1432.00      0.00 27751748  959324   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:53 AM     0    504456  36748.00      0.00 27751748  960292   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:54 AM     0    504456  42382.00      0.00 27751748  961828   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:55 AM     0    504456  38268.00      0.00 27817284  966068   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:56 AM     0    504456  65223.00      0.00 27817284 1002104   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:57 AM     0    504456  35708.00      0.00 27882820 1034600   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:58 AM     0    504456  22217.00      0.00 27882820 1048532   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:32:59 AM     0    504456    898.00      0.00 27882820 1048560   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:00 AM     0    504456   1162.00      2.00 27882820 1048560   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:01 AM     0    504456     18.00      0.00 27882820 1048560   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:02 AM     0    504456    120.00      0.00 27882820 1048712   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:03 AM     0    504456  22394.00      0.00 27751748  968844   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:04 AM     0    504456  34626.00      2.00 27751748  970508   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:05 AM     0    504456  28635.00      0.00 27751748  971476   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:06 AM     0    504456  36892.00      0.00 27751748  972452   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:07 AM     0    504456  40186.00      0.00 27751748  973904   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:08 AM     0    504456  27878.00      0.00 27817284  983292   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:09 AM     0    504456  25641.00      0.00 27817284 1019960   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:33:10 AM     0    504456  22391.00      0.00 27882820 1040236   1.59  java

