procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2      0 63540084  24232 428108    0    0     6  1520    9    9  1  1 98  0  0
 6  0      0 63343912  24904 503888    0    0 38752  1328 36745 60625  5  3 92  0  0
 2  0      0 63252016  24904 559816    0    0     0     0 45530 93376  1  4 95  0  0
 4  0      0 63121048  24904 611416    0    0     0     0 44546 87636  1  4 94  0  0
 4  1      0 62990120  25052 667744    0    0  1088 62912 53353 85657  1  4 94  0  0
 2  0      0 62853296  25212 725692    0    0  1688    28 46487 94650  1  4 95  0  0
 3  0      0 62715972  25224 780396    0    0     4 86068 46103 92942  1  4 95  0  0
 3  0      0 62568048  25232 836408    0    0     4     0 47569 97489  1  4 95  0  0
 6  0      0 62405004  25236 898068    0    0     4     0 49437 104254  1  4 95  0  0
 4  2      0 62244996  25244 958864    0    0     0   148 47569 98347  1  4 95  0  0
 4  0      0 62136636  25252 1012768    0    0     4     4 46004 93339  1  4 94  0  0
 3  0      0 61985888  30864 1100564    0    0 36576 114028 56751 93667  2  5 92  1  0
 3  0      0 61907552  30872 1161116    0    0    24     0 48441 100525  1  4 95  0  0
 5  0      0 61566108  30892 1420108    0    0     0 126576 43084 83810  2  5 93  0  0
 1  0      0 62181944  30924 1005276    0    0     0 251268 41777 77586  2  6 92  0  0
 3  0      0 62111152  30924 1061140    0    0     0     0 45534 92937  1  4 95  0  0
 4  0      0 62038072  30932 1116128    0    0     0    64 45419 93168  1  4 95  0  0
 3  0      0 61958948  30932 1176416    0    0     0     0 48018 100276  1  4 94  0  0
 6  0      0 61875540  31024 1236092    0    0     8 73492 56118 96234  1  4 94  0  0
 5  0      0 61796916  31032 1295180    0    0     0    44 47063 97288  1  4 94  0  0
 3  0      0 61720584  31032 1351868    0    0     0     0 45098 92043  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61642464  31032 1408844    0    0     0     0 47205 98062  1  4 95  0  0
 3  0      0 61556800  31032 1470984    0    0     0     0 47631 99560  1  4 95  0  0
 4  0      0 61479688  31040 1527636    0    0     0    48 46039 94302  1  4 95  0  0
 5  0      0 61393284  31048 1584092    0    0     0    12 45939 91934  2  4 94  0  0
 5  0      0 61121780  31160 1838108    0    0     4 326576 53679 86755  2  5 93  0  0
10  0      0 61427252  31220 1528056    0    0     0 251260 42244 79861  2  6 92  0  0
 7  0      0 61064336  31248 1896036    0    0     0 132148 42675 81625  2  6 92  0  0
 5  1      0 60706336  31292 2252696    0    0     0 198208 43291 82413  2  6 91  0  0
 7  0      0 60383516  31320 2570080    0    0     0 132140 44635 86698  2  6 92  0  0
 4  0      0 61335740  31348 1620364    0    0     0 40332 45122 90896  2  4 94  0  0
 6  0      0 61278100  31356 1674120    0    0     8 93980 44568 89407  1  4 95  0  0
 6  0      0 61221692  31356 1729332    0    0     0     0 45365 92973  1  4 95  0  0
 6  0      0 61158732  31440 1791680    0    0     0 73584 56503 96287  1  4 94  0  0
 6  0      0 61091460  31444 1849996    0    0     4     0 46570 94209  1  4 94  0  0
 7  0      0 61042068  31496 1904892    0    0    52    56 45645 93552  1  4 95  0  0
 7  0      0 60987144  31496 1963108    0    0     0   524 45719 93559  1  4 95  0  0
 7  0      0 60922948  31924 2015776    0    0  1960     0 44501 88990  2  4 94  0  0
 8  0      0 60655604  31968 2290676    0    0   144 253424 43035 80183  2  5 92  0  0
 7  0      0 61056492  31996 1865468    0    0     0 251264 45561 89839  2  6 92  0  0
 6  0      0 60989256  32080 1928308    0    0     0 73516 55449 100135  1  4 94  0  0
 4  0      0 60927276  32080 1989608    0    0     0     0 47853 99930  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 61892976  32084 2017868    0    0   924    84 35391 62003  1  3 96  0  0
 6  0      0 61868028  32084 2021140    0    0   184     0 14162 5972  1  1 98  0  0
 5  0      0 61798840  32132 2070372    0    0     0 88244 25618 30446  2  3 95  0  0
 9  1      0 61321616  32172 2507536    0    0     0 132240 51566 94525  5  4 90  1  0
 6  1      0 60905268  32200 2899412    0    0     0 132148 46843 83981  3  4 92  1  0
 8  1      0 60670832  32244 3121080    0    0     0 198220 39143 64598  3  4 93  0  0
 8  1      0 60345320  32272 3397864    0    0     0 132148 32035 47360  3  4 93  0  0
 7  0      0 60050692  32300 3636212    0    0     0 132148 26660 34335  3  3 93  0  0
 8  1      0 59698368  32344 3935888    0    0     0 115388 39131 65615  3  3 93  1  0
 6  1      0 61299004  32388 2293640    0    0     0 131716 52014 95884  2  4 93  1  0
 8  1      0 61050864  32416 2506972    0    0     4 156892 61191 101281  2  4 92  1  0
 4  0      0 61064736  32536 2447224    0    0     0 180040 69908 99262  3  4 93  1  0
