Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

07:38:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:38:07 AM  all    3.24    0.00    2.86    0.28    0.00    0.00    0.00    0.00    0.00   93.61
07:38:07 AM    0    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:38:07 AM    1    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
07:38:07 AM    2    2.08    0.00    3.12    5.21    0.00    0.00    0.00    0.00    0.00   89.58
07:38:07 AM    3    7.14    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   86.73
07:38:07 AM    4    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:38:07 AM    5    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:38:07 AM    6    8.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
07:38:07 AM    7    2.08    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   93.75
07:38:07 AM    8   10.10    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   61.62
07:38:07 AM    9    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:38:07 AM   10    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:38:07 AM   11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:07 AM   12    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
07:38:07 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:07 AM   14    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:38:07 AM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:38:07 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:07 AM   17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:07 AM   18    8.16    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   90.82
07:38:07 AM   19   18.63    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   79.41
07:38:07 AM   20    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94
07:38:07 AM   21    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:38:07 AM   22    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:07 AM   23    5.94    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   91.09
07:38:07 AM   24    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:38:07 AM   25    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:38:07 AM   26    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
07:38:07 AM   27    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:07 AM   28   13.59    0.00   27.18    0.97    0.00    0.00    0.00    0.00    0.00   58.25
07:38:07 AM   29    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:38:07 AM   30    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
07:38:07 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:07 AM   32    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
07:38:07 AM   33    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
07:38:07 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:07 AM   35    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
07:38:07 AM   36    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
07:38:07 AM   37    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
07:38:07 AM   38    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
07:38:07 AM   39   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89

07:38:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:38:08 AM  all    2.24    0.00    3.72    0.03    0.00    0.00    0.00    0.00    0.00   94.01
07:38:08 AM    0    3.16    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   95.79
07:38:08 AM    1    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
07:38:08 AM    2    3.19    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   95.74
07:38:08 AM    3    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:38:08 AM    4    1.09    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   96.74
07:38:08 AM    5    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:38:08 AM    6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:38:08 AM    7    1.03    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   93.81
07:38:08 AM    8    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:38:08 AM    9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
07:38:08 AM   10    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:08 AM   11    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:38:08 AM   12    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
07:38:08 AM   13    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:38:08 AM   14    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:38:08 AM   15    4.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
07:38:08 AM   16    6.93    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   91.09
07:38:08 AM   17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:38:08 AM   18    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:38:08 AM   19    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:38:08 AM   20    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:38:08 AM   21    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:38:08 AM   22    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:38:08 AM   23    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
07:38:08 AM   24    1.03    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   96.91
07:38:08 AM   25    5.05    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   82.83
07:38:08 AM   26    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:38:08 AM   27    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:38:08 AM   28    6.06    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00   66.67
07:38:08 AM   29    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:38:08 AM   30    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:38:08 AM   31    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
07:38:08 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:08 AM   33    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:38:08 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:08 AM   35    5.15    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00   65.98
07:38:08 AM   36    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
07:38:08 AM   37    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
07:38:08 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:38:08 AM   39   19.19    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   77.78

07:38:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:38:09 AM  all    1.10    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   95.20
07:38:09 AM    0    0.00    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   98.94
07:38:09 AM    1    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
07:38:09 AM    2    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
07:38:09 AM    3    1.06    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   97.87
