Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:07 AM     0    511958  27382.35    427.45 27522380  135508   0.21  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:08 AM     0    511958  47843.00      0.00 27555156  317172   0.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:09 AM     0    511958  56356.00      0.00 27604320  487816   0.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:10 AM     0    511958  46164.00      0.00 27653484  661336   1.01  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:11 AM     0    511958  44163.00      0.00 27686260  837480   1.28  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:12 AM     0    511958  43478.00      0.00 27735424  926968   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:13 AM     0    511958  13109.00      0.00 27786644  970000   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:14 AM     0    511958  11271.00      0.00 27538768  753920   1.15  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:15 AM     0    511958  13659.00      0.00 27604304  796100   1.22  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:16 AM     0    511958  34207.00      0.00 27669840  843224   1.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:17 AM     0    511958  40460.00      1.00 27669840  885624   1.35  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:18 AM     0    511958  57958.00      0.00 27735376  930592   1.42  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:19 AM     0    511958  66123.00      0.00 27800912  973756   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:20 AM     0    511958  50391.09      0.00 27817284  965960   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:21 AM     0    511958  32032.00      0.00 27817284  979836   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:22 AM     0    511958   4211.00      0.00 27817284  985236   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:23 AM     0    511958    539.00      0.00 27817284  986548   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:24 AM     0    511958  30543.00      0.00 27817284  986864   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:25 AM     0    511958  20510.00      0.00 27817284  987848   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:26 AM     0    511958  11855.00      0.00 27882820 1024780   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:27 AM     0    511958  46235.00      0.00 27882820 1036124   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:28 AM     0    511958  27812.00      0.00 27882820 1036124   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:29 AM     0    511958  12223.00      0.00 27882820 1036124   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:30 AM     0    511958  12483.00      0.00 27882820 1036124   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:31 AM     0    511958  16607.00      0.00 27882820 1036164   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:32 AM     0    511958  17219.00      0.00 27751748  956336   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:33 AM     0    511958   1616.00      0.00 27751748  957900   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:34 AM     0    511958    451.00      0.00 27751748  958864   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:35 AM     0    511958  19573.00      0.00 27751748  960320   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:36 AM     0    511958  47180.00      0.00 27751748  961436   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:37 AM     0    511958  39727.00      2.00 27768228  971296   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:38 AM     0    511958  56278.00      0.00 27800996 1007056   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:39 AM     0    511958  47302.00      0.00 27817380 1028468   1.57  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:40 AM     0    511958  29561.00      0.00 27702692  946604   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:41 AM     0    511958   1029.00      2.00 27702692  946728   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:42 AM     0    511958    100.00      0.00 27702692  946728   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:43 AM     0    511958   3404.00      0.00 27768228  955896   1.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:44 AM     0    511958  11320.00      0.00 27833764 1001304   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:45 AM     0    511958  13253.00      0.00 27833764 1039576   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:46 AM     0    511958  31776.00      0.00 27817380  986156   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:47 AM     0    511958    498.00      0.00 27817380  987748   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:48 AM     0    511958   4096.00      0.00 27817380  988892   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:49 AM     0    511958  41208.00      0.00 27817380  989864   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:50 AM     0    511958  39286.00      0.00 27817380  991316   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:51 AM     0    511958  15401.00      0.00 27817380 1003684   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:38:52 AM     0    511958  64098.00      0.00 27882916 1038580   1.59  java

