procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2      0 63560956  14740 428544    0    0     6  1525   11   11  1  1 98  0  0
 4  0      0 63368984  16132 527156    0    0 39468  1324 33826 53105  3  3 94  0  0
 5  0      0 63119776  16136 620944    0    0     4     0 40373 77170  2  4 94  0  0
 6  0      0 62861280  16136 714368    0    0     0     0 40288 78015  1  4 95  0  0
 4  1      0 62605024  16140 806848    0    0     4     0 40162 77016  1  4 95  0  0
 5  0      0 62300448  16692 915904    0    0  2976 61460 50469 82346  1  4 94  0  0
 4  0      0 62114104  16704 1011828    0    0   252 139324 41410 77550  2  4 94  0  0
 7  0      0 61711316  16740 1314700    0    0     0 114524 41464 77247  2  5 93  0  0
 3  0      0 62258744  16796 942560    0    0     0 255624 41844 76452  2  6 92  0  0
 1  0      0 62127300  16796 1040608    0    0    44     0 41787 79842  1  4 94  0  0
 1  0      0 61982176  16808 1145276    0    0     0   120 43026 85877  1  4 95  0  0
 1  0      0 61847608  16808 1241624    0    0     0     0 40215 77693  1  3 95  0  0
 4  0      0 61701464  16808 1342644    0    0     0     0 42064 82870  1  4 95  0  0
 5  0      0 61368724  16932 1630660    0    0     8 327292 50438 77120  1  5 93  0  0
 7  0      0 61630180  16960 1368352    0    0     0 255628 40152 73465  2  7 91  0  0
 5  0      0 61219556  16992 1766068    0    0     4 132160 40572 75809  2  6 92  0  0
 5  0      0 60809116  17020 2175836    0    0     0 132156 41424 78399  2  6 92  0  0
 4  0      0 60485528  17064 2493648    0    0     0 198236 43311 82476  2  6 92  0  0
 1  0      0 61328724  17088 1626836    0    0     0 49120 41468 78532  2  5 93  0  0
 3  0      0 61239284  17088 1728328    0    0     0     0 41869 82240  1  4 95  0  0
 4  0      0 60646500  17120 2289608    0    0     0 253812 39793 72427  2  7 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61259516  17148 1657868    0    0     0 255620 43732 84171  1  5 94  0  0
 4  0      0 61152480  17236 1766188    0    0     4 73540 52230 85012  1  4 95  0  0
 4  0      0 61046672  17236 1877808    0    0     0     0 44035 88705  1  4 95  0  0
 3  0      0 60936800  17236 1988316    0    0     0     0 44438 89743  1  4 95  0  0
 5  0      0 60720876  17260 2200676    0    0     0 253788 41845 79884  2  5 93  0  0
 6  0      0 61010216  17284 1989016    0    0     0 255616 39928 74224  2  6 92  0  0
 5  0      0 60601228  17320 2403120    0    0     0 132220 41042 76785  2  6 91  0  0
 7  0      0 60162732  17352 2826808    0    0     0 132168 42478 78887  2  7 91  0  0
 4  0      0 59812552  17396 3184308    0    0     0 198252 41831 78621  2  6 91  0  0
 6  0      0 59391908  17512 3605600    0    0     4 205692 57186 77760  3  6 91  0  0
 4  0      0 59020692  17564 3967788    0    0     8 278396 43159 81486  2  6 92  0  0
 7  0      0 58372456  17624 4578684    0    0     0 385968 41957 76539  2  8 90  0  0
 4  0      0 59727844  17712 3187900    0    0     0 419632 43354 77820  3  8 89  0  0
 3  1      0 60472044  17748 2547664    0    0     0 131696 40784 75297  2  6 91  0  0
 4  0      0 60411308  17784 2623892    0    0     0 66016 42092 80148  2  6 92  0  0
 2  0      0 60366332  17828 2662604    0    0     0 132160 42119 79781  2  6 92  0  0
 2  0      0 60399884  17876 2612992    0    0     0 131692 41804 79720  2  5 93  0  0
 3  0      0 60237940  17876 2715244    0    0     0     0 43169 84408  2  4 94  0  0
 5  0      0 59744048  18008 3183996    0    0    16 327416 48602 74887  2  6 92  0  0
 3  0      0 60135436  18048 2844068    0    0     0 321712 43629 82659  2  7 91  0  0
 5  0      0 59750708  18076 3232816    0    0     0 132160 42029 80324  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 59350604  18104 3632480    0    0     0 132432 41635 79402  2  6 92  0  0
 4  0      0 58942996  18136 4038776    0    0     0 173124 41522 78014  2  6 92  0  0
 7  0      0 58574192  18184 4401852    0    0     0 157324 42592 81897  2  6 92  0  0
 7  0      0 58097292  18216 4866692    0    0     4 132168 42251 79984  2  6 92  0  0
 6  0      0 57315772  18292 5610292    0    0     0 452056 42777 78406  3  8 89  1  0
12  0      0 59750200  18364 3137184    0    0     0 403924 45552 74784  2  8 90  0  0
 6  0      0 59383804  18476 3499808    0    0     4 185152 62255 81339  3  6 91  0  0
 8  0      0 59461980  18512 3431800    0    0     0 131676 42305 81603  2  6 92  0  0
 9  1      0 59522620  18556 3361716    0    0     0 131692 41849 79582  2  6 92  0  0
 9  0      0 59465092  18600 3427028    0    0     0 131696 42580 81944  3  5 92  0  0
10  0      0 59125468  18656 3764952    0    0     0 385440 41307 77668  2  6 91  1  0
 6  1      0 58465584  18696 4424980    0    0     0 321448 41560 79266  3  7 91  0  0
 8  1      0 59368932  18748 3616400    0    0     4 132288 40263 74672  2  6 91  0  0
 9  0      0 58977984  18776 4011320    0    0     0 132176 42192 80728  2  6 92  0  0
10  0      0 58576284  18892 4406440    0    0     4 205756 50327 77529  3  6 91  0  0
 9  0      0 58193136  18920 4793332    0    0     0 132172 43230 82815  2  6 92  0  0
 7  0      0 57747236  18964 5216704    0    0     0 198268 44380 85451  2  6 91  0  0
10  0      0 57187856  19024 5746288    0    0     0 385980 42787 79653  2  7 90  0  0
10  0      0 57639432  19096 5244044    0    0     0 385484 43128 80594  3  8 88  1  0
 6  0      0 59062624  19132 4018352    0    0     0 131752 39225 71964  2  6 91  0  0
 9  0      0 59136524  19172 3936928    0    0     0 131688 40932 77413  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 58741712  19200 4294068    0    0     0 131640 42120 81182  2  6 92  0  0
