Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

07:45:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:45:53 AM  all    1.23    0.00    0.53    0.13    0.00    0.00    0.00    0.00    0.00   98.11
07:45:53 AM    0    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:45:53 AM    1    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
07:45:53 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM    4    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:45:53 AM    5    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:45:53 AM    6   14.29    0.00    2.04    3.06    0.00    0.00    0.00    0.00    0.00   80.61
07:45:53 AM    7    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
07:45:53 AM    8    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:45:53 AM    9    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:45:53 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   14    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
07:45:53 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   20    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:45:53 AM   21    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:45:53 AM   22    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:45:53 AM   23    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:45:53 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   28    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:45:53 AM   29    2.02    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   95.96
07:45:53 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   36    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:45:53 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:45:53 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
