Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:36 AM     0    583287  64555.88    428.43 27688284  270288   0.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:37 AM     0    583287  82372.00      0.00 27770224  599732   0.92  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:38 AM     0    583287  84963.00      0.00 27852164  924356   1.41  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:39 AM     0    583287  81373.00      0.00 27934104 1018972   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:40 AM     0    583287  31496.00      0.00 27737448  856988   1.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:41 AM     0    583287  25522.00      4.00 27868520  949808   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:42 AM     0    583287  24076.00      0.00 27999592 1045880   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:43 AM     0    583287   8997.00      2.00 27884876  967208   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:44 AM     0    583287   5651.00      0.00 27950412  989644   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:45 AM     0    583287  35531.00      0.00 28081484 1080084   1.65  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:46 AM     0    583287  74289.00      2.00 28081484 1102956   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:47 AM     0    583287  96256.00      2.00 28081484 1103528   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:48 AM     0    583287  69166.00      0.00 28081484 1110496   1.70  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:49 AM     0    583287   5560.00      0.00 28081484 1127484   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:50 AM     0    583287    626.00      0.00 28081484 1129072   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:51 AM     0    583287  53591.00      4.00 28015948 1082040   1.65  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:52 AM     0    583287  85195.00      0.00 28015948 1083524   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:53 AM     0    583287  83101.00      0.00 28015948 1085284   1.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:54 AM     0    583287  31024.00      0.00 28081484 1137004   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:55 AM     0    583287   1176.00      0.00 28081484 1137388   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:56 AM     0    583287   1548.00      2.00 28081484 1138084   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:57 AM     0    583287    476.00      0.00 28015948 1089640   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:58 AM     0    583287    471.00      2.00 28015948 1090644   1.67  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:21:59 AM     0    583287  17579.00      0.00 28081484 1128292   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:00 AM     0    583287  76698.00      0.00 28081484 1142820   1.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:01 AM     0    583287  92699.00      4.00 28081484 1143800   1.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:02 AM     0    583287  75778.00      2.00 28081484 1146068   1.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:03 AM     0    583287   3987.00      0.00 28015948 1098164   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:04 AM     0    583287   2213.00      0.00 28015948 1099648   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:05 AM     0    583287  13626.00      0.00 28081484 1151276   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:06 AM     0    583287    522.00      3.00 28081484 1151760   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:07 AM     0    583287    532.00      2.00 28081484 1152032   1.76  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:08 AM     0    583287  10957.00      0.00 28147020 1190020   1.82  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:09 AM     0    583287   3099.00      0.00 28147020 1196304   1.83  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:10 AM     0    583287   2991.00      0.00 28147020 1200356   1.83  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:11 AM     0    583287  90599.00      0.00 28081484 1189736   1.82  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:12 AM     0    583287  78735.00      4.00 28081484 1195144   1.83  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:14 AM     0    584102  41526.00      8.00 27011240  192064   0.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:15 AM     0    584102  31373.00      0.00 26962060  169432   0.26  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:16 AM     0    584102   8816.00      0.00 26963088  201448   0.31  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:17 AM     0    584102   8588.00      4.00 27311328  222860   0.34  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:18 AM     0    584102  10362.00      2.00 27444456  262980   0.40  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:19 AM     0    584102  28679.00      0.00 27444456  348484   0.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:20 AM     0    584102  22600.00      0.00 27444456  418180   0.64  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:22:21 AM     0    584102  24977.00      0.00 27444456  501472   0.77  java

