procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 63525340  14972 410040    0    0     7  1525   11    4  1  1 98  0  0
 4  0      0 63165536  16452 552612    0    0 39588   448 40231 81789  5  2 93  0  0
 2  0      0 62661992  16452 712900    0    0     0     0 50561 121527  1  3 96  0  0
 2  0      0 62161520  16452 878668    0    0     0     0 49255 123575  1  3 96  0  0
 3  0      0 61693108  16476 1266676    0    0     0 253776 56468 135539  1  4 94  0  0
 2  0      0 62126792  16544 994524    0    0     0 255764 57350 140065  1  5 94  0  0
 3  0      0 61849364  16548 1178820    0    0     4  8024 57120 139544  1  3 96  0  0
 4  0      0 61161016  16580 1771684    0    0     0 253820 58013 141781  2  4 94  0  0
 7  0      0 61428884  16620 1579984    0    0     0 321728 62074 149525  3  5 92  0  0
 6  0      0 60861024  19808 2124436    0    0 10800 255576 66604 157634  3  5 92  0  0
 4  1      0 59746584  21432 3166112    0    0  1916 584428 65013 152206  4  7 88  1  0
 3  0      0 61256772  21488 1613720    0    0     0 115464 58537 143480  2  4 94  0  0
 2  0      0 61072212  21508 1786144    0    0     0 249812 53455 129567  2  3 95  0  0
 3  0      0 60739972  21548 2118248    0    0     0 259648 60397 145335  2  5 92  0  0
 6  0      0 60519404  21580 2318608    0    0     0 132172 63059 148495  3  6 92  0  0
 7  0      0 59790780  24492 3024068    0    0 30944 452184 72179 168173  4  6 89  1  0
 2  0      0 59719064  24548 3146128    0    0     0 388056 66271 154792  3  7 89  1  0
 4  0      0 59205008  24592 3658936    0    0     0 198268 58130 142420  2  5 92  0  0
 5  0      0 58466136  24668 4397080    0    0     0 452048 66672 158291  3  6 91  1  0
 3  0      0 58931144  24740 3873188    0    0     0 419844 67440 160904  3  7 90  0  0
 6  0      0 60113204  24768 2700084    0    0     0 65948 62599 150004  2  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 59340928  24852 3476012    0    0     0 385688 67662 156397  3  7 90  0  0
 4  0      0 60020108  24936 2831496    0    0     0 453440 64895 152850  3  6 91  0  0
 4  1      0 59382032  24984 3468228    0    0     0 300028 65953 156516  3  5 92  0  0
 3  0      0 58367972  25060 4439400    0    0     4 539804 72520 168057  3  8 88  1  0
 2  0      0 58594128  25124 4196784    0    0     0 198364 58616 140289  2  5 92  0  0
 5  0      0 58005368  25192 4789560    0    0     8 386180 63408 147472  2  6 92  0  0
 5  0      0 57287980  25248 5499108    0    0     0 453836 67484 158599  3  7 89  1  0
 3  0      0 57257284  25284 5588756    0    0     0 132244 63817 152421  2  5 92  0  0
 5  0      0 56567992  25356 6276268    0    0     0 452076 68729 162912  3  6 90  0  0
 4  0      0 56383352  25428 6407976    0    0     0 392036 67026 157822  3  7 90  1  0
