Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:11 AM     0    580708  67491.18    426.47 27954540  282072   0.43  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:12 AM     0    580708  96490.00      0.00 28052868  660820   1.01  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:13 AM     0    580708  86457.00      0.00 28134808  952060   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:14 AM     0    580708 124293.00      0.00 28218796 1041808   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:15 AM     0    580708  42704.00      1.00 28061044  886844   1.36  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:16 AM     0    580708  28528.00      4.00 28192116  996052   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:17 AM     0    580708  47531.00      2.00 28208472  984700   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:18 AM     0    580708   2464.00      0.00 28208472  994984   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:19 AM     0    580708  26975.00      0.00 28274008 1074524   1.64  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:20 AM     0    580708  60212.00      0.00 28339544 1125328   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:21 AM     0    580708  89021.00      0.00 28339544 1125776   1.72  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:22 AM     0    580708  85309.00      0.00 28405080 1134112   1.73  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:23 AM     0    580708   5147.00      0.00 28405080 1145632   1.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:24 AM     0    580708  55808.00      0.00 28405080 1147200   1.75  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:25 AM     0    580708 122130.00      1.00 28208472 1038556   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:26 AM     0    580708  59655.00      2.00 28208472 1040008   1.59  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:27 AM     0    580708  75655.00      2.00 28339544 1108464   1.69  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:28 AM     0    580708  51796.00      0.00 28339544 1137588   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:29 AM     0    580708    703.00      0.00 28339544 1139252   1.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:30 AM     0    580708   8379.00      0.00 28405080 1168316   1.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:31 AM     0    580708    237.00      2.00 28405080 1168472   1.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:32 AM     0    580708    412.00      0.00 28405080 1168932   1.79  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:33 AM     0    580708  13785.00      2.00 28274008 1096400   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:34 AM     0    580708  45393.00      0.00 28274008 1097720   1.68  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:35 AM     0    580708  88079.00      0.00 28405080 1161884   1.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:36 AM     0    580708   2057.00      4.00 28405080 1162860   1.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:37 AM     0    580708  10818.00      2.00 28405080 1166104   1.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:38 AM     0    580708   7734.00      0.00 28405080 1187552   1.81  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:39 AM     0    580708   5014.00      0.00 28405080 1190016   1.82  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:40 AM     0    580708   6167.00      0.00 28405080 1212100   1.85  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:41 AM     0    580708  10308.00      2.00 28405080 1248300   1.91  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:42 AM     0    580708   2541.00      0.00 28405080 1256708   1.92  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:43 AM     0    580708    670.00      2.00 28339544 1208920   1.85  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:45 AM     0    581105   7364.00      8.00 19744892   52404   0.08  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:46 AM     0    581105  51952.00      1.00 26896520  132988   0.20  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:47 AM     0    581105  16674.00      3.00 26964112  183300   0.28  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:48 AM     0    581105  10433.00      0.00 27444452  217012   0.33  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:49 AM     0    581105   7952.00      2.00 27444452  244924   0.37  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:50 AM     0    581105  12531.00      0.00 27444452  290228   0.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:51 AM     0    581105  26852.00      3.00 27910400  358116   0.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:52 AM     0    581105  21535.64      0.00 27910400  429532   0.66  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:53 AM     0    581105  24681.00      0.00 27910400  512356   0.78  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:54 AM     0    581105  29191.00      0.00 27910400  617112   0.94  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:55 AM     0    581105  48333.00      0.00 27975936  734548   1.12  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:19:56 AM     0    581105  35269.00      0.00 27975936  858296   1.31  java

