procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2      0 63505928  15724 424420    0    0     7  1515   10   14  1  1 98  0  0
 4  0      0 63125856  17204 568800    0    0 39704  1156 20292 86999  6  2 92  0  0
 2  0      0 62565452  17204 753080    0    0     0     0 12291 139974  2  2 97  0  0
 3  0      0 62110088  17208 935220    0    0     4     0 12513 136708  2  2 97  0  0
 6  0      0 61539628  17232 1418892    0    0     0 253788 13671 127320  2  3 95  0  0
 4  3      0 62034568  17292 1054652    0    0     4 255768 13903 150595  2  3 95  0  0
 2  0      0 61694660  17344 1285724    0    0    12 261860 13438 163505  1  2 97  0  0
 4  0      0 61717616  17376 1265680    0    0     0 255628 14229 158191  3  3 94  0  0
 2  0      0 61104136  17404 1862560    0    0     0 132164 16968 177745  3  3 94  0  0
 8  0      0 60174396  17480 2705292    0    0     0 452028 19143 166770  3  4 92  0  0
 2  1      0 60156624  17544 2673008    0    0     0 387872 18518 155201  3  4 92  0  0
 2  0      0 61022060  17596 1802964    0    0     0 302916 14370 153820  2  2 96  0  0
 4  0      0 61006684  17624 1817840    0    0     0 255644 16428 164093  2  3 94  0  0
 4  0      0 60402568  17656 2405032    0    0     0 132172 16220 166692  3  3 94  0  0
 7  0      0 59587448  17732 3219980    0    0     0 452044 19555 162686  3  4 92  0  0
 6  1      0 59670544  17796 3240336    0    0     0 412412 22584 155960  3  4 92  0  0
 5  1      0 59184864  17844 3728240    0    0     0 300828 17259 163886  3  3 94  0  0
 5  0      0 58039496  17900 4804144    0    0     0 259100 18943 156619  4  4 91  0  0
 4  0      0 58277328  17948 4514080    0    0     0 387804 21072 171415  2  4 93  1  0
 7  0      0 59749168  18012 3053828    0    0     0 351976 17638 167352  3  4 93  0  0
 4  0      0 59977156  18092 2792564    0    0     0 387408 17930 174751  3  4 92  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 59740812  18156 3026240    0    0     0 316148 16289 169543  3  3 93  0  0
