Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

09:12:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:12:04 AM  all    3.57    0.00    2.65    0.23    0.00    0.00    0.00    0.00    0.00   93.55
09:12:04 AM    0    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
09:12:04 AM    1    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:04 AM    2   20.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00
09:12:04 AM    3   10.64    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   88.30
09:12:04 AM    4    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
09:12:04 AM    5   11.34    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   87.63
09:12:04 AM    6    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   93.88
09:12:04 AM    7    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:12:04 AM    8    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
09:12:04 AM    9    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
09:12:04 AM   10    0.00    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
09:12:04 AM   11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:12:04 AM   12    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:04 AM   13    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:12:04 AM   14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:04 AM   15    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:04 AM   16    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   95.96
09:12:04 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:04 AM   18    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:04 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:04 AM   20    4.90    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   92.16
09:12:04 AM   21   10.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
09:12:04 AM   22   12.87    0.00   24.75    0.00    0.00    0.00    0.00    0.00    0.00   62.38
09:12:04 AM   23    7.29    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   91.67
09:12:04 AM   24   12.24    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   85.71
09:12:04 AM   25    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:04 AM   26   11.34    0.00    3.09    3.09    0.00    0.00    0.00    0.00    0.00   82.47
09:12:04 AM   27    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:12:04 AM   28    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:12:04 AM   29    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:12:04 AM   30    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:04 AM   31    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:12:04 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:04 AM   33    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:12:04 AM   34    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:04 AM   35    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
09:12:04 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:04 AM   37    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:12:04 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:04 AM   39    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

09:12:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:12:05 AM  all    3.12    0.00    3.71    0.00    0.00    0.00    0.00    0.00    0.00   93.17
09:12:05 AM    0    0.00    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   96.88
09:12:05 AM    1    8.42    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   87.37
09:12:05 AM    2    4.12    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   81.44
09:12:05 AM    3    7.45    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   91.49
09:12:05 AM    4    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:12:05 AM    5    6.38    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   90.43
09:12:05 AM    6    3.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.77
09:12:05 AM    7   30.53    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   68.42
09:12:05 AM    8   10.20    0.00   42.86    0.00    0.00    0.00    0.00    0.00    0.00   46.94
09:12:05 AM    9    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:12:05 AM   10    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:12:05 AM   11    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:05 AM   12    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:05 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:05 AM   14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:05 AM   15    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:12:05 AM   16    0.00    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   96.08
09:12:05 AM   17    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:12:05 AM   18    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:05 AM   19    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:05 AM   20    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:12:05 AM   21    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:12:05 AM   22    1.05    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   97.89
09:12:05 AM   23    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:12:05 AM   24   13.40    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   84.54
09:12:05 AM   25    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:12:05 AM   26    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91
09:12:05 AM   27    1.98    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:12:05 AM   28   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
09:12:05 AM   29    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:12:05 AM   30    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:12:05 AM   31    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:05 AM   32   10.20    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   87.76
09:12:05 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:05 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:05 AM   35    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:12:05 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:05 AM   37    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:05 AM   38    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:12:05 AM   39    7.14    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   66.33

09:12:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:12:06 AM  all    1.07    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   95.35
09:12:06 AM    0    1.04    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   97.92
09:12:06 AM    1    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:12:06 AM    2    2.13    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   96.81
09:12:06 AM    3    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:12:06 AM    4    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:12:06 AM    5    1.02    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:12:06 AM    6    2.08    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   93.75
09:12:06 AM    7    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
09:12:06 AM    8    1.06    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   96.81
09:12:06 AM    9    2.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:12:06 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:06 AM   11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:12:06 AM   12    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:06 AM   13    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:12:06 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:06 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:12:06 AM   16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
