Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

09:15:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:31 AM  all    3.49    0.00    2.73    0.30    0.00    0.00    0.00    0.00    0.00   93.48
09:15:31 AM    0    8.16    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   90.82
09:15:31 AM    1    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
09:15:31 AM    2    3.03    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   90.91
09:15:31 AM    3   19.19    0.00   24.24    2.02    0.00    0.00    0.00    0.00    0.00   54.55
09:15:31 AM    4    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:15:31 AM    5    8.91    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   88.12
09:15:31 AM    6    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
09:15:31 AM    7    6.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
09:15:31 AM    8    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
09:15:31 AM    9    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
09:15:31 AM   10    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:15:31 AM   11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:15:31 AM   12    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:15:31 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:15:31 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:15:31 AM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:15:31 AM   16    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
09:15:31 AM   17    0.00    0.00    1.01    6.06    0.00    0.00    0.00    0.00    0.00   92.93
09:15:31 AM   18    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:15:31 AM   19    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:15:31 AM   20   20.79    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   74.26
09:15:31 AM   21    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
09:15:31 AM   22    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
