Linux 5.15.0 (noslab-gpu) 	11/14/2025 	_x86_64_	(40 CPU)

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:31 AM     0    575386  26632.35    429.41 27522380  133340   0.20  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:32 AM     0    575386  49149.00      0.00 27887976  304148   0.46  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:33 AM     0    575386  58674.00      0.00 27937140  484736   0.74  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:34 AM     0    575386  46805.00      0.00 27986304  661780   1.01  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:35 AM     0    575386  46555.00      0.00 28035468  846708   1.29  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:36 AM     0    575386  42241.00      0.00 28068244  942304   1.44  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:37 AM     0    575386  12510.00      0.00 28117408  984544   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:38 AM     0    575386  10671.00      0.00 27871588  769136   1.18  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:39 AM     0    575386  20246.00      0.00 27937124  816128   1.25  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:40 AM     0    575386  25919.00      0.00 28002660  862968   1.32  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:41 AM     0    575386  48844.00      0.00 28002660  904828   1.38  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:42 AM     0    575386  46101.00      0.00 28068196  948444   1.45  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:43 AM     0    575386  63061.00      0.00 28133732  990420   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:44 AM     0    575386  44913.00      0.00 28150104  974160   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:45 AM     0    575386  29532.00      0.00 28150104  979788   1.50  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:46 AM     0    575386   4762.00      0.00 28141908  985284   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:47 AM     0    575386    549.00      0.00 28141908  986628   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:48 AM     0    575386  26837.00      0.00 28141908  986868   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:49 AM     0    575386  26466.00      0.00 28141908  997396   1.52  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:50 AM     0    575386  58886.00      0.00 28207444 1034804   1.58  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:51 AM     0    575386  38351.00      0.00 28207444 1048520   1.60  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:52 AM     0    575386  40135.00      0.00 28207444 1052612   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:53 AM     0    575386   5790.00      0.00 28207444 1052612   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:54 AM     0    575386  15963.00      0.00 28207444 1052612   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:55 AM     0    575386  16132.00      0.00 28207444 1052696   1.61  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:56 AM     0    575386   1402.00      0.00 28076372  972864   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:57 AM     0    575386    607.00      0.00 28076372  974424   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:58 AM     0    575386    382.00      0.00 28076372  975388   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:15:59 AM     0    575386  17310.00      0.00 28076372  976752   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:00 AM     0    575386  31913.00      0.00 28076372  977788   1.49  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:01 AM     0    575386  37886.00      2.00 28092852  986096   1.51  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:02 AM     0    575386  56739.00      0.00 28125620 1024008   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:03 AM     0    575386  48372.00      0.00 28158388 1058684   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:04 AM     0    575386  19448.00      0.00 28027316  962516   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:05 AM     0    575386    125.00      0.00 28027316  962744   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:06 AM     0    575386    220.00      2.00 28027316  963152   1.47  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:07 AM     0    575386   3158.00      0.00 28092852  971344   1.48  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:08 AM     0    575386  11252.00      0.00 28158388 1016156   1.55  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:09 AM     0    575386  10495.00      0.00 28158388 1056784   1.62  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:10 AM     0    575386  28548.00      0.00 28142004 1002660   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:11 AM     0    575386    506.00      0.00 28142004 1004252   1.53  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:12 AM     0    575386   2463.00      0.00 28142004 1005308   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:13 AM     0    575386  40996.00      0.00 28142004 1006604   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:14 AM     0    575386  39174.00      0.00 28142004 1007732   1.54  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:15 AM     0    575386  23265.00      0.00 28142004 1019204   1.56  java

# Time        UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:16:16 AM     0    575386  59849.00      0.00 28207540 1053252   1.61  java

