procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 63466820  21024 494552    0    0     7  1504    7    9  1  1 98  0  0
 4  0      0 63290020  22564 586032    0    0 39656  1820 33102 51169  4  3 93  0  0
 1  0      0 63045640  22564 674892    0    0     0     0 39321 72668  4  4 92  0  0
 1  0      0 62780864  23256 782948    0    0  3112 48780 50595 82392  1  4 95  0  0
 4  0      0 62506960  23256 880708    0    0     0     0 41356 80854  1  4 95  0  0
 1  0      0 62225980  23260 983556    0    0     4     0 42014 82742  1  4 95  0  0
 2  0      0 62035220  23272 1074620    0    0     0 180284 40816 77872  2  4 95  0  0
 4  0      0 61586492  23312 1412144    0    0     4 73564 40363 74502  2  5 93  0  0
 3  0      0 62192652  23372 1006768    0    0     4 255676 40320 74646  2  6 92  0  0
 3  0      0 62043476  23372 1113368    0    0     0     0 42795 85312  1  4 95  0  0
 5  0      0 61896576  23372 1216748    0    0     0     0 42415 84287  1  4 95  0  0
 3  0      0 61752188  23492 1313520    0    0    36 73504 50724 78294  2  4 94  0  0
 7  0      0 61571812  23632 1411788    0    0  1796     0 42041 80974  2  4 94  0  0
 5  0      0 61244164  23820 1695720    0    0  1168 253792 41585 76299  2  5 93  0  0
 4  0      0 61488128  23852 1457804    0    0     0 255620 40378 74610  2  6 92  0  0
 3  0      0 61107672  23880 1836560    0    0     0 132160 40341 75074  2  6 92  0  0
 4  0      0 60698896  23916 2242236    0    0     0 165020 41625 78791  3  6 91  0  0
 6  0      0 60350212  23976 2565508    0    0   188 165468 44918 80922  3  7 90  0  0
 7  0      0 61228416  24004 1684348    0    0   156 49056 41741 78481  2  5 93  0  0
 4  0      0 61129636  24008 1783728    0    0     4     0 42361 83768  1  4 95  0  0
 7  0      0 60577644  24132 2305960    0    0     8 327324 48799 74224  2  6 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 61131904  24160 1727424    0    0     0 255624 42569 81309  2  5 93  0  0
