Script started on 2025-11-14 13:55:46+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    37892    40881    0.00%           20        731
   12578    19636    40181   39.05%           20        885
       0     1212    96030    0.00%           20       1458
       0     1595    56317    0.00%           20        978
       0      273    45143    0.00%           20       1150
       0      818   109159    0.00%           20       1822
       0    69977    80576    0.00%           20       1534
       0    92858    93417    0.00%           20       2137
       0    78695   143627    0.00%           20       3031
       0    20466    55882    0.00%           20       1527
       0      647    46898    0.00%           20       1713
       0    50120   112912    0.00%           20       1709
       0    91911    79951    0.00%           20       2191
       0    92651    81738    0.00%           20       2682
       0    91988   118370    0.00%           20       3462
       0    89306   104405    0.00%           21       3444
       0    91088    78933    0.00%           21       3918
       0    61612    63430    0.00%           21       2315
       0    69211   102810    0.00%           21       2799
       0    67770    96670    0.00%           21       2161
       0    72179    74217    0.00%           21       2349
   13531   101417    77339   11.77%           21       2718
       0   127862   130243    0.00%           21       3571
       0    79305    83227    0.00%           21       3373
       0    91798    80750    0.00%           21       3857
       0    89778    77663    0.00%           21       4318
       0    85511   127877    0.00%           21       5147
       0    69074    81398    0.00%           21       2809
       0    69641    72054    0.00%           21       2850
       0    71551    73588    0.00%           21       3031
       0    71698   137099    0.00%           22       3517
   13082    95354    73858   12.06%           22       3231
       0    94901    83675    0.00%           22       3805
       0    83181    91056    0.00%           22       4354
       0    88049   125337    0.00%           22       4435
       0    89943    78796    0.00%           22       4905
       0    90428    79195    0.00%           22       5442
       0    84029    81470    0.00%           22       5933
       0    79421   126647    0.00%           22       5082
       0    68190    69763    0.00%           22       3485
       0    73883    73196    0.00%           22       3934
       0   100298    89224    0.00%           22       4496
       0    62820   108469    0.00%           22       3690
       0    72978    72800    0.00%           22       4133
       0    55996    48584    0.00%           22       3901
   11267        0     1276  100.00%           22       3902
    3759    68967    36466    5.17%           22       3887
   11626    89937    38128   11.45%           22       3906
   38429   123842    43534   23.68%           23       4357
   45618   115023    44904   28.40%           23       4838
   51661    99792    44111   34.11%           23       5195
   92141   101699    50902   47.53%           23       5647
   69367    83480    51555   45.38%           23       5964
   69144    79410    51446   46.54%           23       6262
   73470    74962    55646   49.50%           23       6624
   77397    77778    53657   49.88%           23       6924
   75325    75732    53523   49.87%           23       7214
   75648    76971    53695   49.57%           23       7509
   28786    64336    34449   30.91%           23       5376
   20626    76570    39246   21.22%           23       4456
   20213    81433    41974   19.89%           23       4401
   52959    86551    45709   37.96%           23       4764
   22289    82311    44518   21.31%           23       5106
   19965    80194    42550   19.93%           23       4787
   22420    84466    46715   20.98%           23       5145
       0    92500    81051    0.00%           23       4500
   30791    84287    42712   26.76%           23       4793
   30698    82175    42266   27.20%           23       4873
   32390    86401    45045   27.27%           23       5236
   32443    71505    39531   31.21%           23       4875
   34704    80005    46028   30.25%           23       5214
   66482    71900    42163   48.04%           23       4992
   33707    80828    47025   29.43%           24       5338
   32536    74631    42862   30.36%           24       5128
   33884    77948    46241   30.30%           24       5459
   33777    75252    46021   30.98%           24       5778
   31227    71404    42001   30.43%           24       5295
   34035    76965    46931   30.66%           24       5624
       0   101227    85739    0.00%           24       5766
   42643    80012    43607   34.77%           24       5532
   50912    77567    48198   39.63%           24       5817
   86661    75961    53199   53.29%           24       6158
  100905    68463    52989   59.58%           24       6419
   55137    69458    54460   44.25%           24       6685
   23302    66613    32396   25.92%           24       4979
   27019    84352    45038   24.26%           24       5337
   26757    88029    45778   23.31%           24       5707
   28411    73373    41165   27.91%           24       5628
   28653    82984    46267   25.67%           24       5978
   29567    71339    42987   29.30%           24       5908
   28229    74711    45217   27.42%           24       6171
   16183    63204    56282   20.38%           24       6090
   36781    26441    10175   58.18%           24       5034
   41383    25809    12082   61.59%           24       5157
   43726    24013    12932   64.55%           24       5274
   44107    22510    13717   66.21%           24       5386
   46034    21900    14300   67.76%           24       5497
   43224    19959    14132   68.41%           24       5600
   46758    20471    14764   69.55%           24       5707
   45275    19597    14847   69.79%           24       5810
   44057    18813    14655   70.08%           24       5910
   43143    49451    46118   46.59%           24       6253
   35317    77549    51306   31.29%           24       6010
   55396    72092    48546   43.45%           24       6264
   59462    75029    54190   44.21%           24       6605
   61840    62561    51506   49.71%           24       6832
   57419    56356    46978   50.47%           25       6216
   30367    74352    38385   29.00%           25       5769
   28222    70461    41255   28.60%           25       6022
   29312    71591    43744   29.05%           25       6319
   28538    62792    38432   31.25%           25       5872
   57455    83017    42843   40.90%           25       5974
   28667    74436    41685   27.80%           25       5814
   31319    73258    44081   29.95%           25       6117
       0    78512    69330    0.00%           25       6600
   27794    29285    15569   48.69%           25       5577
   38482    24416    11183   61.18%           25       5692
   40740    22921    12347   64.00%           25       5804
   41132    21252    12934   65.93%           25       5909
   42220    20499    13640   67.32%           25       6014
   43495    20002    14641   68.50%           25       6119
   77311    19710    14886   79.68%           25       6222
   45720    19647    15552   69.94%           25       6327
   44990    18827    15631   70.50%           25       6429
   24026    38931    36354   38.16%           25       6690
   29185    79763    55782   26.79%           25       6469
   68083    75686    51030   47.36%           25       6809
   71090    68211    54455   51.03%           25       7074
   71968    63298    57267   53.20%           25       7386
   15674      205     1150   98.71%            1       2038
    1591      233      660   87.23%            2        338

Script done on 2025-11-14 13:57:59+00:00 [COMMAND_EXIT_CODE="143"]
