Script started on 2025-11-14 13:53:25+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    38672    40098    0.00%           20        755
       0      270    40112    0.00%           20        908
       0    33768    98318    0.00%           20       1502
       0     1640    52663    0.00%           20        995
       0      272    43540    0.00%           20       1162
       0      725    97441    0.00%           20       1759
       0    68559    74054    0.00%           20       1465
       0    94597    80644    0.00%           21       2019
       0    88636    77689    0.00%           21       2246
       0     1092   103669    0.00%           21       2089
       0     1234    41334    0.00%           21       1503
       0      270    42248    0.00%           21       1664
       0    32976   102857    0.00%           21       2286
       0    66244    81659    0.00%           21       2076
       0    90710    90953    0.00%           21       2596
       0    78616   141086    0.00%           21       3486
       0    79078    87442    0.00%           21       3284
       0    83734    85402    0.00%           21       3754
       0    83078   134733    0.00%           21       4667
       0    67158    93006    0.00%           21       2318
       0    66266    79215    0.00%           21       2502
       0    64957   132500    0.00%           21       3354
       0   111858    95033    0.00%           21       2814
       0    86079    89200    0.00%           21       3308
       0    81713   149788    0.00%           21       4333
       0    75716    78535    0.00%           21       3997
       0    87755    86053    0.00%           21       4486
       0    90704   147204    0.00%           22       5514
       0    72981    86587    0.00%           22       5219
       0    91943    92236    0.00%           22       5813
       0    70075   143159    0.00%           22       6751
       0    52507    72372    0.00%           22       3390
    8020    87376    77958    8.41%           22       3558
       0    67063   143686    0.00%           22       4501
       0   302372   184697    0.00%           22       4946
       0   153370   113810    0.00%           22       5872
       0   102430   120105    0.00%           22       6880
       0   100333   112716    0.00%           22       7083
       0   106799    87296    0.00%           22       7849
       0    13787    28880    0.00%           22       5080
    9312      225     1257   97.64%           22       3846
   46695    37100     4352   55.73%           22       3853
    1033    70494    52829    1.44%           22       4130
   61859   103106    44476   37.50%           22       4081
   26870   116749    55428   18.71%           22       4591
   31046   113632    60244   21.46%           22       5102
   33212   102566    60719   24.46%           22       5506
   34405    97305    63052   26.12%           22       5896
   36612   100274    68098   26.75%           22       6377
   37905    94444    67605   28.64%           23       6762
       0   122679   123632    0.00%           23       7603
   35727    82892    65593   30.12%           23       7267
   72768    89333    63689   44.89%           23       7625
   42174    84833    63641   33.21%           23       7967
   41332    84811    64023   32.77%           23       8293
   12198    57089    37879   17.61%           23       4787
       0   102323   109445    0.00%           23       5533
   12636    96063    59866   11.62%           23       5098
   18946    85174    50437   18.20%           23       4942
   19865    86669    52551   18.65%           23       5316
   21550    89126    54288   19.47%           23       5703
   20615    81904    51992   20.11%           23       5667
   37337    91290    63289   29.03%           23       5715
       0   102892   100185    0.00%           23       5444
   24855    84944    49764   22.64%           23       5416
   26562    88704    53986   23.04%           23       5803
   26503    79882    49757   24.91%           23       5496
   25922    88255    53697   22.70%           23       5882
   26246    86868    54024   23.20%           23       6262
    3785    98195    72960    3.71%           23       6413
       0   112586    91795    0.00%           23       5837
   38070    81281    55872   31.90%           23       6142
   71048    91604    60307   43.68%           24       6568
   40711    87529    59707   31.75%           24       6909
   43144    89601    63299   32.50%           24       7335
   39268    72725    59963   35.06%           24       7618
   21725    89123    73364   19.60%           24       8084
       0   108818   101058    0.00%           24       8024
   44391    79401    58745   35.86%           24       8331
   42289    75707    61633   35.84%           24       8663
   22691    90963    53836   19.96%           24       9060
   21756    77130    47336   22.00%           24       8525
   53024    62096    39551   46.06%           24       6693
   20912    74430    49407   21.93%           24       6549
       0   108109   114627    0.00%           24       7150
   27057    82288    48998   24.74%           24       6619
   27420    83398    49970   24.74%           24       6973
   27927    78954    47926   26.13%           24       6919
   28779    75231    47665   27.67%           24       6849
   27731    87035    52266   24.16%           24       6968
   29027    82498    52209   26.03%           24       7324
       0   101305   112194    0.00%           24       7745
   64140   317757   172948   16.80%           24       8060
   39269   328194   182729   10.69%           25       9580
   46986   196674   121892   19.28%           25      10363
   46913   110082    81772   29.88%           25      11016
   46573    82810    71730   36.00%           25      11575
   46511    79223    73446   36.99%           25      12124
    7376    46643    47581   13.65%           25       9681
       0    98663    86680    0.00%           25       7313
   23924   103369    58104   18.79%           25       6912
   23674   109010    61792   17.84%           25       7408
   58379   101412    60620   36.53%           25       7803
   69321    96673    62391   41.76%           25       8225
   26440    95794    65218   21.63%           25       8680
       0   108186   121146    0.00%           25       9487
   26862    91605    64286   22.67%           25       9181
   32263    85096    61136   27.49%           26       9526
   27205    64446    43777   29.68%           26       6864
   22924    88244    50665   20.62%           26       7244
   23354    87456    51739   21.08%           26       7619
   24379    73373    45720   24.94%           26       7336
       0   133784   111874    0.00%           26       8179
   25347    86902    48221   22.58%           26       7425
   26938    86092    48676   23.83%           26       7649
   31630    83098    49506   27.57%           26       7646
   29669    75725    46823   28.15%           26       7587
   31162    83886    51769   27.09%           26       7949
   29778    80841    50858   26.92%           26       8244
       0   111444    82250    0.00%           26       8897
       0    98747    75076    0.00%           26       7662
   41040    95948    55619   29.96%           26       8025
   72533    95294    56216   43.22%           26       8449
   39452    55103    35129   41.72%            1       7551
    1859      328      657   85.00%            2        341

Script done on 2025-11-14 13:55:33+00:00 [COMMAND_EXIT_CODE="143"]
