Script started on 2025-11-14 13:58:13+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   22881    37030    61774   38.19%           20        621
       0      281    62545    0.00%           20        722
       0      270    62899    0.00%           20        822
       0      556    67494    0.00%           20        931
       0     1720   130053    0.00%           20       1285
   18899    14025    67243   57.40%           20        899
       0      277    69477    0.00%           20       1011
       0      273    67670    0.00%           20       1120
       0      682   100507    0.00%           20       1491
       0    34079   109507    0.00%           20       1212
       0    84336   107799    0.00%           20       1692
       0    80024   104241    0.00%           20       2079
       0    48913    87567    0.00%           20       1387
       0     1296   106423    0.00%           20       1825
       0     1650    80640    0.00%           20       1339
   40507       88     1214   99.78%           20       1333
   14074    45430    26217   23.65%           20       1509
   58563   110471    39384   34.65%           20       1701
   94375    98565    41530   48.91%           20       2113
  137555    77317    40280   64.02%           20       2374
  168451    67966    45222   71.25%           20       2682
  180325    53479    40487   77.13%           20       2850
   95127    62373    26213   60.40%           20       1498
   63209    82820    29651   43.29%           21       1675
   66658    73012    28085   47.73%           21       1678
  100812    48476    14786   67.53%           21       1727
   77741    26978     1266   74.24%           21       1833
   86634    22909     1493   79.09%           21       1922
   96325    19214     1467   83.37%           21       1998
  110686    15674     1358   87.60%           21       2059
  126933    11955     1282   91.39%           21       2105
  138507     8519     1256   94.21%           21       2138
  146019     5586     1268   96.32%           21       2160
  142595     2872     1321   98.03%            1       1833
    1616      223      658   87.87%            2        338

Script done on 2025-11-14 13:58:50+00:00 [COMMAND_EXIT_CODE="143"]
