Script started on 2025-11-14 13:50:00+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    41579    42905    0.00%           20        756
       0      290    43259    0.00%           20        923
       0     9640   104052    0.00%           20       1557
       0     2325    52243    0.00%           20       1031
       0     1850    67495    0.00%           20       1351
       0    25809   106516    0.00%           20       1295
       0    77349    88705    0.00%           20       1744
       0   105939   117665    0.00%           20       2489
       0   124655   114585    0.00%           20       2485
       0     4787    50417    0.00%           20       1650
       0      771   100353    0.00%           20       2243
       0    55202    87496    0.00%           20       2032
       0    75388    90218    0.00%           20       2561
       0    71850   141970    0.00%           20       3441
       0    74265    80207    0.00%           20       3170
       0    81671    89336    0.00%           20       3726
       0    82091   145106    0.00%           20       4654
    9021    87651    78471    9.33%           20       3246
       0    58433    83899    0.00%           20       2704
       0    65262   131078    0.00%           20       3447
       0    71651    82778    0.00%           21       2901
       0    82217   102050    0.00%           21       3487
       0    78849   133053    0.00%           21       3655
       0    77217    82804    0.00%           21       4064
       0    84556   106585    0.00%           21       4761
       0    80655   130488    0.00%           21       4818
       0    84818    92854    0.00%           21       5323
       0   111432   123959    0.00%           21       6121
       0    83349   119980    0.00%           21       6156
       0    46781    73763    0.00%           21       3510
       0    63377   142070    0.00%           21       4423
       0   482552   287516    0.00%           21       6413
       0    72666    77393    0.00%           21       6161
       0    87797   142846    0.00%           21       7272
       0    84170    98331    0.00%           21       7282
     968    38469    31700    2.45%           21       4457
   12022        1     1274   99.99%           21       4456
   35367    68229    35912   34.14%           21       4082
   11248    77581    32136   12.66%           21       3828
   43297   115959    33916   27.19%           21       4277
   50846   105565    33448   32.51%           21       4678
   59650    99548    33875   37.47%           21       5122
   68207    83928    34705   44.83%           22       5442
   84422    82521    40154   50.57%           22       5775
   94231    73681    43690   56.12%           22       6085
  102954    63089    45647   62.00%           22       6358
  100602    53384    43588   65.33%           22       6586
  129297    59657    44113   68.43%           22       6840
   96255    56289    43157   63.10%           22       7078
  104232    48563    42855   68.22%           22       7282
   98650    56797    44993   63.46%           22       7526
  102493    51799    44474   66.43%           22       7685
  103852    55089    47467   65.34%           22       7931
   73384    69646    45144   51.31%           22       8254
   22961    50913    25842   31.08%           22       4649
       0    90528    64948    0.00%           22       5067
   13924    92951    52817   13.03%           22       4697
   63619    72199    34905   46.84%           22       4450
   34787    76519    38604   31.25%           22       4811
   37350    70556    36537   34.61%           22       4819
   38950    71680    38769   35.21%           22       5096
   35453    68790    37378   34.01%           22       4906
   37062    70878    39968   34.34%           22       5184
   36265    65623    39067   35.59%           22       5502
   36186    66890    37901   35.11%           22       5112
   37518    68141    39295   35.51%           22       5376
   38680    69312    42559   35.82%           22       5720
   56010    84323    60992   39.91%           22       6131
   66749    78405    53743   45.98%           22       5253
   46990    62661    33335   42.85%           22       5218
   49790    60493    34846   45.15%           22       5245
   50591    57657    34499   46.74%           22       5192
   49519    69075    39660   41.76%           22       5526
   49956    61334    37245   44.89%           23       5756
   51765    57910    38316   47.20%           23       6039
   52388    53939    36247   49.27%           23       5848
   53114    57334    39096   48.09%           23       6130
   83259    54320    37698   60.52%           23       6214
   35829    61727    46336   36.73%           23       5889
   17736    85707    65819   17.15%           23       5729
   64975    66766    37371   49.32%           23       5984
   73238    63350    41176   53.62%           23       6238
   76634    58693    42603   56.63%           23       6542
   72243    53199    41366   57.59%           23       6754
   81567    51398    42017   61.34%           23       6961
   75506    51182    41970   59.60%           23       7166
   80846    47024    45744   63.23%           23       7405
   97122    51303    40608   65.44%           23       7225
   30141    72453    39257   29.38%           23       7570
   20158    56129    35105   26.42%           23       5812
       0    92424    71932    0.00%           23       5346
   37565    75599    34890   33.20%           23       5637
   40543    76779    38414   34.56%           23       5999
   41985    60062    33302   41.14%           23       5475
   43283    71139    37385   37.83%           23       5745
   42613    74578    39817   36.36%           23       5724
   45766    58519    36158   43.89%           23       5937
   76277    61252    37522   55.46%           23       6193
   46725    67776    39733   40.81%           23       6519
   45223    24379    16867   64.97%           23       6246
   46377    21138    15708   68.69%           23       6358
    2876    60742    57048    4.52%           23       6785
   58538    67544    34986   46.43%           23       6051
   65765    67198    39650   49.46%           24       6312
   73004    56267    43991   56.47%           24       6610
   70600    50656    42540   58.22%           24       6807
   76091    50029    45369   60.33%           24       7018
  108231    48491    44892   69.06%           24       7222
   52738    67566    44103   43.84%           24       7558
   32619    73123    39939   30.85%           24       7844
   27425    58349    30351   31.97%           24       6110
    7279    91377    63269    7.38%           24       6559
   22944    83138    49878   21.63%           24       6329
   39206    64647    32825   37.75%           24       6406
   42512    59430    31270   41.70%           24       6070
   47389    64447    36216   42.37%           24       6374
   42070    39011    22361   51.89%            1       5600
   32083     1774      658   94.76%            2        339

Script done on 2025-11-14 13:52:01+00:00 [COMMAND_EXIT_CODE="143"]
