Script started on 2025-11-14 13:47:41+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    42012    43994    0.00%           20        790
       0      328    40785    0.00%           20        945
       0     9355   100787    0.00%           20       1567
       0     2055    51861    0.00%           20       1041
       0      656    54083    0.00%           20       1263
       0     5526   108577    0.00%           20       1292
    9368   101015    88662    8.49%           20       1694
       0    81035   113553    0.00%           21       2420
       0    74574   118651    0.00%           21       2374
       0    23377    59222    0.00%           21       1648
       0      763   102697    0.00%           21       2260
       0    58146    87798    0.00%           21       2051
       0    77757    85278    0.00%           21       2494
       0    79633   141905    0.00%           21       3457
       0    78962    91155    0.00%           21       3271
       0    84619    86845    0.00%           21       3750
       0   117464   153548    0.00%           21       4738
       0    55156    76719    0.00%           21       2413
       0    61365    97883    0.00%           21       2839
       0    59795   125836    0.00%           21       2486
       0    80195    92051    0.00%           21       3032
       0    74942   126026    0.00%           21       3846
       0    71031   105176    0.00%           21       3686
       0    82304    88875    0.00%           21       4228
       0    78172   137073    0.00%           21       5141
       0    74092    97967    0.00%           22       4921
     834   106432    93978    0.78%           22       5475
       0   116870   144045    0.00%           22       6419
       0    76171    88066    0.00%           22       6122
       0    74114   120568    0.00%           22       6873
       0   243442   197528    0.00%           22       6838
       0   342174   215368    0.00%           22       6054
       0    87173   126848    0.00%           22       7022
       0    83134   118957    0.00%           22       7186
       0    50651    51205    0.00%           22       4457
    9080      111     1189   98.79%           22       4450
   57328    57725    25398   49.83%           22       4023
       0    48156    34852    0.00%           22       3705
   27036   106681    40132   20.22%           22       4192
   30557    96485    37806   24.05%           22       4566
   33529    95768    40658   25.93%           22       4943
   39964    88526    43814   31.10%           22       5302
   47265    92868    51789   33.73%           22       5703
   49135    79324    51040   38.25%           22       6047
   49774    75752    55274   39.65%           22       6391
   51090    68157    55932   42.84%           22       6704
   82044    70501    56038   53.78%           22       7028
    1517   107869    97152    1.39%           22       7658
   35565    81134    75264   30.48%           22       7350
   55458    67544    53198   45.09%           23       7652
   55442    61709    53005   47.33%           23       7929
   54370    60659    53170   47.27%           23       8140
   44368    54981    44635   44.66%           23       6703
    4001    66349    45485    5.69%           23       4907
       0    88303   104324    0.00%           23       5721
   15670    73129    44893   17.65%           23       5011
   51924    77041    46128   40.26%           23       5389
   21846    72556    44557   23.14%           23       5161
   19736    74236    46495   21.00%           23       5462
   24654    76855    49047   24.29%           23       5845
    4868    85492    62147    5.39%           23       5996
       0    87075    88437    0.00%           23       6678
   22593    63220    38322   26.33%           23       5265
   24176    68256    42274   26.16%           23       5595
   23466    69048    41978   25.36%           23       5862
   24463    72371    45756   25.26%           23       6220
   57142    68421    44027   45.51%           23       6490
   23693    67951    44030   25.85%           23       6569
       0    82990    89660    0.00%           23       6661
   16788   214572   128978    7.26%           23       6771
   36292   267048   155778   11.96%           23       7944
   36905   183615   110416   16.74%           23       8546
   43198    68790    52230   38.57%           23       8974
   44541    64490    53389   40.85%           23       9391
   45966    61993    56052   42.58%           23       9804
   18709    82785    81821   18.43%           23      10397
   38695    93705    92903   29.23%           23      10335
   41699    42935    39271   49.27%           24      10616
   23402    47800    26833   32.87%           24       5829
   24631    97218    50173   20.21%           24       6234
   25885    91480    51291   22.06%           24       6618
   26884    88805    53306   23.24%           24       7001
       0   106866   102905    0.00%           24       7805
   19291    87246    58496   18.11%           24       7462
   31625    76336    49029   29.29%           24       7782
   31475    74114    49957   29.81%           24       8097
   64097    71186    50628   47.38%           24       8400
   75717    72729    53132   51.01%           24       8749
   15364    83814    69583   15.49%           24       9157
       0    95624    99487    0.00%           24       9866
   36015    65734    51278   35.40%           24       9407
   37411    66160    53613   36.12%           24       9703
   33119    56753    44557   36.85%           24       8569
   22949    63211    40474   26.64%           24       6750
   23155    69880    45288   24.89%           24       7099
       0    90545    82263    0.00%           24       7676
   31413    93967    66879   25.05%           24       6819
   27842    66632    40340   29.47%           24       6818
   28093    74919    45059   27.27%           24       7186
   28281    71943    43699   28.22%           24       7474
   29954    74890    45315   28.57%           24       7776
   28339    73557    44680   27.81%           24       8133
   11248    74919    56744   13.05%           24       7586
       0    92918    88297    0.00%           24       8274
   36944   344484   190593    9.69%           24       9514
   43070   330490   184578   11.53%           25      10921
   75122   345207   193959   17.87%           25      11865
   46063   246876   148757   15.72%           25      12991
   43637   116429    79793   27.26%           25      13602
   43350    92406    68906   31.93%           25      13949
   47778    61815    57375   43.60%           25      14365
       0    99063    98080    0.00%           25      15090
   12895    55835    57450   18.76%           25      15244
   21016    24002    15954   46.68%           25       8721
   23758    99865    50130   19.22%           25       9201
   24038    91433    48086   20.82%           25       9577
   55847    86020    48262   39.37%           25       9933
   25271    83112    50764   23.32%           25      10283
       0   101542    95313    0.00%           25      10993
    7811    92573    68574    7.78%           25       8744
   32372    73225    48179   30.66%           25       9048
   27852    27651    20043   50.18%            1       6804
    1628      209      657   88.62%            2        341

Script done on 2025-11-14 13:49:47+00:00 [COMMAND_EXIT_CODE="143"]
