Script started on 2025-11-14 13:52:14+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   20846    33921    56850   38.06%           20        603
       0      279    56616    0.00%           20        693
       0      269    56551    0.00%           20        784
   19196    12637    62004   60.30%           20        883
       0     6318    98350    0.00%           20       1240
       0     5633    93574    0.00%           20        843
       0      274    68023    0.00%           20        952
       0      273    66491    0.00%           20       1058
       0      255    65234    0.00%           20       1164
       0     5619   111625    0.00%           20       1660
       0    49749    92477    0.00%           20       1318
       0    76913    99270    0.00%           20       1738
       0    72256    96529    0.00%           20       2071
   18639    66297    90834   21.94%           20       1401
       0     1086   116529    0.00%           20       1907
       0    10777    62193    0.00%           20       1332
   11302        1     1277   99.99%           20       1332
    3440    50827    28342    6.34%           20       1279
   69066   103349    32581   40.06%           20       1740
   97374    78913    29427   55.24%           20       2029
  130973    60531    29298   68.39%           20       2244
  142653    48819    30322   74.50%           20       2420
  166476    45267    32043   78.62%           20       2651
  220185    43899    34441   83.38%           20       2825
  174019    41570    30224   80.72%           20       1279
   60457    84525    28523   41.70%           20       1651
   62318    69930    25074   47.12%           20       1630
   67705    69504    28060   49.34%           20       1812
   71052    34271     5919   67.46%           20       1772
   80167    25072     1270   76.18%           20       1870
   85052    20395     1276   80.66%           20       1950
  101293    18062     1273   84.87%           20       2020
  114509    14291     1267   88.90%           20       2076
  152738    10032     1285   93.84%           20       2115
  135111     7388     1218   94.82%           20       2144
  146198     4943     1283   96.73%           20       2035
   17142      227      808   98.69%            2        337

Script done on 2025-11-14 13:52:53+00:00 [COMMAND_EXIT_CODE="143"]
