Script started on 2025-11-14 13:33:47+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   21616    28314    29224   43.29%           20        611
       0        0    29804    0.00%           20        700
       0        0    30024    0.00%           20        790
       0        0    32693    0.00%           20        879
   13706    11670    33514   54.01%           20        984
       0    14144    60901    0.00%           20       1330
       0        0    56580    0.00%           20        900
       0        0    31392    0.00%           20        994
       0        0    32193    0.00%           20       1093
       0        0    29296    0.00%           20       1182
   17276    10215    28810   62.84%           20       1269
       0        0    46140    0.00%           20       1490
       0    34361    78866    0.00%           21       1224
       0    68225    61747    0.00%           21       1598
       0    64114    61362    0.00%           21       1955
       0    68668    65561    0.00%           21       2345
       0    27895    46861    0.00%           21       1518
       0        0    32738    0.00%           21       1618
       0        0    67441    0.00%           21       2008
       0        0    52495    0.00%           21       1542
   28767    10592    30121   73.09%           21       1634
   14201    11122    35358   56.08%           21       1735
       0        0    31435    0.00%           21       1833
       0        0    33095    0.00%           21       1935
       0        0    66512    0.00%           21       2313
       0    29514    69957    0.00%           21       2050
       0    63608    61246    0.00%           21       2338
       0    66926    63428    0.00%           21       2717
       0    65745    62831    0.00%           21       3086
       0    68984    64123    0.00%           21       3471
   47399    83835    67173   36.12%           21       3862
       0    61543    80884    0.00%           21       4358
       0    57027    94201    0.00%           21       3852
       0    51865    52816    0.00%           21       2225
       0    57378    58566    0.00%           21       2478
       0    50872    55025    0.00%           21       2501
       0    52519    55536    0.00%           21       2531
       0    14194    39591    0.00%           21       2540
       0        0    43432    0.00%           21       2732
       0        0    81826    0.00%           22       2762
   81388    81199    63998   50.06%           22       2842
       0    67434    63376    0.00%           22       3221
       0    68499    65132    0.00%           22       3612
       0    70139    67265    0.00%           22       4015
       0    69791    65343    0.00%           22       4347
       0    64722    70117    0.00%           22       4776
       0    59945   111908    0.00%           22       5305
       0    56834    56386    0.00%           22       3019
       0    59574    61503    0.00%           22       3383
       0    48710    57719    0.00%           22       3145
   17216    66539    56318   20.56%           22       3176
       0    57147    59486    0.00%           22       3499
       0    19088    50707    0.00%           22       3354
       0        0    78831    0.00%           22       3477
       0    66756    61836    0.00%           22       3468
       0    68122    63484    0.00%           22       3851
       0    69149    64029    0.00%           22       4238
       0    70234    64241    0.00%           22       4631
   14631    85936    69337   14.55%           22       4971
       0    73852    67147    0.00%           23       5389
       0    95993   122478    0.00%           23       6227
       0    49532    52304    0.00%           23       3816
       0    49713    55949    0.00%           23       3707
       0    56120    59845    0.00%           23       3937
       0    56497    58250    0.00%           23       4020
       0    57207    60535    0.00%           23       4347
       0    50561    54293    0.00%           23       4107
