Script started on 2025-11-14 13:29:46+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   20288    29780    31783   40.52%           20        663
   14893    10265    33393   59.20%           21        762
       0        0    30391    0.00%           21        856
       0        0    30521    0.00%           21        951
       0        0    31425    0.00%           21       1045
       0    16144    75618    0.00%           21       1508
       0        0    44337    0.00%           21        967
       0        0    33365    0.00%           21       1071
       0        0    31112    0.00%           21       1165
       0        0    32322    0.00%           21       1262
   46610    11059    34202   80.82%           21       1361
       0        0    74656    0.00%           21       1817
       0    37261    64627    0.00%           21       1455
       0    59423    60955    0.00%           21       1791
       0    64463    64607    0.00%           21       2162
       0    65215    62993    0.00%           21       2529
       0      912    33066    0.00%           21       1606
       0        0    35850    0.00%           22       1733
       0        0    86121    0.00%           22       2278
   15925    11194    33376   58.72%           22       1629
   16520    11545    31899   58.86%           22       1729
       0     7738    31373    0.00%           22       1823
       0        0    32962    0.00%           22       1921
       0        0    29818    0.00%           22       2013
       0        0    89766    0.00%           22       2582
       0    49331    54620    0.00%           22       2176
       0    59910    60205    0.00%           22       2511
   14906    81567    66909   15.45%           22       2890
       0    67737    61990    0.00%           22       3258
       0    72868    65893    0.00%           22       3610
   16725    88195    66796   15.94%           22       4025
       0    68489   113652    0.00%           22       4805
       0    52749    64537    0.00%           22       2271
       0    53029    56520    0.00%           22       2432
       0    58288    60215    0.00%           22       2574
       0    53583    57340    0.00%           22       2615
       0    35864    50193    0.00%           22       2558
   10986    15078    38580   42.15%           22       2687
       0        0    86904    0.00%           22       3241
       0    57715    58207    0.00%           22       2877
   17340    78781    63333   18.04%           22       3238
       0    62035    61431    0.00%           23       3523
       0    66746    63582    0.00%           23       3899
       0    68969    64777    0.00%           23       4291
       0    70540    66170    0.00%           23       4701
       0    66601   121317    0.00%           23       5521
   16856    68753    58030   19.69%           23       2987
       0    57786    59419    0.00%           23       3313
       0    50091    55650    0.00%           23       3206
       0    54730    58828    0.00%           23       3259
   16321    74046    60150   18.06%           23       3397
       0    55768    58845    0.00%           23       3582
       0    34717   108506    0.00%           23       4254
       0    52844    53802    0.00%           23       3467
       0    66294    62466    0.00%           23       3836
   15422    77195    65784   16.65%           23       4196
       0    65612    61596    0.00%           23       4494
       0    70504    65399    0.00%           23       4894
       0    68635    63626    0.00%           23       5275
       0    55113    95083    0.00%           23       5883
       0    84664    75741    0.00%           24       3663
       0    52204    56792    0.00%           24       3863
       0    54937    58653    0.00%           24       3944
       0    55838    58030    0.00%           24       4255
   15926    63675    57233   20.01%           24       4013
       0    51206    55425    0.00%           24       3910
       0    57572    89179    0.00%           24       4533
       0    44746    82688    0.00%           24       3889
       0    54523    58200    0.00%           24       4193
