Script started on 2025-11-14 13:37:14+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   33065    15638    39881   67.89%           20        575
       0        0    34360    0.00%           20        627
   22956     4639    32845   83.19%           20        674
       0        0    34279    0.00%           20        723
       0        0    36207    0.00%           20        778
       0        0    36649    0.00%           20        833
       0        0    35227    0.00%           20        884
   19910     5474    39761   78.44%           20        942
       0        0    34355    0.00%           20        995
       0        0    34000    0.00%           20       1046
       0        0    36600    0.00%           20       1097
       0    10759    52764    0.00%           20       1310
       0    34269    70017    0.00%           21       1234
       0        0    34677    0.00%           21        990
       0        0    36725    0.00%           21       1042
   18899     5733    40856   76.73%           21       1104
       0        0    37522    0.00%           21       1160
       0        0    36573    0.00%           21       1215
       0        0    37698    0.00%           21       1270
       0        0    36629    0.00%           21       1326
       0        0    39308    0.00%           21       1383
   18475     5543    40572   76.92%           21       1442
   21848     5436    35327   80.08%           21       1496
       0        0    42093    0.00%           21       1618
       0        0    81791    0.00%           21       2074
       0    56706    60854    0.00%           21       1678
       0    63805    64620    0.00%           21       2002
       0    61999    63008    0.00%           21       2248
       0    45350    57052    0.00%           21       1508
   50088     5517    40562   90.08%           21       1566
       0        0    38532    0.00%           21       1626
       0        0    40780    0.00%           21       1687
   20523     5512    37608   78.83%           21       1741
       0        0    37701    0.00%           21       1797
       0        0    39185    0.00%           21       1858
       0        0    38337    0.00%           21       1912
       0        0    62598    0.00%           21       2181
       0        0    66382    0.00%           21       1763
       0        0    37597    0.00%           21       1818
       0        0    38018    0.00%           21       1874
     389     4522    28836    7.92%           21       1910
   11866        0     1286  100.00%           21       1912
   34265    46163    27368   42.60%           21       1835
   49147   107527    46001   31.37%           21       2277
   77418    88116    42231   46.77%           21       2632
  113628    72209    41694   61.14%           21       2926
  142750    59345    41359   70.64%           21       3174
  171899    51442    40579   76.97%           21       3389
  183305    43465    40354   80.83%           21       3040
   74251    71678    29414   50.88%           22       2178
   53812    74483    35376   41.94%           22       2390
   53687    64411    33012   45.46%           22       2356
   91070    40942    18429   68.99%           22       2371
   77925    23885     7799   76.54%           22       2473
   73154    22195     7702   76.72%           22       2566
   83439    18603     7009   81.77%           22       2645
   92749    14971     6405   86.10%           22       2709
  109070    13404     6136   89.06%           22       2766
  123481     9484     5089   92.87%           22       2807
  130850     6687     4344   95.14%           22       2836
  144414     4404     3665   97.04%           22       2855
   72168     1277     1821   98.26%            2        386

Script done on 2025-11-14 13:38:19+00:00 [COMMAND_EXIT_CODE="143"]
