Script started on 2025-11-14 13:42:38+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    27435    30923    0.00%           19        631
   14210    10791    35500   56.84%           20        736
       0        0    31046    0.00%           20        833
       0        0    32463    0.00%           20        934
       0        0    30573    0.00%           20       1026
       0    16699    76583    0.00%           20       1497
       0        0    42017    0.00%           20        943
       0        0    31616    0.00%           20       1041
    5313    11065    32457   32.44%           20       1137
       0     6823    30208    0.00%           20       1229
   13889    11724    35870   54.23%           20       1335
       0        0    76196    0.00%           20       1801
       0    40732    63007    0.00%           20       1444
       0    65265    61886    0.00%           20       1803
       0    68180    64727    0.00%           20       2192
       0    60992    59882    0.00%           20       2402
       0        0    31799    0.00%           20       1580
       0        0    30408    0.00%           20       1669
       0    18858    87806    0.00%           20       2226
   23478    13614    36410   63.30%           20       1599
       0        0    32274    0.00%           20       1698
       0        0    34788    0.00%           20       1803
       0        0    33949    0.00%           20       1904
       0        0    41212    0.00%           20       2068
       0        0    83761    0.00%           21       2586
       0    61191    60141    0.00%           21       2244
       0    66511    63450    0.00%           21       2551
   16014    79989    64992   16.68%           21       2920
    9006    83119    63372    9.78%           21       3302
   37671    88095    65999   29.95%           21       3716
       0    63646    60403    0.00%           21       3999
       0    71356   120595    0.00%           21       4835
       0    56223    61675    0.00%           21       2348
       0    53701    56141    0.00%           21       2385
       0    54881    59045    0.00%           21       2439
       0    54773    58856    0.00%           21       2490
   14271    36924    46830   27.88%           21       2546
       0        0    33516    0.00%           21       2670
       0    29348    85432    0.00%           21       3213
       0    61401    59929    0.00%           21       2871
       0    66234    63933    0.00%           21       3179
       0    63042    60601    0.00%           21       3529
       0    73018    65986    0.00%           21       3939
       0    71432    66095    0.00%           21       4346
       0    69853    64104    0.00%           21       4669
       0    68635   111497    0.00%           22       5419
    5587    78190    68366    6.67%           22       2984
       0    60252    60550    0.00%           22       3366
   17902    65924    55546   21.36%           22       3132
       0    53921    58089    0.00%           22       3177
       0    58286    62553    0.00%           22       3514
       0    12209    38559    0.00%           22       3253
       0        0    78631    0.00%           22       3733
       0    42710    62059    0.00%           22       3371
       0    65799    61608    0.00%           22       3735
   47562    79916    64205   37.31%           22       4103
       0    69498    64844    0.00%           22       4495
       0    66789    61880    0.00%           22       4801
   17346    80138    62395   17.79%           22       5167
       0    66623    91237    0.00%           22       5763
       0    56550    88606    0.00%           22       4402
       0    49432    51972    0.00%           22       3526
       0    57892    58752    0.00%           22       3913
       0    48141    53436    0.00%           22       3790
       0    55379    57018    0.00%           22       4095
       0    48202    56851    0.00%           23       3855
       0    58596    71336    0.00%           23       4339
       0    55896   107556    0.00%           23       4547
   18221    61785    53720   22.77%           23       4042
       0    49335    56296    0.00%           23       3937
       0    56635    60774    0.00%           23       4327
       0    57464    60098    0.00%           23       4653
       0    60297    60524    0.00%           23       4476
       0    64969    76319    0.00%           23       4886
       0    92873   109481    0.00%           23       4857
       0    67591    64197    0.00%           23       5238
       0    63313    60967    0.00%           23       5591
       0    69642    64052    0.00%           23       5973
   21891    79264    62282   21.64%           23       6287
       0    44254    48199    0.00%           23       4664
       0    55089    55057    0.00%           23       4689
       0    64458   112525    0.00%           23       5499
       0    50121    60341    0.00%           23       4563
   15787    69069    60015   18.60%           23       4867
       0    50156    54944    0.00%           23       4756
       0    56682    58471    0.00%           23       5098
       0    47542    42433    0.00%           24       4763
   11752        1     1275   99.99%           24       4764
   34930    67918    37121   33.96%           24       4998
   48323    64081    31712   42.99%           24       4685
   34114   103625    44168   24.77%           24       5103
   39108    92843    43917   29.64%           24       5477
   41072    84468    46400   32.72%           24       5827
   52212    83002    50438   38.61%           24       6184
   57749    74873    51844   43.54%           24       6512
   60464    70097    51313   46.31%           24       6757
   62201    63973    57501   49.30%           24       7067
   91837    58338    54068   61.15%           24       7293
   96930    63538    52163   60.40%           24       7575
   30187    54782    36456   35.53%           24       5183
   15541    70342    43283   18.10%           24       5200
   15270    74404    46271   17.03%           24       5565
   15153    69221    43962   17.96%           24       5452
   15387    72605    46042   17.49%           24       5744
   15249    71240    46128   17.63%           24       6030
   15599    72275    47389   17.75%           24       6390
   14661    69062    44089   17.51%           24       6276
   45187    60574    44717   42.73%           24       5735
   21142    93641    72172   18.42%           24       6278
    4586    84775    59066    5.13%           24       6010
   23712    70144    44656   25.26%           24       6289
   27524    67127    43739   29.08%           24       6232
   24689    67703    45318   26.72%           25       6504
   24419    62649    40858   28.05%           25       5966
   25483    67446    47186   27.42%           25       6306
   25142    70968    46874   26.16%           25       6594
   26023    51366    44040   33.63%           25       6024
   56813    69286    51079   45.05%           25       6378
   57624    63999    46019   47.38%           25       6634
   25896    57069    43047   31.21%           25       6339
   27301    63262    47595   30.15%           25       6661
   24685    60578    46681   28.95%           25       6907
   24970    47732    39010   34.35%           25       6688
   26249    16287    18614   61.71%           25       6776
       0    42267    61394    0.00%           25       6196
   41779    69850    46188   37.43%           25       6454
   72074    65158    53805   52.52%           25       6738
   48109    57427    49963   45.59%           25       6987
   76916    53595    50004   58.93%           25       7256
   44522    53123    50866   45.60%           25       7491
   41609    53144    44892   43.91%           25       7116
   16892    59038    37837   22.25%           25       6323
   18542    67090    44936   21.65%           25       6590
   16588    59120    40451   21.91%           25       6369
   17205    63298    42564   21.37%           25       6615
   17759    58633    42165   23.25%           25       6714
   48476    62930    46826   43.51%           25       6645
   19209    65568    43851   22.66%           25       6915
   50774    64152    44105   44.18%           26       7168
   13445    36832    29833   26.74%           26       6590
       0    35958    58001    0.00%           26       6326
   26803    19223    17303   58.23%           26       6429
   26034    18393    16883   58.60%           26       6529
   27608    17543    16985   61.15%           26       6623
   28143    17595    17237   61.53%           26       6718
   28430    16463    17306   63.33%           26       6807
   30319    16384    18025   64.92%           26       6898
   59043    15571    20426   79.13%           26       6990
   61363    15406    17582   79.93%           26       7076
   71879    14875    17418   82.85%           26       7161
   30704    14680    18099   67.65%           26       7245
   29773    14046    18128   67.95%           26       7328
   29837    14998    18977   66.55%           26       7415
   14304    27659    32097   34.09%           26       7608
    3901    66510    58423    5.54%           26       7394
   39436    66749    47114   37.14%           26       7670
   45034    61841    49568   42.14%           26       7932
   75683    54421    54435   58.17%           26       8178
   89384    50361    50749   63.96%           26       8377
   53031    51678    51166   50.65%           26       8607
   27253    50916    40647   34.86%           26       7201
   20327    64766    44012   23.89%           26       7456
   20206    57721    41240   25.93%           26       7181
   23526    64547    45091   26.71%           26       7501
   24805    62361    44922   28.46%           26       7745
   18108    58548    45977   23.62%           26       8011
   21978    59645    46258   26.93%           26       8249
   50209    57804    47987   46.48%           26       8481
   50385    53503    41987   48.50%           26       8065
       0    73646    85678    0.00%           26       8669
   24161    41458    30833   36.82%           26       7508
   27351    20554    16984   57.09%           26       7613
   27886    20278    17936   57.90%           26       7717
   28619    17933    17370   61.48%           26       7813
   28005    17637    18155   61.36%           26       7907
   28576    15950    17634   64.18%           26       7996
   30078    16174    18384   65.03%           26       8086
   59544    15803    21204   79.03%           27       8180
   63012    15769    18675   79.98%           27       8271
   30535    15771    19290   65.94%           27       8364
   30986    14843    19134   67.61%           27       8451
   30578    14432    19225   67.94%           27       8536
   10380    32456    36491   24.23%           27       8761
    7565    62774    54560   10.76%           27       8006
   40605    64955    45594   38.47%           27       8269
   43589    55572    46622   43.96%           27       8498
   47253    51828    48789   47.69%           27       8722
   77280    46404    51231   62.48%           27       8924
   73739    40238    41911   64.70%           27       8517
   15632        0      932  100.00%            1       3530
    1632      364      667   81.76%            3        334

Script done on 2025-11-14 13:45:52+00:00 [COMMAND_EXIT_CODE="143"]
