Script started on 2025-11-14 13:38:38+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   16344    32588    34509   33.40%           20        678
       0        0    30048    0.00%           20        771
       0        0    30219    0.00%           20        862
       0        0    30948    0.00%           20        955
       0        0    30418    0.00%           20       1048
       0    16634    78378    0.00%           20       1535
       0        0    39224    0.00%           20        962
       0        0    31808    0.00%           20       1058
   47540    10580    34147   81.80%           20       1154
       0        0    31295    0.00%           20       1253
       0        0    32203    0.00%           20       1353
       0        0    76269    0.00%           20       1809
       0    40032    64496    0.00%           20       1459
       0    66079    63511    0.00%           21       1830
       0    70105    66123    0.00%           21       2225
       0    58810    59760    0.00%           21       1970
       0        0    31399    0.00%           21       1601
   12861    13251    36370   49.25%           21       1717
       0    29529    88419    0.00%           21       2275
       0        0    29743    0.00%           21       1624
       0        0    34471    0.00%           21       1727
       0        0    34913    0.00%           21       1835
       0        0    34865    0.00%           21       1942
       0        0    45682    0.00%           21       2147
       0      295    77955    0.00%           21       1899
   15132    82644    67347   15.48%           21       2272
       0    60810    60026    0.00%           21       2609
       0    64314    62168    0.00%           21       2973
   17483    81815    63192   17.61%           21       3348
       0    83462    66408    0.00%           21       3756
       0    69445    77696    0.00%           21       4188
       0    69039   111786    0.00%           21       4454
       0    37541    47326    0.00%           21       2308
       0    52135    58373    0.00%           21       2349
   45321    73939    64570   38.00%           21       2621
       0    58211    58920    0.00%           23       2675
       0    34254    48663    0.00%           23       2608
       0        0    59318    0.00%           23       2932
       0    52675    72420    0.00%           23       2666
       0    65043    63547    0.00%           23       3037
       0    62179    60967    0.00%           23       3383
       0    62746    62458    0.00%           23       3676
       0    62711    59990    0.00%           23       4020
       0    63205    64373    0.00%           23       4382
       0    65817    80432    0.00%           23       4895
       0    58895   100512    0.00%           23       4792
       0    36486    48271    0.00%           23       2957
       0    53265    55705    0.00%           23       3248
   17490    66577    55396   20.80%           23       3213
       0    45812    53358    0.00%           23       3207
       0    52337    56382    0.00%           23       3369
       0    57455    66141    0.00%           23       3816
       0        0    81473    0.00%           23       4012
   16635    75794    62441   18.00%           24       3473
       0    67871    64173    0.00%           24       3855
       0    68352    63894    0.00%           24       4240
       0    66226    62313    0.00%           24       4608
       0    62951    62462    0.00%           24       4963
   17827    82837    64160   17.71%           24       5279
       0    68126   114509    0.00%           24       6067
       0    56654    66473    0.00%           24       3777
       0    55346    58590    0.00%           24       3766
   14756    71799    62146   17.05%           24       4088
       0    51957    56470    0.00%           24       3992
       0    56980    59647    0.00%           24       4317
       0    50403    55671    0.00%           24       4083
       0    56429   112976    0.00%           24       4827
       0    53171    63521    0.00%           24       3980
   17451    71851    58429   19.54%           24       4299
       0    52584    57048    0.00%           24       4208
       0    57854    58661    0.00%           24       4530
   15417    73003    62388   17.44%           24       4344
       0    72220    65196    0.00%           24       4750
       0    65204   102263    0.00%           25       5435
       0    68673    84630    0.00%           25       5238
       0    70164    64105    0.00%           25       5545
       0    75588    66439    0.00%           25       5953
       0    70908    63933    0.00%           25       6285
   23585    54721    48524   30.12%           25       4668
       0    54611    56259    0.00%           25       4705
       0    52990   100700    0.00%           25       5323
       0    78663    80429    0.00%           25       4579
       0    56333    59148    0.00%           25       4896
       0    50165    55662    0.00%           25       4786
       0    55772    59008    0.00%           25       5102
       0    46938    51155    0.00%           25       4816
    9120       26     1281   99.72%           25       4809
   24525    57533    26202   29.89%           25       4935
   20587    52366    33724   28.22%           25       4590
   24464    95148    49483   20.45%           25       4986
   14303    90876    51816   13.60%           25       5371
   21203    83745    51562   20.20%           25       5727
   19991    82790    54996   19.45%           25       6090
   49495    80275    61733   38.14%           25       6456
   21379    77562    58494   21.61%           25       6810
   18653    71703    56237   20.64%           25       7067
   28474    69213    60776   29.15%           25       7418
   21554    65607    58140   24.73%           25       7723
   40279    48277    40793   45.48%           25       5245
       0    67597    50301    0.00%           25       5362
       0    73169    88062    0.00%           26       5933
       0    70612    76488    0.00%           26       5689
    4135    74263    50743    5.27%           26       5998
   34386    63297    48415   35.20%           26       5478
   10698    75530    52026   12.41%           26       5864
    3851    73435    49890    4.98%           26       6168
    5458    65345    47735    7.71%           26       5660
    4465    71337    51959    5.89%           26       5962
   35958    72038    51826   33.30%           26       6265
    4326    72750    52409    5.61%           26       6637
    3919    61644    45981    5.98%           26       6110
       0    66447    98265    0.00%           26       6761
       0    81974    63900    0.00%           26       6111
   38185    68897    50751   35.66%           26       6006
    8662    73562    50788   10.53%           26       6316
    7881    71744    50186    9.90%           26       6615
    9696    68478    49949   12.40%           26       6900
    8094    69072    49746   10.49%           26       6865
   40426    69332    51125   36.83%           26       7155
    7742    56951    43610   11.97%           26       6471
    8332    67085    50640   11.05%           26       6818
   13831    63486    52685   17.89%           26       6707
   22255    87836    77157   20.22%           27       7164
       0    77816    97115    0.00%           27       6978
   16001    66536    55950   19.39%           27       7277
   17541    68163    57913   20.47%           27       7632
   16011    61193    55322   20.74%           27       7842
   16806    68975    56865   19.59%           27       8152
   39794    55497    42450   41.76%           27       6475
    6333    69997    49604    8.30%           27       6763
    7914    65111    46544   10.84%           27       6513
   36471    71242    51647   33.86%           27       6807
    7333    75381    52139    8.87%           27       7194
    2251    74365    53147    2.94%           27       7517
       0    66543   104350    0.00%           27       7839
   13937    69878    48746   16.63%           27       7000
   11037    70176    47725   13.59%           27       7284
   10942    72772    51136   13.07%           27       7657
   42411    61309    44870   40.89%           27       7009
    9988    66342    48423   13.09%           27       7280
    9392    68756    48990   12.02%           27       7567
   40374    70184    54157   36.52%           27       7931
   10464    68489    50224   13.25%           27       8219
    9221    64477    46376   12.51%           27       7964
   10774    63995    48211   14.41%           28       8226
       0    73923    57014    0.00%           28       8228
       0    75885   106653    0.00%           28       8700
   15665    64808    52551   19.47%           28       7604
   47895    63166    53175   43.12%           28       7881
   61509    62861    52863   49.46%           28       8106
   47184    65714    59199   41.79%           28       8405
   17064    66476    55733   20.43%           28       8704
   18310    61389    55164   22.97%           28       8970
   12163    55403    41774   18.00%           28       7357
    9045    69900    48757   11.46%           28       7644
    6652    59956    44270    9.99%           28       7370
    6118    69036    47569    8.14%           28       7648
       0    71669    67472    0.00%           28       8131
       0    99573    87673    0.00%           28       7988
   39407    67514    49863   36.86%           28       7760
   11202    70866    47904   13.65%           28       8081
    9965    62925    44891   13.67%           28       7607
   11084    67988    47276   14.02%           28       7881
   10589    68222    47926   13.44%           28       8160
    9204    71402    49940   11.42%           28       8470
   10824    72785    51535   12.95%           28       8843
   11983    69273    50854   14.75%           28       9131
   11190    53046    41286   17.42%           28       7986
   41806    64041    52291   39.50%           29       8256
   18165    88433    70591   17.04%           29       8763
       0    77210    87901    0.00%           29       8633
   14437    69024    47530   17.30%           29       8262
   16503    64182    47296   20.45%           29       8521
   14706    66346    49076   18.14%           29       8820
   18440    72877    54809   20.19%           29       9140
   17397    66940    54865   20.63%           29       9435
   18489    65235    55945   22.08%           29       9729
   18036    67300    54586   21.14%           29       9981
   81347    64414    57988   55.81%           29      10272
   18235    59475    56817   23.47%           29      10547
   19558    60947    55985   24.29%           29      10822
       0    73841   107576    0.00%           29      11489
    7525    71120    62909    9.57%           29      10342
    7559    45918    36357   14.14%           29       8053
    8538    74146    51136   10.33%           29       8430
    6094    66144    46081    8.44%           29       8187
    7073    71616    48729    8.99%           29       8483
   38457    64339    49936   37.41%           29       8402
   41778    61298    45374   40.53%           29       8271
    8600    71544    52480   10.73%           29       8638
    8361    69050    50045   10.80%           30       8923
    8133    63599    46734   11.34%           30       8676
       0    70354    75019    0.00%           30       9144
       0    71552    81824    0.00%           30       8489
   10878    67420    47493   13.89%           30       8763
   10595    62953    45258   14.41%           30       8457
   37929    70153    51538   35.09%           30       8813
   11992    70663    47427   14.51%           30       9099
   40851    65032    44550   38.58%           30       8802
   15388    64402    47984   19.29%           30       9062
   13620    66709    48344   16.96%           30       9334
    8439    64325    45564   11.60%           30       8998
   12202    72114    51191   14.47%           30       9365
   10854    67111    49539   13.92%           30       9640
       0    66678    86182    0.00%           30      10178
       0    76452    67715    0.00%           30       9233
   43759    60586    46981   41.94%           30       9470
   16793    66837    49188   20.08%           30       9761
   49082    72596    54365   40.34%           30      10080
   61243    71513    53928   46.13%           30      10393
   18212    67278    55104   21.30%           30      10693
   16515    70855    55829   18.90%           30      11014
   18033    61109    57327   22.79%           30      11297
   17389    59494    56131   22.62%           30      11570
   24286    54826    54231   30.70%           31      11784
   49184    55917    56191   46.80%           31      12035
       0    74160   104241    0.00%           31      12697
       0    49955    43346    0.00%           31       8910
   40425    71067    48750   36.26%           31       9265
    9625    63886    47036   13.09%           31       9499
    8492    67118    49056   11.23%           31       9837
    8683    64241    47244   11.91%           31      10095
   17032     4595     5493   78.75%            1       5992
    1615      168      662   90.58%            2        376

Script done on 2025-11-14 13:42:25+00:00 [COMMAND_EXIT_CODE="143"]
