Script started on 2025-11-14 13:46:05+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
    5629    16821    34117   25.07%           20        518
       0        0    35181    0.00%           20        569
   21922     5116    34849   81.08%           20        619
   33913     2863    36548   92.22%           20        671
       0        0    42224    0.00%           20        727
   17965     5338    43281   77.09%           20        795
       0        0    35789    0.00%           20        850
       0        0    36985    0.00%           20        903
       0        0    35279    0.00%           20        954
       0        0    36467    0.00%           20       1010
       0        0    37016    0.00%           20       1064
       0    14114    70422    0.00%           20       1423
   31899    27400    56583   53.79%           20        909
       0        0    36977    0.00%           20        964
       0        0    38173    0.00%           20       1022
       0        0    38505    0.00%           20       1076
       0        0    38522    0.00%           20       1134
       0        0    37563    0.00%           20       1190
       0        0    36874    0.00%           20       1245
   18725     5665    41039   76.77%           21       1304
       0        0    37526    0.00%           21       1362
       0        0    38305    0.00%           21       1417
   21124     5338    36501   79.83%           21       1471
       0        0    70563    0.00%           21       1828
       0    26628    65737    0.00%           21       1483
       0    62239    61852    0.00%           21       1791
       0    60748    64145    0.00%           21       2098
   20257    70322    64792   22.36%           21       2403
       0    15180    43757    0.00%           21       1486
       0        0    38888    0.00%           21       1543
       0        0    38939    0.00%           21       1600
       0        0    38715    0.00%           21       1655
   20956     5672    35962   78.70%           21       1711
       0        0    38523    0.00%           21       1765
   19356     5630    40033   77.47%           21       1824
       0        0    35682    0.00%           21       1878
       0        0    77434    0.00%           21       2288
       0        0    49663    0.00%           21       1725
       0        0    40826    0.00%           21       1784
       0        0    39746    0.00%           21       1845
    4659     2372    14852   66.26%           21       1860
   29873    18522     4830   61.73%           21       1848
   33810    74591    43250   31.19%           21       2005
   91626    95431    44897   48.98%           21       2353
   94319    82452    41829   53.36%           21       2686
  132305    68218    42372   65.98%           21       2969
  159506    54785    40537   74.43%           21       3196
  179397    49704    40682   78.30%           21       3407
  130094    67926    39375   65.70%           21       3695
   47385    59858    26632   44.18%           21       2298
   54202    68650    33361   44.12%           21       2285
   55820    64081    34094   46.56%           22       2449
   91712    25127     7691   78.49%           22       2361
   70273    24208     8022   74.38%           22       2463
   81276    20938     7381   79.52%           22       2551
   85954    16845     6652   83.61%           22       2623
  126435    13845     9828   90.13%           22       2686
  117860    11769     5033   90.92%           22       2736
  128228     8098     4508   94.06%           22       2771
  145405     5813     3839   96.16%           22       2796
  135223     2987     2995   97.84%            1       2501
    1592      183      663   89.69%            2        338

Script done on 2025-11-14 13:47:09+00:00 [COMMAND_EXIT_CODE="143"]
