Script started on 2025-11-15 09:46:36+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     141        8      115   94.63%           19        466
       7        0      116  100.00%           19        466
       5        0      115  100.00%           19        466
      20        0      135  100.00%           19        466
       4        1      117   80.00%           19        466
       5        0      116  100.00%           19        466
       5        0      115  100.00%           19        466
   32056        0      115  100.00%           19        466
       7        0      126  100.00%           19        466
       5        0      115  100.00%           19        466
       5        0      116  100.00%           19        466
       5        0      115  100.00%           19        466
       5        0      115  100.00%           19        466
      13        0      123  100.00%           19        466
       3        0      115  100.00%           19        466
    7405        0      231  100.00%           19        466
       3        0      115  100.00%           19        466
       7        0      116  100.00%           19        466
       1        0      136  100.00%           19        466
       7        0      115  100.00%           19        466
       4        0      116  100.00%           19        466
       7        0      115  100.00%           19        466
      15        2      116   88.24%           19        466
      16        0      124  100.00%           19        466
       3        0      118  100.00%           19        466
       7        0      115  100.00%           19        466
       4        0      115  100.00%           19        466
       7        0      116  100.00%           19        466
     476        0      124  100.00%           19        466
       7        0      117  100.00%           19        466
       4        0      115  100.00%           19        466
       7        0      116  100.00%           19        466
       3        0      115  100.00%           19        466
      11        0      122  100.00%           19        466
       2        0      120  100.00%           19        466

Script done on 2025-11-15 09:47:14+00:00 [COMMAND_EXIT_CODE="143"]
