Script started on 2025-11-15 09:45:17+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     910        8      116   99.13%           18        450
       5        0      115  100.00%           18        450
      55        0      135  100.00%           18        450
       4        0      119  100.00%           18        450
       5        0      116  100.00%           18        450
       3        0      115  100.00%           18        450
   32866        0      115  100.00%           18        450
       0        0      131    0.00%           18        450
       5        0      115  100.00%           18        450
       3        0      116  100.00%           18        450
       7        0      115  100.00%           18        450
   64416        0      115  100.00%           18        450
   32004        2      116   99.99%           18        450
   32391        0      120  100.00%           18        450
       7        0      116  100.00%           18        450
       5        0      115  100.00%           18        450
   32159        0      116  100.00%           18        450
       5        0      118  100.00%           18        450
      10        0      119  100.00%           18        450
       5        0      116  100.00%           18        450
       7        0      115  100.00%           18        450
       3        0      116  100.00%           18        450
       7        0      118  100.00%           18        450
       9        0      122  100.00%           18        450
       7        0      115  100.00%           18        450
       3        0      115  100.00%           18        450
   32054        0      116  100.00%           18        450
       3        0      118  100.00%           18        450
      28        0      120  100.00%           18        450
       3        0      115  100.00%           18        450
       7        0      116  100.00%           18        450
       3        0      115  100.00%           18        450
       3        0      121  100.00%           18        450
      10        0      124  100.00%           18        450
       5        0      115  100.00%           18        450
    5506        0      116  100.00%           18        450
   27159        0      115  100.00%           18        450
       6       88      217    6.38%           18        451

Script done on 2025-11-15 09:45:58+00:00 [COMMAND_EXIT_CODE="143"]
