Script started on 2025-11-15 10:21:16+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     782        8      116   98.99%           17        451
   33184        0      115  100.00%           17        451
      70        0      119  100.00%           17        451
       0        0      140    0.00%           17        451
       3        0      116  100.00%           17        451
       5        0      115  100.00%           17        451
       3        0      115  100.00%           17        451
      13        0      119  100.00%           17        451
       1        0      120  100.00%           17        451
      37       45      116   45.12%           18        451
       3        0      115  100.00%           18        451
   32101        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
      17        0      123  100.00%           18        451
       3        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
       5        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
       9        0      126  100.00%           18        451
       5        0      116  100.00%           18        451
       3        0      115  100.00%           18        451
   32332        0      116  100.00%           18        451
       3        0      115  100.00%           18        451
       9        0      125  100.00%           18        451
       3        0      115  100.00%           18        451
       5        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
      11        0      128  100.00%           18        451
       8        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
   32872        0      115  100.00%           18        451
       4        0      115  100.00%           18        451
       9        0      125  100.00%           18        451
       3        0      115  100.00%           18        451

Script done on 2025-11-15 10:21:54+00:00 [COMMAND_EXIT_CODE="143"]
