Script started on 2025-11-15 10:22:14+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     778        8      116   98.98%           18        451
       5        0      115  100.00%           18        451
   32302        0      138  100.00%           18        451
       4        0      119  100.00%           18        451
       4        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
       3        0      115  100.00%           18        451
      13        1      119   92.86%           18        451
       3        0      117  100.00%           18        451
       5        0      116  100.00%           18        451
       3        0      115  100.00%           18        451
       5        0      115  100.00%           18        451
   31851        0      119  100.00%           18        451
      11        0      120  100.00%           18        451
       3        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
       5        0      118  100.00%           18        451
       9        0      120  100.00%           18        451
       5        0      116  100.00%           18        451
       4        0      115  100.00%           18        451
       5        0      116  100.00%           18        451
   23069        0      118  100.00%           18        451
    9513        0      123  100.00%           18        451
       4        0      115  100.00%           18        451
       5        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
       1        0      121  100.00%           18        451
      23        0      120  100.00%           18        451
       5        0      115  100.00%           18        451
       3        0      116  100.00%           18        451
       5        0      115  100.00%           18        451
   32311        0      119  100.00%           18        451

Script done on 2025-11-15 10:22:51+00:00 [COMMAND_EXIT_CODE="143"]
