Script started on 2025-11-15 10:23:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
       0    55775    81548    0.00%           18       1364
       0   110514    82290    0.00%           18       1519
  106215   140662    95816   43.02%           18       1868
  207632   139607   111875   59.80%           18       2148
  219403   162208   110161   57.49%           19       1879
  303939   193280   119869   61.13%           19       2470
  367058   144356   114431   71.77%           19       3341
  589573   150288   105446   79.69%           19       3710
  637169   142090   102194   81.77%           19       3977
  607880   250307   147358   70.83%           19       4921
  596921   189557   127794   75.90%           19       5187
  654031   168132   125035   79.55%           19       6214
  869001   157718   101213   84.64%           19       6717
  702330   176294    78214   79.94%           19       5187
  728479   229902   111749   76.01%           19       4879
  778094   150617   114600   83.78%           19       5489
  987208   139694    87859   87.60%           19       5683
 1155886   138978    94946   89.27%           20       5971
  955383   162928   121397   85.43%           20       6456
 1056911   153581   152245   87.31%           20       7513
 1235254   156099   122061   88.78%           20       7969
 1170499   186182   156877   86.28%           20       8620
 1306477   128617   117808   91.04%           20       8793
 1121757   225905   103520   83.24%           20       9449
 1107444   187257   121602   85.54%           20       9966
  464917   606392   330665   43.40%           20      12284
  542859   148577    87302   78.51%           20       9737
 1384073   161408    95116   89.56%           20      10595
 1323980   178131    97083   88.14%           20      11170
  934723   284918   106395   76.64%           21       8424
 1019892   196512   107537   83.84%           21       7972
 1221980   163290    90325   88.21%           21       8331
 1306202   154832    98002   89.40%           21       8687
 1240812   168047   113533   88.07%           21       9089
 1539680   161731   137306   90.49%           21      10117
 1611190   171262   125072   90.39%           21      10654
 1471133   187476   154201   88.70%           21      11349
 1696255   144057   122634   92.17%           21      12251
 1498928   227014    92250   86.85%           21      11879
 1371197   148980   111317   90.20%           21      12751
 1397958   187578   128756   88.17%           21      13348
 1563157   180626   131310   89.64%           21      13865
 1497305   189558   161395   88.76%           21      14599
 1750346   154090   126871   91.91%           22      15560
 1662123   234419    94135   87.64%           22      15484
 1172966   279994   139248   80.73%           22      14593
 1096100   350230   178366   75.78%           22      11324
 1145332   288457   198535   79.88%           22      12932
 1390876   309203   186723   81.81%           22      13784
 1780525   182403    93339   90.71%           22      14220
 1388622   247818    91319   84.86%           22      12491
 1263772   218601   106066   85.25%           22      11806
 1653299   181106    95227   90.13%           22      12252
 1714471   173039   108702   90.83%           23      12656
 1750525   141040   108244   92.54%           23      13487
 1895171   172202   110366   91.67%           23      13957
 1862709   195172   147637   90.52%           23      14664
 1904294   161708   138017   92.17%           23      15628
 2311359   171784   118587   93.08%           23      16123
 1940493   195332   124716   90.85%           23      16296
 2067102   201611    92580   91.11%           23      16745
 1877275   177276   107951   91.37%           23      17216
 1547885   168101   149703   90.20%           23      18027
 2114701   177084   127422   92.27%           23      18804
 2045970   185091   140555   91.70%           23      19448
 2355705   137076   113495   94.50%           23      19626
 1956536   225364    87906   89.67%           23      20211
 1811035   184638   118633   90.75%           23      20720
 1839520   159228   144655   92.03%           23      21740
 2145620   169753   124324   92.67%           24      22254
 1978317   166637   153894   92.23%           24      23022
 2235938   127614    87174   94.60%           24      22910
 1971404   264935   113649   88.15%           24      23675
 1978864   151417   110946   92.89%           24      24557
 1284154   418428   244011   75.42%           24      24013
  943617   380665   228451   71.25%           24      24260
  736290   361133   250793   67.09%           24      25951
 1633946   326385   172863   83.35%           24      26721
 1598123   215394   143108   88.12%           24      25546
 1839855   249826    66669   88.04%           24      23917
 1532480   259333    94313   85.53%           25      18712
 1851165   186697   111174   90.84%           25      16407
 1873942   168569    78707   91.75%           25      16730
 2055677   189958   102017   91.54%           25      17227
 2025886   157656   112169   92.78%           25      18138
 2168044   179984   111216   92.33%           25      18633
 2263917   201725   141176   91.82%           25      19339
 2304912   170563   139314   93.11%           25      20363
 2518829   183551   121966   93.21%           25      20903
 2146199   199968   113587   91.48%           25      21374
 2313410   206258    81908   91.81%           25      21467
 2030542   189257   113888   91.47%           25      22010
 2283070   171344   143026   93.02%           25      23097
 2368323   175843   114404   93.09%           25      23592
 2292484   188848   146422   92.39%           26      24268
 2828466   126608    80388   95.72%           26      24275
 1987786   263178   106573   88.31%           26      25070
 2259862   155604   104400   93.56%           26      25944
 2461131   168500   105829   93.59%           26      26373
 2184618   188288   141258   92.07%           26      27026
 2625890   148798   125443   94.64%           26      27959
 2769072   171083   125806   94.18%           26      28484
 2685383   156624    89103   94.49%           26      28700
 2210168   204725    99920   91.52%           26      29237
 2212628   178278   107647   92.54%           26      29708
 2499099   150568   130763   94.32%           26      30670
 2465091   171643   126369   93.49%           26      31200
 2694652   152548   141656   94.64%           26      32212
 2608208   151203   106914   94.52%           26      32581
 2342857   215604    98253   91.57%           26      32501
 2567351   159000   102023   94.17%           26      33381
 2386951   161530   106380   93.66%           27      33790
 2426256   158207   148185   93.88%           27      34848
 2754586   162128   116808   94.44%           27      35287
 2542410   177559   138057   93.47%           27      35869
 2843320   162934    88590   94.58%           27      36049
 2400319   202648    91377   92.21%           27      36561
 2569589   131800   101032   95.12%           27      37130
  984801   531872   313137   64.93%           27      36012
  886613   373967   213292   70.33%           27      32383
 1029941   318733   191924   76.37%           27      29013
 1418000   338127   219626   80.75%           27      27548
 1887283   263328   171526   87.76%           27      28908
 1917274   225736   108483   89.47%           28      29400
 1945691   295993    69540   86.80%           28      26317
 1823323   225914   106896   88.98%           28      22907
 2309533   196195    86510   92.17%           28      23455
 2213026   186746    92209   92.22%           28      23948
 2384465   167261   105305   93.45%           28      24870
 2592373   186095    96086   93.30%           28      25339
 2381254   201369   141485   92.20%           28      26029
 2670619   187079   128723   93.45%           28      27122
 2795186   185795   117293   93.77%           28      27705
 2400412   147857    76344   94.20%           28      27801
 2257281   243460    91714   90.26%           28      28115
 2763695   167317   103076   94.29%           28      29092
 2521498   186581   106177   93.11%           28      29592
 2728236   193090   125360   93.39%           29      30186
 2655348   162964   127891   94.22%           29      31181
 3021626   173921   108715   94.56%           29      31724
 2661381   151108   111196   94.63%           29      31940
 2539601   221660    65938   91.97%           29      32415
 2859533   188001   104373   93.83%           29      32969
 2854523   160924   123962   94.66%           29      33942
 2699597   182817   126345   93.66%           29      34506
 2839863   151284   130802   94.94%           29      35467
 3013496   157971   105148   95.02%           29      35857
 2676279   199273   107817   93.07%           29      36311
 2637230   182880    70462   93.52%           29      36639
 2581150   172815   103787   93.72%           29      37071
 2843873   153550   130844   94.88%           29      38054
 2915208   170152   117769   94.49%           29      38531
 2846049   158113   147559   94.74%           29      39586
 3239616   137069    88939   95.94%           30      39825
 2810207   197160   110388   93.44%           30      40124
 2710927   179986    83325   93.77%           30      40648
 2972606   164715    90853   94.75%           30      40976
 2899514   148171   129939   95.14%           30      41922
 2988730   154710   105465   95.08%           30      42304
 2960281   152613   136681   95.10%           30      43295
 3058960   149512   100139   95.34%           30      43633
 2437866   143625   102379   94.44%           30      43840
 2695188   192120    66075   93.35%           30      44200
 2388761   148933    99242   94.13%           30      44758
 2655181   121086    82305   95.64%           30      45186
 2422803   135972   123133   94.69%           30      46124
 2506937   122465    75203   95.34%           30      46246
 2489068   120985   114411   95.36%           30      47092
 2434503   116043    75101   95.45%           30      47271
 2491935    96611    90586   96.27%           30      47865
 2073173   155672    58629   93.02%           31      47546
 2269582   120997    48214   94.94%           31      48035
 2162384   106053    80836   95.32%           31      48691
 2221781   108569    56478   95.34%           31      48769
 2179778    89686    81791   96.05%           31      49300
 2024893   111158    84493   94.80%           31      49489
 2305876    78856    58294   96.69%           31      49954
 2139130    89281    87453   95.99%           31      50572
 2044304   107894    76236   94.99%           31      50716
 2297195    72326    61636   96.95%           31      51168
 2141707    81430    79842   96.34%           31      51726
 1886007   130497    51846   93.53%           31      51178
 2042557   130362    58642   94.00%           31      51840
 2072434   100448    63706   95.38%           31      52140
 2076714    97928    56188   95.50%           31      52453
 2152393    83159    73629   96.28%           31      52993
 2063014    95167    77393   95.59%           31      53255
 2083647    87817    60583   95.96%           31      53598
 2012213    94486    92581   95.51%           31      54259
 1510860   109428    86746   93.25%           31      54373
  675003    90174    69690   88.22%           31      54200
 1932771   145023    42982   93.02%           31      54858
 2003779   104986    71586   95.02%           31      55475
 2091651    96540    41511   95.59%           32      55366
 2170723    73025    60603   96.75%           32      55817
 2002314    99630    59191   95.26%           32      55902
 2177402    76319    63000   96.61%           32      56334
 2046831    88792    85147   95.84%           32      56943
 1407736   114836    86152   92.46%           32      57150
  589570   108726    97564   84.43%           32      57761
  733619   220575   149252   76.88%           32      58108
  661676   308927   177022   68.17%           32      58453
  977529   288517   125673   77.21%           32      56051
  252632   457280   294163   35.59%           32      58295
  329330   488747   308720   40.26%           32      58738
  416541   322235   198297   56.38%           32      57395
  271105   341450   201710   44.26%           32      52896
  439522   463632   290264   48.67%           32      53792
  486190   435236   285587   52.76%           33      53807
  423018   467927   292398   47.48%           33      53803
  377176   488173   296582   43.59%           33      54305
  387246   508051   311595   43.25%           33      54160
  497061   479149   281481   50.92%           34      55005
  382005   516845   288361   42.50%           34      56508
  608276   436587   240047   58.22%           34      56980
  392457   431141   236910   47.65%           34      57466
  513647   496230   279115   50.86%           35      58833
  575823   474221   265386   54.84%           35      59090
  728048   455456   250014   61.52%           35      58927
 1346272   332979   191298   80.17%           35      59032
 1500321   230084   123047   86.70%           36      58598
 2237521   134460    66574   94.33%           36      58339
 2263088   136580    86543   94.31%           36      58918
 2237433   164965    81437   93.13%           36      59095
 2088945   168294   126259   92.54%           36      59070
 2300157   157805    80445   93.58%           36      59034
 2486161   143256    99391   94.55%           36      59021
 2404653   169222    96063   93.43%           36      58962
 2755459   119285    72127   95.85%           36      59000
 2267435   201038    88342   91.86%           36      58913
 2144250   191727    61619   91.79%           36      58826
 2431738   150700    83409   94.16%           36      58959
 2374282   168411    80630   93.38%           36      59006
 2281451   142785   106265   94.11%           36      58919
 2093438   134530    92126   93.96%           36      58748
 2347285   137446    81413   94.47%           36      59005
 2436097   125545    88756   95.10%           36      58990
 2321186   149220    88883   93.96%           36      58933
 2294707   108931    75193   95.47%           36      58720
 1877389   195494    68096   90.57%           36      58970
 2102592   143255    42662   93.62%           36      59077
 2063426   117543    70825   94.61%           36      59096
 1981703   136474    62555   93.56%           36      58890
 2180939   103439    67659   95.47%           36      59127
 2021449   128788    99897   94.01%           36      59145
 2089977   126907    66022   94.28%           36      59052
 2233006    96247    64422   95.87%           36      59208
 2067562   114327    87717   94.76%           36      59166
 2070332   126697    68478   94.23%           36      59098
 2293101   101914    69318   95.74%           36      59150
 2103714    99078    68506   95.50%           37      58703
 1876822   180923    47479   91.21%           37      58965
 2213006   121846    53463   94.78%           37      59123
 2135022   123020    78175   94.55%           37      59115
 2140884   136172    64075   94.02%           37      59074
 2296577   118777    82707   95.08%           37      59004
 2097220   153184   103580   93.19%           37      58812
 2412646   115724    72420   95.42%           37      59157
 2232820   135875   105215   94.26%           37      59093
 2274322   139065    80052   94.24%           37      59015
 2557237    80784    46817   96.94%           37      58919
 1974329   199992    89007   90.80%           37      59127
 2322353   158052    54956   93.63%           37      59134
 2423305   128655    73959   94.96%           37      59119
 2320200   155750    78151   93.71%           37      58913
 2401967   116820    80432   95.36%           37      59090
 1999307   136613   110726   93.60%           37      59109
 2328939   160384    91793   93.56%           37      59169
 2639334   130089    94874   95.30%           37      59026
 2470310   144276   111329   94.48%           37      58862
 1324049   163056    57129   89.04%           37      58624
 2390661   167617    70595   93.45%           37      59164
 2362667   165374    74996   93.46%           37      58986
 2689255   117598    58658   95.81%           37      58926
 2683361   106590    63259   96.18%           37      57924
 2260043   120261    47867   94.95%           37      53625
 1398333   194993    92538   87.76%           37      50587
 1839543   220194    64684   89.31%           37      47761
 1816119   167135    58854   91.57%           37      45247
 1788892   191736    92219   90.32%           37      43386
 1500692   328248    37672   82.05%           37      39561
 1446027   244638    49896   85.53%           37      35538
 1451241   259118    81918   84.85%           38      35377
 1883618   206977    46246   90.10%           38      35215
 1692025   196719    78324   89.58%           38      36147
 1770627   196859    56282   89.99%           38      36557
 2045841   150620    50039   93.14%           38      37199
 1998850   175476    83587   91.93%           38      37930
 2554380   163120    43573   94.00%           38      38307
 2545610   156398    78152   94.21%           38      39147
 2495960   175072    75255   93.45%           38      39554
 2513651   148412    89784   94.42%           38      40407
 2508412   165173    93310   93.82%           38      40770
 2675306   150701    77359   94.67%           38      41582
 2477954   159138   115233   93.97%           38      42567
 2670162   145962    65187   94.82%           38      42803
 2722085   124513    80950   95.63%           38      43396
 2249849   223214    62451   90.97%           38      43339
 2515098   143610    58833   94.60%           38      44054
 2357479   143513    77593   94.26%           38      44557
 2605256   147974    73049   94.63%           38      45048
 2466272   147836   109517   94.34%           38      45977
 2509992   135999    67070   94.86%           38      46193
 2631148   120873    86235   95.61%           39      46930
 2561409   147978    89526   94.54%           39      47211
 2732771   100369    63507   96.46%           39      47779
 2632277   106888    84541   96.10%           39      48456
 2206278   185071    55541   92.26%           39      48125
 2405256   138112    63652   94.57%           39      48838
 2286069   143619    68506   94.09%           39      49098
 2566090   115004    72800   95.71%           39      49680
 2445722   120256    93089   95.31%           39      50441
 2537922   130531    71621   95.11%           39      50646
 2664436   104789    78615   96.22%           39      51290
 2521835   139913    92247   94.74%           39      51566
 2591192   106077    79368   96.07%           39      52217
 2616297   101402    83174   96.27%           39      52867
 2371791   205808    64482   92.02%           39      52580
 2809357   138033    67844   95.32%           39      53307
 2711969   147433    83507   94.84%           39      53555
 2909542   115344    75534   96.19%           39      54160
 2729609   135157   111719   95.28%           39      55052
 2887101   125348    66927   95.84%           39      55220
 2953357   124390   103062   95.96%           39      55972
 2946423   125349    75666   95.92%           39      56186
 3169376   103362    85341   96.84%           40      56775
 2975146   114066    97031   96.31%           40      57373
 2974538   155269    43252   95.04%           40      57024
 2820504   163157    88796   94.53%           40      57868
 3031416   149175    70997   95.31%           40      58131
 2978125   143000   113356   95.42%           40      58992
 2956139   153492    97222   95.06%           40      59033
 3021384   124663   102565   96.04%           40      59036
 2948948   147090    96521   95.25%           40      58890
 3327123    96708    72075   97.18%           40      59151
 2860749   139035    81255   95.37%           40      58817
 2603566   178218    66807   93.59%           40      59122
 2773415   126332    81652   95.64%           40      59201
 2824991   140848    68442   95.25%           36      59023
 2855335   112432    89757   96.21%           36      59038
 2664318   144826   106311   94.84%           36      58803
 2996847   106910    69099   96.56%           36      59152
 2861113   112766    94789   96.21%           36      59160
 2192764   134946    98522   94.20%           36      58817
 1068538   124710    65691   89.55%           36      58659
 2543662   159771    67069   94.09%           36      59115
 2676746   145682    76823   94.84%           36      58827
 2917872    98168    58275   96.75%           36      59126
 2827902   113289    88501   96.15%           36      59060
 2873590   128936    66646   95.71%           37      59130
 2801541   110394    93566   96.21%           37      59097
 2498832   119658    92404   95.43%           37      58853
  726644   125017   100699   85.32%           37      59149
  677927   104341    96191   86.66%           37      58949
 1418261   200094    65489   87.64%           37      59103
 2048274   173962   108661   92.17%           37      58701
 2365363   129670    75125   94.80%           37      59086
 2574853   112708    90301   95.81%           37      59073
 2318847   131142   100061   94.65%           37      58635
 2548967   115186    76464   95.68%           37      59107
 2545885   130449   106383   95.13%           37      59130
 1577500   129049    86226   92.44%           37      59188
  622295   108265    96559   85.18%           28      59146
  692663   111871   102040   86.09%           28      59208
  759198   102889    91765   88.07%           28      59045
  715953   115318   109287   86.13%           28      59175
  554879   173722   138638   76.16%           27      59052
  525463   155250   138197   77.19%           27      59255
  369578   142266   134995   72.21%           27      59133
  496646   143364   135216   77.60%           27      59192
  839861   159780    99651   84.02%           27      58849
 2366443   193268    80198   92.45%           27      59218
 2198351   149182   101525   93.65%           26      59109
 2306943   155803    86064   93.67%           26      58796
 2641121   112729    66749   95.91%           26      59212
 2381504   148717   113006   94.12%           26      59163
 1235796   138311    88937   89.93%           26      59224
  496549   106886    91461   82.29%           26      59187
  605064   102211    89164   85.55%           26      59132
  646987   104095    88129   86.14%           26      59148
  626777   102253    89018   85.97%           26      58973
  393372   136168   124740   74.29%           26      58897
  369244   119890    90186   75.49%           26      59281
  355733   107932    90450   76.72%           26      59281
  422248    96417    85372   81.41%           26      59276
  350726    38550    31786   90.10%           26      59156
  547480    32346    21929   94.42%           26      59206
  628151    82170    39911   88.43%           26      54726
 1803328   209930    46402   89.57%           26      55577
  424545   540406   199693   44.00%           26      57462
  138018   650815   273359   17.50%           26      58846
  129756   577039   245270   18.36%           26      58985
   42339   531798   243949    7.37%           26      57993
  322721   169446    62517   65.57%           26      52148
  344762   509909   190636   40.34%           26      50879
  177544   573987   258084   23.62%           26      52577
  291154   544898   241891   34.82%           26      54005
  408862   323106   136769   55.86%           26      50716
  440753   507774   216306   46.47%           26      50994
  263491   541103   243613   32.75%           27      52653
  293001   470578   223327   38.37%           27      52756
  208749   513069   252109   28.92%           27      54397
  308940   514044   256349   37.54%           27      56237
  380200   488270   237526   43.78%           27      57328
  402257   504933   234163   44.34%           27      58634
  314403   456639   226521   40.78%           27      59049
  404459   463057   220998   46.62%           27      59050
  810705   394579   175424   67.26%           27      58989
  851610   393575   166187   68.39%           27      58711
  885342   458000   130699   65.91%           27      58030
 1221306   382501    79575   76.15%           27      53854
 1324071   324517    93481   80.32%           28      49841
 1566592   302923    67610   83.80%           28      46862
 1780363   256969    75087   87.39%           28      42944
 1816592   269103    64429   87.10%           28      41212
 2057690   232453    71393   89.85%           28      42317
 2045598   248999    75698   89.15%           28      42928
 2267064   219975    95845   91.16%           28      44080
 1996796   235727   116646   89.44%           28      44814
 2343564   218765    90537   91.46%           28      45942
 2217710   207858   118861   91.43%           28      46985
 2451124   201417    77435   92.41%           28      47575
 2357495   179206    85733   92.94%           28      47832
 2000224   301550    60580   86.90%           29      48276
 2241552   210002    80701   91.43%           29      49330
 2153312   216880    79485   90.85%           29      49839
 2381151   183685    95034   92.84%           29      50850
 2241338   200799    90187   91.78%           29      51342
 2477617   175137    95201   93.40%           29      52322
 2438531   193216    94804   92.66%           29      52866
 2684071   151022    75062   94.67%           29      53608
 2534281   171221   102448   93.67%           29      54601
 2606953   163658    46039   94.09%           29      54173
 2198628   234878    83114   90.35%           29      55332
 2367560   196801    69122   92.33%           29      55726
 2545234   166266    96003   93.87%           29      56674
 2350524   191368   106262   92.47%           29      57187
 2566564   163421    93637   94.01%           29      58116
 2589718   173460   105364   93.72%           29      58724
 2769302   160535    78627   94.52%           29      59222
 2215843   169066    83684   92.91%           28      58933
 2258271   213716    57638   91.35%           28      59186
 2262386   168775    85867   93.06%           28      59080
 2380692   179449    77492   92.99%           28      59196
 2494158   151230    99028   94.28%           27      59101
 2222967   180555   109689   92.49%           27      58876
 2680731   153504    86698   94.58%           27      59260
 2470497   164566   118546   93.75%           27      59252
 2811638   156037    68318   94.74%           27      59280
 2390886   196363    72410   92.41%           27      59185
 2175236   202816    73710   91.47%           27      58968
 2402343   161706    83468   93.69%           27      59242
 2323165   170423    79688   93.17%           27      59171
 2482382   146351    93532   94.43%           27      59229
 2402551   181724   106068   92.97%           27      59024
 2719569   132932    73401   95.34%           27      59294
