Script started on 2025-11-15 13:33:53+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
     342        8      116   97.71%           17        436
       7        0      115  100.00%           17        436
   32299        0      118  100.00%           17        436
       0        0      133    0.00%           17        436
       5        0      116  100.00%           17        436
       5        0      115  100.00%           17        436
      15        2      115   88.24%           17        436
       7        0      116  100.00%           17        436
      15        0      124  100.00%           17        436
       7        0      116  100.00%           17        436
       3        0      115  100.00%           17        436
       7        0      115  100.00%           17        436
   31606        0      116  100.00%           17        436
       6        2      115   75.00%           17        436
       5        0      116  100.00%           17        436
       7        0      115  100.00%           17        436
       3        0      116  100.00%           17        436
       5        0      115  100.00%           17        436
       8        0      122  100.00%           17        436
       5        0      116  100.00%           17        436
       3        0      115  100.00%           17        437
       7        0      116  100.00%           17        437
   31369        0      115  100.00%           17        437
      12        0      126  100.00%           17        436
       3        0      115  100.00%           17        437
       5        0      115  100.00%           17        437
       5        0      116  100.00%           17        437
       7        0      115  100.00%           17        437
       8        0      123  100.00%           17        437
       7        0      115  100.00%           17        437
       3        0      116  100.00%           17        437
       5        0      115  100.00%           17        437
   32745        0      115  100.00%           17        437
       9        0      122  100.00%           17        437
       3        0      116  100.00%           17        437

Script done on 2025-11-15 13:34:31+00:00 [COMMAND_EXIT_CODE="143"]
